lat prs camp flt x yday
5 350 21 1 NaN 211
15 350 21 1 NaN 210.5235
25 350 21 1 NaN 210.3256
35 350 21 1 NaN 210.4792
5 450 21 1 NaN 211
15 450 21 1 NaN 210.488
25 450 21 1 NaN 210.4375
35 450 21 1 NaN 210.4219
5 550 21 1 NaN 211
15 550 21 1 NaN 210.6036
25 550 21 1 NaN 210.4576
35 550 21 1 NaN 210.3158
5 650 21 1 NaN 211
15 650 21 1 NaN 210.6992
25 650 21 1 NaN 210.4516
35 650 21 1 NaN 210.1364
5 750 21 1 NaN 211
15 750 21 1 NaN 210.7423
25 750 21 1 NaN 210.46
35 750 21 1 NaN 210
5 850 21 1 NaN 211
15 850 21 1 NaN 210.7284
25 850 21 1 NaN 210.4375
35 850 21 1 NaN 210
5 950 21 1 NaN 211
15 950 21 1 NaN 210.7823
25 950 21 1 NaN 210.5625
5 350 22 1 0.4940288 26
15 350 22 1 0.6678856 26
25 350 22 1 0.1859559 26
35 350 22 1 0.2343789 26
5 450 22 1 0.5543435 26
15 450 22 1 0.7059935 26
25 450 22 1 0.2402659 26
35 450 22 1 NaN 26
5 550 22 1 0.3849298 26
15 550 22 1 0.5861305 26
25 550 22 1 0.0528719 26
35 550 22 1 NaN 26
5 650 22 1 0.4932685 26
15 650 22 1 0.6588215 26
25 650 22 1 0.1031129 26
35 650 22 1 NaN 26
5 750 22 1 0.4250525 26
15 750 22 1 0.5931715 26
25 750 22 1 0.07986623 26
35 750 22 1 NaN 26
5 850 22 1 0.3249507 26
15 850 22 1 0.4799317 26
25 850 22 1 0.1171471 26
35 850 22 1 NaN 26
5 950 22 1 0.3478389 26
15 950 22 1 0.4975345 26
25 950 22 1 0.240239 26
-5 350 23 1 0.24585 271
5 350 23 1 0.42664 271
15 350 23 1 0.09570877 271
25 350 23 1 0.412261 271
35 350 23 1 0.7816104 270.3021
-5 450 23 1 0.169696 271
5 450 23 1 0.4816714 271
15 450 23 1 -0.01244615 271
25 450 23 1 0.3990273 271
35 450 23 1 0.6165469 270.4923
-5 550 23 1 0.06949286 271
5 550 23 1 0.454392 271
15 550 23 1 0.1998074 271
25 550 23 1 0.3108538 271
35 550 23 1 0.60405 270.4688
5 650 23 1 0.4237116 271
15 650 23 1 0.03458636 271
25 650 23 1 0.335 271
35 650 23 1 0.8482063 270.4324
5 750 23 1 0.3310926 271
15 750 23 1 0.05528571 271
25 750 23 1 0.26384 271
35 750 23 1 0.7946187 270.6154
5 850 23 1 0.2738732 271
15 850 23 1 -0.07429583 271
25 850 23 1 0.294755 271
35 850 23 1 0.8501485 270.66
5 950 23 1 0.2142868 271
15 950 23 1 -0.1721847 271
25 950 23 1 0.1228588 271
35 950 23 1 1.083978 270.6923
5 350 24 1 -0.1846115 114
15 350 24 1 0.1723812 114
25 350 24 1 0.1161498 113.1512
35 350 24 1 0.3053488 113.1805
5 450 24 1 -0.02686508 114
15 450 24 1 0.2505735 114
25 450 24 1 -0.0810359 114
35 450 24 1 0.5558636 113.5161
5 550 24 1 0.2073111 114
15 550 24 1 0.1371138 114
25 550 24 1 0.077188 114
35 550 24 1 0.1702577 113.4138
5 650 24 1 0.2797395 114
15 650 24 1 0.1999962 114
25 650 24 1 0.4743267 114
35 650 24 1 0.3422067 113.4667
5 750 24 1 0.4413114 114
15 750 24 1 0.2767561 114
25 750 24 1 0.4434781 114
5 850 24 1 0.4451625 114
15 850 24 1 0.2663268 114
25 850 24 1 0.423208 114
5 950 24 1 0.4202544 114
15 950 24 1 0.2371417 114
25 950 24 1 0.4476109 114
35 350 21 2 NaN 213
45 350 21 2 NaN 213
65 350 21 2 NaN 214
75 350 21 2 NaN 214
35 450 21 2 NaN 213
65 450 21 2 NaN 214
75 450 21 2 NaN 214
35 550 21 2 NaN 213
65 550 21 2 NaN 214
75 550 21 2 NaN 214
35 650 21 2 NaN 213
65 650 21 2 NaN 214
75 650 21 2 NaN 214
35 750 21 2 NaN 213
65 750 21 2 NaN 214
75 750 21 2 NaN 214
35 850 21 2 NaN 213
75 850 21 2 NaN 214
75 950 21 2 NaN 214
35 350 22 2 0.2601822 29
45 350 22 2 0.1566304 29
55 350 22 2 0.2590263 29
65 350 22 2 -0.3302931 29
75 350 22 2 0.9496922 29
35 450 22 2 0.3079386 29
45 450 22 2 0.2279273 29
55 450 22 2 0.2314528 29
65 450 22 2 0.2830217 29
75 450 22 2 0.84538 29
35 550 22 2 0.4373214 29
45 550 22 2 -0.001363596 29
55 550 22 2 0.2616132 29
65 550 22 2 0.5605334 29
75 550 22 2 0.6978372 29
