lat prs camp flt x yday
5 350 21 1 339.3342 211
15 350 21 1 340.0909 210.5235
25 350 21 1 341.4617 210.3256
35 350 21 1 339.0267 210.4792
5 450 21 1 331.5803 211
15 450 21 1 331.7836 210.488
25 450 21 1 331.8031 210.4375
35 450 21 1 331.2259 210.4219
5 550 21 1 324.08 211
15 550 21 1 322.8184 210.6036
25 550 21 1 322.8918 210.4576
35 550 21 1 323.6579 210.3158
5 650 21 1 316.9407 211
15 650 21 1 316.7535 210.6992
25 650 21 1 317.2187 210.4516
35 650 21 1 321.698 210.1364
5 750 21 1 310.7649 211
15 750 21 1 311.5472 210.7423
25 750 21 1 313.3196 210.46
35 750 21 1 319.7834 210
5 850 21 1 303.8573 211
15 850 21 1 305.0921 210.7284
25 850 21 1 307.7284 210.4375
35 850 21 1 316.9285 210
5 950 21 1 298.5819 211
15 950 21 1 299.7507 210.7823
25 950 21 1 299.891 210.5625
5 350 22 1 337.5263 26
15 350 22 1 336.6813 26
25 350 22 1 332.8916 26
35 350 22 1 321.1078 26
5 450 22 1 332.3245 26
15 450 22 1 329.3329 26
25 450 22 1 324.5354 26
35 450 22 1 306.9917 26
5 550 22 1 325.0764 26
15 550 22 1 322.1836 26
25 550 22 1 317.048 26
35 550 22 1 302.1323 26
5 650 22 1 317.1527 26
15 650 22 1 316.4509 26
25 650 22 1 312.6946 26
35 650 22 1 296.2008 26
5 750 22 1 310.5735 26
15 750 22 1 310.4041 26
25 750 22 1 307.6059 26
35 750 22 1 289.4493 26
5 850 22 1 304.9493 26
15 850 22 1 301.2086 26
25 850 22 1 296.8293 26
35 850 22 1 287.1343 26
5 950 22 1 297.9773 26
15 950 22 1 297.4616 26
25 950 22 1 289.2655 26
-5 350 23 1 336.9103 271
5 350 23 1 340.3121 271
15 350 23 1 340.6189 271
25 350 23 1 337.1231 271
35 350 23 1 329.8013 270.3021
-5 450 23 1 332.8085 271
5 450 23 1 332.7723 271
15 450 23 1 333.2758 271
25 450 23 1 332.0434 271
35 450 23 1 326.0582 270.4923
-5 550 23 1 325.6156 271
5 550 23 1 324.5693 271
15 550 23 1 324.78 271
25 550 23 1 326.8553 271
35 550 23 1 319.4744 270.4688
5 650 23 1 316.1175 271
15 650 23 1 318.65 271
25 650 23 1 320.2516 271
35 650 23 1 310.3054 270.4324
5 750 23 1 312.5081 271
15 750 23 1 311.9979 271
25 750 23 1 313.5634 271
35 750 23 1 308.7197 270.6154
5 850 23 1 305.0951 271
15 850 23 1 304.1592 271
25 850 23 1 299.8392 271
35 850 23 1 307.9005 270.66
5 950 23 1 297.2328 271
15 950 23 1 299.4511 271
25 950 23 1 295.2216 271
35 950 23 1 306.9191 270.6923
5 350 24 1 338.7126 114
15 350 24 1 337.13 114
25 350 24 1 332.7524 113.1512
35 350 24 1 329.7239 113.1805
5 450 24 1 331.5094 114
15 450 24 1 330.6591 114
25 450 24 1 328.6571 114
35 450 24 1 321.7647 113.5161
5 550 24 1 325.1427 114
15 550 24 1 323.1069 114
25 550 24 1 317.5666 114
35 550 24 1 315.9092 113.4138
5 650 24 1 319.4758 114
15 650 24 1 317.0017 114
25 650 24 1 311.2979 114
35 650 24 1 313.3918 113.4667
5 750 24 1 313.1754 114
15 750 24 1 311.3365 114
25 750 24 1 308.211 114
5 850 24 1 306.327 114
15 850 24 1 306.0384 114
25 850 24 1 303.3166 114
5 950 24 1 301.0294 114
15 950 24 1 298.791 114
25 950 24 1 292.3448 114
35 350 21 2 337.7374 213
45 350 21 2 338.5825 213
65 350 21 2 323.7665 214
75 350 21 2 318.5812 214
35 450 21 2 329.594 213
65 450 21 2 320.037 214
75 450 21 2 301.2117 214
35 550 21 2 323.7627 213
65 550 21 2 310.9603 214
75 550 21 2 295.0445 214
35 650 21 2 320.9506 213
65 650 21 2 304.4973 214
75 650 21 2 289.6458 214
35 750 21 2 316.2488 213
65 750 21 2 299.0294 214
75 750 21 2 284.0991 214
35 850 21 2 312.9258 213
75 850 21 2 278.1809 214
75 950 21 2 272.7634 214
35 350 22 2 323.5179 29
45 350 22 2 314.4556 29
55 350 22 2 289.0295 29
65 350 22 2 296.7195 29
75 350 22 2 298.2545 29
