lat prs annmn cos sin
1 1 0.2200405 0.1096391 0.03257572
2 1 0.2467625 0.03434589 -0.01617774
3 1 0.2437461 0.1131206 -0.01945968
4 1 0 0 NaN
5 1 0.08648951 -0.2876182 -0.08075325
6 1 0.2164676 0.03349366 -0.07306876
7 1 0.2386319 0.08171214 0.1170238
8 1 0.2002621 0.1445236 -0.05890554
9 1 0.2304825 -0.04435421 -0.08965824
10 1 0.2980678 -0.0214578 -0.02780794
11 1 0.2236731 0.05807888 -0.02884054
12 1 0.2108002 0.0360403 -0.05750766
13 1 0.2351418 0.09900757 -0.04930374
14 1 0.1734499 0.02149075 -0.02600372
15 1 0.1659963 0.03467054 0.1117925
1 2 0.2393612 0.05873687 -0.03624078
2 2 0.2453825 -0.007468575 0.06454375
3 2 0 0 0.1640066
4 2 0.2757575 0.3922179 0.1270539
5 2 0.2887677 -0.002163433 0.1297356
6 2 0.3119817 0.07042256 -0.09525107
7 2 0.3266094 -0.06565765 0.03450411
8 2 0.3251566 0.2251424 0.06305467
9 2 0.2820127 0.1536195 -0.04806962
10 2 0.3469602 0.2297915 0.02416205
11 2 0.1811035 -0.008601262 -0.09849942
12 2 0.2959368 -0.03830612 0.1963564
13 2 0.2228952 -0.08904632 -0.07856648
14 2 0.1909671 0.01542268 -0.04278467
15 2 0.006012406 -0.2277971 -0.1374763
1 3 0 0 0.1889631
2 3 0.3119878 -0.03127404 -0.05688757
3 3 0.2679663 0.04346373 0.03275285
4 3 0 0 0.3145261
5 3 0 0 0.3066569
6 3 0 0 0.2520918
7 3 0.1026814 0.4090541 -0.1083376
8 3 0.2359934 0.08291341 0.01066465
9 3 0.3083343 0.01245801 0.0007296003
10 3 0.3943219 -0.2565579 0.1591844
11 3 0.2505614 0.1451764 0.01849482
12 3 0.643476 0.02963251 -0.4780357
13 3 0.1922631 0.389546 0.2951789
14 3 -0.06548172 -0.549581 -0.3855161
15 3 0.1565519 -0.03584401 -0.04076176
1 4 0.215069 0.1192009 0.06225813
2 4 -0.02848925 0.1335085 0.5077764
3 4 0.2391324 -0.005528563 0.01316934
4 4 0.2763249 0.02618145 0.01331315
5 4 0.3182811 -0.08449131 -0.1204088
6 4 0.6504898 0.1919291 0.448706
7 4 0.3232411 0.1465846 0.133566
8 4 0.67424 0.6006911 0.3218971
9 4 0.3240901 0.4191203 0.131353
10 4 0.2457928 0.03522719 -0.00546497
11 4 0.3035022 0.2403568 -0.007669872
12 4 0.2343301 0.1012686 -0.03390293
13 4 0.2910197 -0.01590368 -0.04936249
14 4 0.3125573 -0.04921767 0.1774821
15 4 0.1622493 0.06461785 -0.003523735
1 5 0.2515133 0.01002766 -0.04274793
2 5 0.2775465 0.009178025 -0.01891897
3 5 0.3535654 0.2375619 -0.0404074
4 5 0.2276298 -0.1276964 -0.01976034
5 5 0 0 0.256755
6 5 0.2994595 -0.1713474 -0.07126305
7 5 0.5235186 0.2221167 -0.07586642
8 5 0.3238726 0.1601069 -0.02554387
9 5 0.3242605 0.1078087 0.08032969
10 5 0.3688494 0.06423702 -0.09674101
11 5 0.2775439 0.2333485 0.03418546
12 5 0.2992653 0.2361309 -0.004731569
13 5 0.2016482 0.1631997 0.06558494
14 5 0.3014455 0.04374197 0.002470001
15 5 0.2071834 0.1894668 0.01136698
1 6 0.2828573 0.3283787 0.1050998
2 6 0 0 0.3871176
3 6 0 0 0.3300456
4 6 0 0 0.3319522
5 6 0.2758029 -0.05340662 0.05660103
6 6 0 0 NaN
7 6 0.2718301 0.1855969 0.08485851
8 6 0.2888418 0.1069551 0.0381155
9 6 0 0 0.390848
10 6 0.1436263 -0.2179321 -0.06989177
11 6 0.3063682 0.1590006 0.123095
12 6 0.3169931 -0.1807259 -0.1359152
13 6 0.3414824 0.1651926 0.05351651
14 6 0 0 0.2384917
15 6 0 0 0.231017
1 7 0.3800197 0.1556132 0.03945499
2 7 0.1937932 -0.3034776 -0.08671474
3 7 0.375802 0.02262272 0.009900076
4 7 1.418989 -1.920999 2.58656
5 7 0.2650248 -0.1494922 0.07672236
6 7 0.3561153 0.1690232 0.153295
7 7 0.3530689 0.1927736 0.009947878
8 7 0.294156 0.1358477 0.03640915
9 7 0.2594761 0.1373379 -0.034255
10 7 0.3650387 0.06729368 -0.01251735
11 7 0.3614689 0.2391689 0.05078587
12 7 0.2323702 -0.006172926 -0.03456929
13 7 0.2936237 -0.002643416 -0.0004289644
14 7 0.6591319 0.132178 -0.5617576
15 7 0.2875491 0.1292834 0.03010054
