year month land ocean net foss
2015 1 7.786534 -1.150903 6.635631 8.251889
2015 2 4.020119 -1.773324 2.246795 8.488696
2015 3 6.509927 -2.592584 3.917343 8.248429
2015 4 2.766138 -2.579778 0.1863599 7.97089
2015 5 -11.81508 -1.359355 -13.17443 7.692349
2015 6 -28.24174 -0.9178067 -29.15954 7.958707
2015 7 -34.13232 -0.3529913 -34.48531 7.883931
2015 8 -10.29968 -0.1062047 -10.40588 7.901762
2015 9 2.630087 -0.2588161 2.371271 8.004349
2015 10 11.57324 -0.96349 10.60975 8.045473
2015 11 10.66856 -0.9646095 9.703951 8.4255
2015 12 10.98671 -0.7968518 10.18986 8.829492
2016 1 6.130656 -1.430016 4.70064 8.244765
2016 2 3.313992 -1.719843 1.594149 8.228707
2016 3 5.604056 -1.470852 4.133204 8.281971
2016 4 0.6477724 -0.7955004 -0.147728 7.96446
2016 5 -11.85594 -1.129371 -12.98531 7.72543
2016 6 -29.46979 -1.128703 -30.5985 7.972372
2016 7 -31.96839 -0.324449 -32.29284 7.859618
2016 8 -13.52175 0.02054825 -13.5012 7.944576
2016 9 3.633384 -0.2095627 3.423821 8.010408
2016 10 10.85152 -0.3469268 10.5046 8.043532
2016 11 6.736743 -0.9401247 5.796618 8.457069
2016 12 8.196393 -0.4763829 7.720011 8.814729
2017 1 7.570968 -0.03139669 7.539571 8.370067
2017 2 5.278278 -1.222643 4.055634 8.610742
2017 3 5.23894 -0.7596613 4.479279 8.390353
2017 4 4.694958 -1.317539 3.377419 8.060561
2017 5 -12.11596 -1.507859 -13.62382 7.851097
2017 6 -28.20455 -0.795719 -29.00027 8.079198
2017 7 -33.1644 -0.1630177 -33.32742 7.968325
2017 8 -16.67004 -0.4607199 -17.13076 8.052816
2017 9 2.964391 -0.3101403 2.654251 8.103267
2017 10 11.5922 -0.2917736 11.30043 8.171595
2017 11 10.51496 -0.7950919 9.719863 8.570567
2017 12 7.461506 0.0476343 7.50914 8.910147
2018 1 6.371198 -0.1315783 6.23962 8.568912
2018 2 5.315037 -0.9512172 4.36382 8.794387
2018 3 7.203149 -0.937031 6.266118 8.554491
2018 4 1.048712 -1.369502 -0.3207904 8.251204
2018 5 -10.33983 -0.4474279 -10.78726 8.023364
2018 6 -26.18727 -0.9290909 -27.11636 8.239234
2018 7 -35.98206 -0.2452112 -36.22727 8.157986
2018 8 -12.03834 0.1732374 -11.8651 8.225498
2018 9 2.154687 -0.4108919 1.743795 8.263551
2018 10 10.86293 -0.1481589 10.71477 8.367481
2018 11 8.65029 -0.7917015 7.858589 8.750023
2018 12 8.797305 -0.5911402 8.206165 9.105181
2019 1 7.04478 -0.1390813 6.905699 8.574063
2019 2 5.330841 -0.2979046 5.032937 8.799775
2019 3 2.622664 -0.8977455 1.724919 8.548598
2019 4 2.177889 -1.197834 0.9800542 8.289379
2019 5 -9.678269 -0.4246293 -10.1029 8.04083
2019 6 -27.91629 -0.8962519 -28.81254 8.247494
2019 7 -37.4475 -0.282663 -37.73016 8.198423
2019 8 -13.09798 0.1163158 -12.98166 8.230725
2019 9 2.855249 -0.2056724 2.649577 8.304835
2019 10 12.58167 -0.4677625 12.11391 8.390649
2019 11 9.448523 -2.35246 7.096062 8.753193
2019 12 7.708398 -1.128915 6.579483 9.145222
2020 1 9.901515 -0.6624939 9.239021 8.258667
2020 2 5.17581 -1.417872 3.757939 8.028179
2020 3 5.66801 -1.324927 4.343084 7.710841
2020 4 4.054303 -1.437766 2.616537 7.012341
2020 5 -10.85769 -0.9362983 -11.79399 7.031215
2020 6 -27.35244 -0.871424 -28.22386 7.745194
2020 7 -30.14731 -0.1605023 -30.30782 7.741729
2020 8 -11.41636 -7.846481e-05 -11.41643 7.889785
2020 9 0.6576255 -0.5536955 0.10393 8.068989
2020 10 11.43995 -0.7437853 10.69616 8.093762
2020 11 12.80306 -1.16312 11.63994 8.349888
2020 12 9.612921 -0.2487768 9.364144 9.12035
