lat prs annmn cos sin
1 1 -3.300263 -0.154446 -0.4524264
2 1 -2.949762 -0.150905 -0.4629303
3 1 -2.819571 -0.06342204 -0.4580319
4 1 -2.401329 -0.5359741 -0.2549254
5 1 -2.204065 -0.7412377 -0.02321171
6 1 -1.731832 -0.391821 0.2948093
7 1 -1.576064 -0.3791846 1.176303
8 1 -1.170994 -0.4818578 1.713777
9 1 -1.015416 -0.7880627 2.670446
10 1 -0.5430132 -0.9822055 2.863321
11 1 -0.162366 -1.160057 3.058078
12 1 0.1718961 -0.6520898 3.623965
13 1 -0.02579722 0.4376216 4.041463
14 1 -0.2094391 0.5171711 4.384303
15 1 -0.8536023 1.186372 4.445556
1 2 -3.574371 -0.1299427 -0.5301576
2 2 -3.288391 -0.179559 -0.5220656
3 2 -2.961719 0.02036057 -0.4468086
4 2 -2.551201 -0.3014015 -0.3820822
5 2 -2.52144 -0.9786573 -0.4270293
6 2 -2.005732 -0.701699 0.001976847
7 2 -1.246071 0.3621635 0.7654245
8 2 -1.321311 -0.5471911 2.085424
9 2 -0.9434381 -1.028967 2.843042
10 2 -0.3434924 -1.156053 3.002182
11 2 -0.001811186 -0.9985674 3.37387
12 2 0.3609591 -0.1692782 3.870862
13 2 0.3598092 0.4819639 4.149915
14 2 0.02893112 1.069229 4.942441
15 2 -0.3981834 1.668759 5.081745
1 3 -3.76943 -0.2840633 -0.5729157
2 3 -3.500151 -0.24136 -0.5552041
3 3 -3.117275 -0.006077245 -0.4520421
4 3 -2.699598 -0.03510012 -0.4275247
5 3 -2.526808 -0.6754637 -0.4038194
6 3 -2.099245 -0.6748207 -0.2161356
7 3 -0.7229486 1.281777 0.1718932
8 3 -1.296133 -0.4570455 2.296437
9 3 -0.9471945 -0.9449642 2.8794
10 3 -0.1572433 -0.8912004 3.064254
11 3 0.1885216 -0.7941239 3.627872
12 3 0.5027997 0.1381646 4.044634
13 3 0.7674778 0.4094481 4.116028
14 3 0.2233159 1.502952 5.36561
15 3 -0.2724014 1.769255 5.528785
1 4 -3.917881 -0.4898211 -0.6043418
2 4 -3.669485 -0.3394958 -0.6003595
3 4 -3.272481 -0.07793203 -0.4178629
4 4 -2.852917 0.094421 -0.3582391
5 4 -2.362739 -0.1834088 -0.4686488
6 4 -1.881133 0.09500169 -0.3639284
7 4 -0.3223042 1.722819 -0.08484374
8 4 -1.00196 -0.1718551 2.381183
9 4 -0.9454167 -0.7594889 2.927028
10 4 0.01813644 -0.6395357 3.280839
11 4 0.2076437 -0.2291844 4.104508
12 4 0.5899473 0.2725099 4.24931
13 4 1.11457 0.6257196 4.044442
14 4 0.3083783 1.643431 5.688157
15 4 -0.2136621 2.208318 6.165099
1 5 -4.077132 -0.6412749 -0.6842082
2 5 -3.856032 -0.4930337 -0.6235434
3 5 -3.387272 -0.08028943 -0.4239044
4 5 -2.999518 0.02051441 -0.151414
5 5 -2.411103 0.109698 -0.6344834
6 5 -1.899393 0.2878642 -0.4514635
7 5 -0.3448173 1.455112 0.1967311
8 5 -0.8337256 -0.2500267 2.686304
9 5 -0.7482551 -0.6079991 3.108544
10 5 0.07902815 -0.05667477 3.615012
11 5 0.4062096 -0.02449111 4.311279
12 5 0.7603235 0.4692453 4.474627
13 5 1.484697 0.7679478 3.817341
14 5 0.7401104 1.420795 5.762981
15 5 -0.02353428 2.688598 6.510577
1 6 -4.194998 -0.7060901 -0.726956
2 6 -4.044858 -0.6144443 -0.5893165
3 6 -3.565576 0.01061466 -0.36215
4 6 -3.241303 0.03265071 0.03001191
5 6 -2.602165 0.4645443 -0.4861385
6 6 -2.250889 0.1262034 -0.4021338
7 6 -0.9455331 0.3021325 0.6262109
8 6 -0.733152 -0.3820556 2.726695
9 6 -0.3582334 -0.2322454 3.62564
10 6 0.3295377 0.05510002 4.039655
11 6 0.3914216 0.6224695 4.330401
12 6 0.7265827 0.8324588 4.929628
13 6 1.870592 0.8757595 3.676667
14 6 0.7579194 2.232441 6.039326
15 6 0.1558282 3.190745 6.814399
1 7 -4.288922 -0.8042403 -0.8298706
2 7 -4.091685 -0.5445604 -0.5985945
3 7 -3.890194 -0.4378971 -0.2721246
4 7 -3.626973 -0.07287189 0.1537619
5 7 -2.935264 0.3631884 -0.4399343
6 7 -2.493049 -0.2334668 -0.5382484
7 7 -1.61808 -0.1853656 0.1352628
8 7 -0.6926317 -0.6329162 2.63041
9 7 0.2640891 -0.03016112 3.909069
10 7 0.6103171 0.4095029 4.911059
11 7 0.4385623 0.8385222 4.100492
12 7 1.121484 0.9087543 4.428734
13 7 2.287018 1.121073 3.470222
14 7 3.054543 0.406394 4.71439
15 7 0.8217795 3.973919 7.088813
