year month land ocean net foss
2015 1 7.171347 -2.555953 4.615395 8.251889
2015 2 4.48048 -3.356991 1.123488 8.488696
2015 3 3.428371 -2.72148 0.7068909 8.248429
2015 4 2.668092 -1.766026 0.902065 7.97089
2015 5 -8.094418 -1.537687 -9.632105 7.692349
2015 6 -29.19759 -1.143384 -30.34098 7.958707
2015 7 -28.63512 -0.2775826 -28.9127 7.883931
2015 8 -14.12651 -0.2646357 -14.39115 7.901762
2015 9 1.673903 -0.3026163 1.371287 8.004349
2015 10 8.826868 -0.7042912 8.122577 8.045473
2015 11 11.90347 -1.297718 10.60576 8.4255
2015 12 8.530904 -3.095228 5.435676 8.829492
2016 1 7.073597 -3.546451 3.527146 8.244765
2016 2 6.068944 -2.719234 3.34971 8.228707
2016 3 4.546321 -2.417701 2.128619 8.281971
2016 4 1.289085 -2.910871 -1.621786 7.96446
2016 5 -10.42713 -1.481612 -11.90875 7.72543
2016 6 -27.63352 -1.371161 -29.00468 7.972372
2016 7 -30.91546 -0.2499371 -31.1654 7.859618
2016 8 -12.59218 0.1853586 -12.40682 7.944576
2016 9 1.326883 -0.3172845 1.009598 8.010408
2016 10 10.61704 -0.499208 10.11783 8.043532
2016 11 9.607823 -1.623566 7.984257 8.457069
2016 12 8.33771 -2.958692 5.379018 8.814729
2017 1 7.296612 -3.085964 4.210648 8.370067
2017 2 5.148181 -2.656564 2.491616 8.610742
2017 3 5.147497 -2.876616 2.270881 8.390353
2017 4 2.934299 -2.20005 0.7342484 8.060561
2017 5 -8.524116 -2.007339 -10.53146 7.851097
2017 6 -25.28132 -1.0563 -26.33762 8.079198
2017 7 -30.41925 -0.2464368 -30.66568 7.968325
2017 8 -15.47643 0.12956 -15.34687 8.052816
2017 9 -0.4580531 -0.2363068 -0.6943599 8.103267
2017 10 9.735911 -0.7811225 8.954788 8.171595
2017 11 11.12457 -1.370369 9.7542 8.570567
2017 12 8.281929 -3.957101 4.324828 8.910147
2018 1 6.607102 -3.263407 3.343695 8.568912
2018 2 6.785191 -1.596339 5.188852 8.794387
2018 3 4.968166 -1.595854 3.372312 8.554491
2018 4 3.639971 -3.242201 0.39777 8.251204
2018 5 -8.636687 -1.327084 -9.963771 8.023364
2018 6 -25.42121 -1.593908 -27.01512 8.239234
2018 7 -30.14816 -0.2534152 -30.40157 8.157986
2018 8 -17.61296 -0.007436436 -17.6204 8.225498
2018 9 3.493126 0.1668483 3.659974 8.263551
2018 10 8.337044 -1.850087 6.486958 8.367481
2018 11 12.12838 -2.346319 9.782061 8.750023
2018 12 8.608073 -3.85084 4.757234 9.105181
2019 1 8.328678 -3.482628 4.84605 8.574063
2019 2 6.721874 -3.801278 2.920596 8.799775
2019 3 3.282707 -2.722103 0.5606038 8.548598
2019 4 2.785329 -3.48113 -0.6958012 8.289379
2019 5 -8.473243 -2.054508 -10.52775 8.04083
2019 6 -24.89957 -1.167577 -26.06715 8.247494
2019 7 -33.73259 -0.3021235 -34.03471 8.198423
2019 8 -14.06453 0.1045869 -13.95995 8.230725
2019 9 1.021949 0.01289776 1.034847 8.304835
2019 10 9.527883 -1.03889 8.488994 8.390649
2019 11 10.77581 -2.285552 8.490261 8.753193
2019 12 9.922842 -3.379248 6.543594 9.145222
2020 1 7.931955 -2.699576 5.232379 8.258667
2020 2 7.430015 -2.398102 5.031913 8.028179
2020 3 4.555663 -2.043126 2.512536 7.710841
2020 4 2.766778 -3.245919 -0.479141 7.012341
2020 5 -7.242114 -1.722454 -8.964568 7.031215
2020 6 -28.41579 -0.9216607 -29.33745 7.745194
2020 7 -27.59882 -0.08435349 -27.68317 7.741729
2020 8 -13.66155 -0.284197 -13.94574 7.889785
2020 9 0.9494714 -0.5758803 0.3735911 8.068989
2020 10 11.4546 -0.8458173 10.60879 8.093762
2020 11 11.57803 -0.8202102 10.75782 8.349888
2020 12 8.775391 -2.657522 6.117869 9.12035
