year month land ocean net foss
2015 1 -2.037241 0.1511927 -1.886048 0.06646022
2015 2 -2.243634 0.1875174 -2.056117 0.0693564
2015 3 -3.313142 0.1025615 -3.210581 0.06876264
2015 4 -3.018837 0.06901833 -2.949819 0.06869829
2015 5 -1.738531 -0.01322126 -1.751753 0.06811888
2015 6 -0.5003163 -0.09406908 -0.5943854 0.06996243
2015 7 -0.165359 0.0001178959 -0.1652411 0.06943513
2015 8 0.1527768 0.1242944 0.2770712 0.07030077
2015 9 1.514465 0.1151367 1.629602 0.07107608
2015 10 3.032656 0.05695971 3.089616 0.0701787
2015 11 3.084989 0.08555669 3.170546 0.07039963
2015 12 0.8271595 0.05232324 0.8794828 0.06974113
2016 1 -0.9834376 0.1070386 -0.876399 0.06601396
2016 2 -3.156028 0.1791223 -2.976906 0.06718234
2016 3 -2.793002 0.09334806 -2.699654 0.06865947
2016 4 -2.775387 0.06766685 -2.70772 0.06833468
2016 5 -1.529962 -0.1088726 -1.638835 0.06790196
2016 6 -0.2976969 -0.2427174 -0.5404143 0.06971892
2016 7 0.0465066 -0.1243876 -0.07788102 0.06888684
2016 8 1.962944 -0.1671741 1.79577 0.07028901
2016 9 2.242641 -0.02940381 2.213237 0.07080784
2016 10 3.323335 0.1076188 3.430954 0.06970766
2016 11 2.109472 0.02998744 2.139459 0.07032442
2016 12 -0.5745032 0.02350291 -0.5510003 0.06936062
2017 1 -2.787305 0.1123908 -2.674914 0.06694117
2017 2 -4.287026 0.1571623 -4.129863 0.06999768
2017 3 -4.086279 0.08164731 -4.004632 0.06952268
2017 4 -2.533631 0.03588567 -2.497745 0.06903451
2017 5 -1.538485 -0.02199328 -1.560479 0.06892966
2017 6 -1.317471 -0.1931905 -1.510661 0.0706072
2017 7 -0.8907157 -0.1198906 -1.010606 0.06974656
2017 8 1.771063 -0.2854031 1.48566 0.07119862
2017 9 2.527326 0.02722284 2.554549 0.07160253
2017 10 3.462688 0.1432618 3.605949 0.07069567
2017 11 2.491443 0.06575266 2.557196 0.07122215
2017 12 -0.5166631 0.03097574 -0.4856874 0.07007465
2018 1 -2.309254 0.138583 -2.170671 0.06718062
2018 2 -3.234903 0.1408201 -3.094082 0.07010958
2018 3 -3.270008 0.1038365 -3.166171 0.06947224
2018 4 -3.076861 0.02313708 -3.053724 0.06919584
2018 5 -1.717694 -0.05934443 -1.777038 0.06900337
2018 6 -1.354383 -0.2111796 -1.565563 0.07058093
2018 7 -0.4712559 -0.06668741 -0.5379433 0.06989119
2018 8 1.04902 -0.09850748 0.9505122 0.07123173
2018 9 2.463586 0.05085142 2.514437 0.07147435
2018 10 3.386687 0.03206263 3.418749 0.07090978
2018 11 2.161053 0.1416812 2.302735 0.07127386
2018 12 -0.6515567 0.06494477 -0.586612 0.07009559
2019 1 -2.902375 0.1310791 -2.771296 0.06784597
2019 2 -2.206513 0.1427846 -2.063729 0.07080561
2019 3 -2.178492 0.0832348 -2.095257 0.06996011
2019 4 -1.611038 0.03935059 -1.571687 0.07004038
2019 5 -1.344401 -0.01578078 -1.360182 0.06966076
2019 6 -0.6600204 -0.08158331 -0.7416037 0.07109315
2019 7 -0.01541574 -0.1110136 -0.1264293 0.07072858
2019 8 0.5265739 -0.1341325 0.3924414 0.0718096
2019 9 2.471947 0.083894 2.555841 0.07223828
2019 10 4.13973 0.06339207 4.203122 0.07160328
2019 11 2.785398 0.02231097 2.807709 0.07185804
2019 12 0.3578363 0.02038296 0.3782192 0.07085077
2020 1 -1.386251 0.1221491 -1.264102 0.07208808
2020 2 -2.749902 0.1705903 -2.579312 0.06821984
2020 3 -3.893273 0.06490215 -3.828371 0.06114651
2020 4 -2.304565 0.0009859737 -2.303579 0.0494478
2020 5 -1.477792 -0.0442059 -1.521998 0.05126901
2020 6 -0.4282203 -0.1686082 -0.5968284 0.059661
2020 7 -0.8585403 -0.02220122 -0.8807415 0.05932539
2020 8 0.3587029 0.03217602 0.3908789 0.05952218
2020 9 1.848655 0.07129947 1.919955 0.061932
2020 10 5.119255 0.1506534 5.269908 0.06348423
2020 11 2.193533 0.03943565 2.232968 0.0642695
2020 12 -1.082279 0.008095594 -1.074184 0.06575148
