year month land ocean net foss
2015 1 0.04486112 -0.1172109 -0.07234977 0.002527812
2015 2 0.1814245 -0.039704 0.1417205 0.002592797
2015 3 0.1471567 -0.1404358 0.006720894 0.002451362
2015 4 0.08574675 -0.00680925 0.0789375 0.002412316
2015 5 0.176762 -0.03719701 0.139565 0.002305375
2015 6 0.1462166 -0.02399294 0.1222237 0.002394835
2015 7 -0.5550071 -0.0526252 -0.6076323 0.002412006
2015 8 -0.3849256 -0.05565469 -0.4405803 0.002434844
2015 9 0.06635826 -0.09900308 -0.03264482 0.002419347
2015 10 0.1485795 -0.1900562 -0.04147672 0.002408039
2015 11 0.1838223 -0.1077626 0.07605969 0.002468519
2015 12 0.046523 -0.1313697 -0.08484667 0.002506106
2016 1 0.09695358 -0.0679263 0.02902727 0.002481011
2016 2 0.05568562 -0.04543246 0.01025316 0.002475252
2016 3 0.1387483 -0.06294992 0.07579843 0.002414445
2016 4 0.1367717 -0.02701472 0.109757 0.002372204
2016 5 0.1835758 -0.02465082 0.158925 0.002267883
2016 6 0.1464443 -0.03672159 0.1097227 0.002355227
2016 7 -0.392357 -0.05316038 -0.4455173 0.002371239
2016 8 -0.5023524 -0.05523854 -0.5575909 0.002401776
2016 9 0.1716015 -0.0730467 0.0985548 0.002381815
2016 10 0.1715923 -0.1168249 0.05476734 0.002366771
2016 11 0.1644487 -0.06255889 0.1018898 0.002431603
2016 12 0.09802245 -0.1039859 -0.005963477 0.002461865
2017 1 0.05406546 -0.01826213 0.03580333 0.002587076
2017 2 0.1090932 -0.02019661 0.08889656 0.002656275
2017 3 0.09070118 -0.06923277 0.02146841 0.002517912
2017 4 0.1635666 -0.05563308 0.1079335 0.00247281
2017 5 0.2163348 -0.01546421 0.2008706 0.002369319
2017 6 0.4306422 -0.04045142 0.3901908 0.002457079
2017 7 -0.4421862 -0.0314947 -0.4736809 0.002470365
2017 8 -0.4933247 -0.05401039 -0.5473351 0.002503308
2017 9 0.09854661 -0.05764954 0.04089707 0.002482519
2017 10 0.1667019 -0.151942 0.01475985 0.002471566
2017 11 0.169337 -0.07763581 0.0917012 0.002536945
2017 12 0.08578751 -0.09591009 -0.01012258 0.00256279
2018 1 0.1059765 -0.09558175 0.01039471 0.002646344
2018 2 0.1289968 -0.07666136 0.05233542 0.002715191
2018 3 0.09115363 -0.09567653 -0.0045229 0.002570867
2018 4 0.1863174 -0.04927911 0.1370383 0.002527554
2018 5 0.379519 -0.05575019 0.3237688 0.002421672
2018 6 0.3793305 -0.01165842 0.3676721 0.002509248
2018 7 -0.1278259 -0.001010166 -0.1288361 0.00252548
2018 8 -0.1354121 -0.07020905 -0.2056212 0.002557368
2018 9 -0.09303647 -0.08543073 -0.1784672 0.002533574
2018 10 0.0439394 -0.1400911 -0.09615167 0.002527329
2018 11 0.1251947 -0.1180588 0.007135916 0.002591562
2018 12 0.08343916 -0.1321251 -0.04868594 0.002618322
2019 1 0.1238263 -0.06464336 0.05918293 0.002600819
2019 2 0.1048815 -0.07286596 0.03201558 0.002667966
2019 3 0.1107193 -0.02386453 0.08685473 0.002524303
2019 4 0.09854465 -0.04362017 0.05492447 0.002487749
2019 5 0.220941 -0.02933268 0.1916083 0.002380292
2019 6 0.365537 -0.02647315 0.3390638 0.002463765
2019 7 -0.410532 -0.05840473 -0.4689367 0.002485582
2019 8 0.2204243 -0.01493141 0.2054929 0.002512515
2019 9 0.1250904 -0.09930084 0.02578953 0.002492213
2019 10 0.2017203 -0.1328023 0.06891793 0.002485361
2019 11 0.1581123 -0.108092 0.05002027 0.002545723
2019 12 0.1088219 -0.1549135 -0.0460916 0.002574761
2020 1 0.1258226 -0.1480774 -0.02225481 0.002579204
2020 2 0.1036967 -0.04025889 0.06343778 0.002567936
2020 3 0.0780745 -0.1162339 -0.03815943 0.002115403
2020 4 0.1717356 0.008531654 0.1802672 0.001641405
2020 5 0.1068272 -0.01933096 0.0874962 0.001625746
2020 6 0.02414513 0.03082755 0.05497268 0.001825921
2020 7 -1.282963 -0.03648064 -1.319444 0.001899097
2020 8 -0.4216578 -0.08811423 -0.509772 0.001939202
2020 9 0.1782334 -0.1940906 -0.01585714 0.001961891
2020 10 0.1826653 -0.1082499 0.07441542 0.001951571
2020 11 0.1460709 -0.1870781 -0.0410072 0.001984773
2020 12 0.1217785 -0.1650443 -0.04326581 0.002124117
