year month land ocean net foss
2015 1 0.0004625219 0 0.0004625219 6.80724e-05
2015 2 0.000390963 0 0.000390963 6.795743e-05
2015 3 0.0004864688 0 0.0004864688 6.798707e-05
2015 4 0.0005979747 0 0.0005979747 6.373468e-05
2015 5 0.001180791 0 0.001180791 6.474122e-05
2015 6 -0.0002092302 0 -0.0002092302 6.96817e-05
2015 7 -0.005107014 -0.00214819 -0.007255204 7.934769e-05
2015 8 -0.001173555 -0.001992819 -0.003166373 8.12121e-05
2015 9 0.000483924 -0.003672729 -0.003188805 7.399078e-05
2015 10 0.0006984635 -0.002529604 -0.001831141 6.595142e-05
2015 11 0.000467283 0 0.000467283 6.45844e-05
2015 12 0.0003551865 0 0.0003551865 6.472915e-05
2016 1 0.0005574198 0 0.0005574198 7.095303e-05
2016 2 0.0005320837 0 0.0005320837 6.907258e-05
2016 3 0.000516281 0 0.000516281 7.086304e-05
2016 4 0.0006484139 0 0.0006484139 6.637593e-05
2016 5 0.0009581266 0 0.0009581266 6.743804e-05
2016 6 0.0005720039 0 0.0005720039 7.265126e-05
2016 7 -0.0004703759 -0.005370409 -0.005840785 8.285091e-05
2016 8 -0.0005035301 -0.002844967 -0.003348497 8.481833e-05
2016 9 0.0004655199 -0.002549664 -0.002084145 7.71982e-05
2016 10 0.0004184582 -0.00195119 -0.001532731 6.8715e-05
2016 11 0.00063434 0 0.00063434 6.727255e-05
2016 12 0.0004798396 0 0.0004798396 6.742522e-05
2017 1 0.0002583623 0 0.0002583623 7.367137e-05
2017 2 0.000497289 0 0.000497289 7.354656e-05
2017 3 0.0005997314 0 0.0005997314 7.357882e-05
2017 4 0.0007281317 0 0.0007281317 6.895988e-05
2017 5 0.001443873 0 0.001443873 7.005316e-05
2017 6 -3.50506e-05 0 -3.50506e-05 7.541948e-05
2017 7 -0.003088346 -0.002487432 -0.005575778 8.591858e-05
2017 8 -0.001087239 -0.00214561 -0.003232849 8.794383e-05
2017 9 0.0007787299 -0.004159932 -0.003381202 8.009994e-05
2017 10 0.0006752411 -0.002726735 -0.002051493 7.136767e-05
2017 11 0.000642335 0 0.000642335 6.988282e-05
2017 12 0.000542947 0 0.000542947 7.003998e-05
2018 1 0.0004906463 0 0.0004906463 7.406813e-05
2018 2 0.0005406282 0 0.0005406282 7.394264e-05
2018 3 0.0005677649 0 0.0005677649 7.397498e-05
2018 4 0.0008869619 0 0.0008869619 6.933122e-05
2018 5 0.001483994 0 0.001483994 7.043039e-05
2018 6 -8.681946e-05 0 -8.681946e-05 7.582566e-05
2018 7 0.0008268031 -0.004863857 -0.004037054 8.638124e-05
2018 8 -0.0009752729 -0.005682176 -0.006657449 8.841743e-05
2018 9 0.000185169 -0.008427452 -0.008242282 8.053131e-05
2018 10 0.0002018224 -0.004187537 -0.003985714 7.175196e-05
2018 11 0.0004852219 0 0.0004852219 7.025911e-05
2018 12 0.0004411398 0 0.0004411398 7.041722e-05
2019 1 0.0005129191 0 0.0005129191 7.397146e-05
2019 2 0.0003387463 0 0.0003387463 7.384618e-05
2019 3 0.0005148758 0 0.0005148758 7.387842e-05
2019 4 0.0009327201 0 0.0009327201 6.924076e-05
2019 5 0.001763158 0 0.001763158 7.033848e-05
2019 6 -0.0001501011 0 -0.0001501011 7.572658e-05
2019 7 -0.005228186 -0.001448374 -0.00667656 8.626848e-05
2019 8 -0.0009461762 -0.001113149 -0.002059325 8.830196e-05
2019 9 0.001040093 -0.006501646 -0.005461552 8.042619e-05
2019 10 0.000815082 -0.001776437 -0.0009613545 7.165832e-05
2019 11 0.0006574948 0 0.0006574948 7.016746e-05
2019 12 0.0005694568 0 0.0005694568 7.032525e-05
2020 1 0.0005122129 0 0.0005122129 7.683782e-05
2020 2 0.0005370243 0 0.0005370243 6.910169e-05
2020 3 0.0005091789 0 0.0005091789 4.521547e-05
2020 4 0.0007254383 0 0.0007254383 1.184542e-05
2020 5 0.001290597 0 0.001290597 1.523381e-05
2020 6 -0.0003780052 0 -0.0003780052 1.68094e-05
2020 7 -0.004936192 -0.003762706 -0.008698899 2.558408e-05
2020 8 -0.001079589 -0.007389393 -0.008468983 3.055364e-05
2020 9 0.001022996 -0.01519632 -0.01417332 2.876897e-05
2020 10 0.0008158335 -0.003112813 -0.002296979 2.688943e-05
2020 11 0.0006473595 0 0.0006473595 2.863233e-05
2020 12 0.0005603429 0 0.0005603429 3.028832e-05
