year month land ocean net foss
2015 1 0 -0.004705553 -0.004705553 3.27457e-05
2015 2 0 -0.08743492 -0.08743492 3.27457e-05
2015 3 0 -0.02743865 -0.02743865 3.27457e-05
2015 4 0 -0.00632546 -0.00632546 3.27457e-05
2015 5 0 0.000371979 0.000371979 3.27457e-05
2015 6 0 0 0 3.27457e-05
2015 7 0 0 0 3.27457e-05
2015 8 0 0 0 3.27457e-05
2015 9 0 0 0 3.27457e-05
2015 10 0 0 0 3.27457e-05
2015 11 0 0 0 3.27457e-05
2015 12 0 -0.001769634 -0.001769634 3.27457e-05
2016 1 0 -0.007516372 -0.007516372 3.30883e-05
2016 2 0 -0.0604587 -0.0604587 3.30883e-05
2016 3 0 -0.03124316 -0.03124316 3.30883e-05
2016 4 0 -0.005414499 -0.005414499 3.30883e-05
2016 5 0 0.0005760265 0.0005760265 3.30883e-05
2016 6 0 0 0 3.30883e-05
2016 7 0 0 0 3.30883e-05
2016 8 0 0 0 3.30883e-05
2016 9 0 0 0 3.30883e-05
2016 10 0 0 0 3.30883e-05
2016 11 0 0 0 3.30883e-05
2016 12 0 -0.001318038 -0.001318038 3.30883e-05
2017 1 0 -0.006742861 -0.006742861 3.511997e-05
2017 2 0 -0.0822044 -0.0822044 3.511997e-05
2017 3 0 -0.04959316 -0.04959316 3.511997e-05
2017 4 0 -0.004751563 -0.004751563 3.511997e-05
2017 5 0 0.0007830725 0.0007830725 3.511997e-05
2017 6 0 0 0 3.511997e-05
2017 7 0 0 0 3.511997e-05
2017 8 0 0 0 3.511997e-05
2017 9 0 0 0 3.511997e-05
2017 10 0 0 0 3.511997e-05
2017 11 0 0 0 3.511997e-05
2017 12 0 -0.000443409 -0.000443409 3.511997e-05
2018 1 0 -0.004666982 -0.004666982 3.530905e-05
2018 2 0 -0.07374659 -0.07374659 3.530905e-05
2018 3 0 -0.04031973 -0.04031973 3.530905e-05
2018 4 0 -0.006366358 -0.006366358 3.530905e-05
2018 5 0 0.0002683444 0.0002683444 3.530905e-05
2018 6 0 0 0 3.530905e-05
2018 7 0 0 0 3.530905e-05
2018 8 0 0 0 3.530905e-05
2018 9 0 0 0 3.530905e-05
2018 10 0 0 0 3.530905e-05
2018 11 0 0 0 3.530905e-05
2018 12 0 -0.001396988 -0.001396988 3.530905e-05
2019 1 0 -0.005327878 -0.005327878 3.526295e-05
2019 2 0 -0.07665905 -0.07665905 3.526295e-05
2019 3 0 -0.03752185 -0.03752185 3.526295e-05
2019 4 0 -0.005068899 -0.005068899 3.526295e-05
2019 5 0 0.0002346474 0.0002346474 3.526295e-05
2019 6 0 0 0 3.526295e-05
2019 7 0 0 0 3.526295e-05
2019 8 0 0 0 3.526295e-05
2019 9 0 0 0 3.526295e-05
2019 10 0 0 0 3.526295e-05
2019 11 0 0 0 3.526295e-05
2019 12 0 -0.0007052599 -0.0007052599 3.526295e-05
2020 1 0 -0.005651518 -0.005651518 3.662938e-05
2020 2 0 -0.1304299 -0.1304299 3.299737e-05
2020 3 0 -0.04937225 -0.04937225 2.158182e-05
2020 4 0 -0.006534043 -0.006534043 6.032638e-06
2020 5 0 0.0004972071 0.0004972071 7.637201e-06
2020 6 0 0 0 7.82749e-06
2020 7 0 0 0 1.04577e-05
2020 8 0 0 0 1.220145e-05
2020 9 0 0 0 1.261379e-05
2020 10 0 0 0 1.323225e-05
2020 11 0 0 0 1.43893e-05
2020 12 0 -0.0003398011 -0.0003398011 1.518737e-05
