year month land ocean net foss
2015 1 -1.544272 0.1386134 -1.405658 0.1751815
2015 2 -2.722732 -0.04342848 -2.76616 0.1842921
2015 3 -1.531726 0.0089966 -1.52273 0.1788254
2015 4 -1.481724 0.152891 -1.328833 0.1798009
2015 5 -0.4794543 0.2302364 -0.2492179 0.1759468
2015 6 0.2412001 0.1860137 0.4272138 0.1825118
2015 7 0.05641939 0.2234726 0.279892 0.1819633
2015 8 0.03870899 0.09991554 0.1386245 0.183194
2015 9 3.354817 0.1258449 3.480661 0.1873888
2015 10 2.706757 0.07859389 2.785351 0.1867407
2015 11 1.623799 -0.01859301 1.605206 0.1840281
2015 12 1.149438 0.1398716 1.289309 0.1847741
2016 1 -0.4310158 -0.05942757 -0.4904433 0.1892095
2016 2 -2.457465 -0.01983356 -2.477298 0.1934146
2016 3 -0.7337278 0.02165238 -0.7120754 0.1938038
2016 4 -1.071854 -0.04238187 -1.114236 0.1941332
2016 5 -0.4795969 0.1662535 -0.3133434 0.1906017
2016 6 0.226329 0.1476547 0.3739837 0.1974764
2016 7 -0.0837793 0.1806904 0.09691112 0.1960993
2016 8 -0.4242233 0.2176832 -0.2065401 0.1988988
2016 9 0.5223711 -0.03648061 0.4858905 0.2027324
2016 10 1.449925 0.07369968 1.523625 0.201757
2016 11 0.3368283 0.006304911 0.3431332 0.1995398
2016 12 -0.1226103 0.02025703 -0.1023533 0.1995835
2017 1 -0.03546039 -0.1043931 -0.1398535 0.1824929
2017 2 -1.170916 0.06924044 -1.101675 0.1919889
2017 3 -1.993107 0.03728254 -1.955825 0.1865485
2017 4 -0.8529303 0.1200107 -0.7329196 0.1865296
2017 5 0.8822367 0.2093842 1.091621 0.1839281
2017 6 1.030455 0.3471345 1.377589 0.1900154
2017 7 0.8462481 0.2046121 1.05086 0.1888065
2017 8 1.339714 0.2478961 1.58761 0.191478
2017 9 -0.01608277 0.1779444 0.1618616 0.1947109
2017 10 1.49071 0.04014019 1.53085 0.1944497
2017 11 0.5693821 0.06847755 0.6378596 0.1920466
2017 12 -0.5195597 -0.0503549 -0.5699146 0.1916511
2018 1 -1.349197 -0.05144948 -1.400647 0.1945313
2018 2 -1.181646 0.2015658 -0.9800802 0.2043066
2018 3 -1.903996 0.1039967 -1.8 0.1979908
2018 4 -1.54116 0.1701073 -1.371052 0.1987495
2018 5 -0.5860658 0.1625032 -0.4235627 0.1955589
2018 6 0.2041345 0.3002211 0.5043556 0.2017219
2018 7 1.123983 0.2900109 1.413994 0.2011574
2018 8 0.5064802 0.1847105 0.6911907 0.2035375
2018 9 0.08419928 -0.04708858 0.0371107 0.2067361
2018 10 1.568015 0.08601766 1.654033 0.207293
2018 11 1.410144 0.1281242 1.538268 0.2041559
2018 12 -0.4137361 0.05907559 -0.3546605 0.2038965
2019 1 -2.148489 0.01481572 -2.133673 0.2046574
2019 2 -1.667147 -0.02558429 -1.692732 0.2149966
2019 3 -0.6327659 0.04783381 -0.5849321 0.2077654
2019 4 -1.623745 0.06114093 -1.562604 0.2094837
2019 5 0.2773191 0.07339042 0.3507095 0.205523
2019 6 -0.5794051 0.3306332 -0.2487719 0.2117857
2019 7 0.1001053 0.2056229 0.3057282 0.2119813
2019 8 0.3676089 0.2308053 0.5984142 0.2136424
2019 9 1.280231 0.05873941 1.33897 0.2178585
2019 10 2.386061 0.037758 2.423819 0.2180879
2019 11 0.3968095 0.05800272 0.4548123 0.2143202
2019 12 -0.02104473 0.03751669 0.01647196 0.2149032
2020 1 -1.275646 -0.04491406 -1.32056 0.2073572
2020 2 -2.680099 -0.108128 -2.788227 0.2097752
2020 3 -1.527392 -0.05674901 -1.584141 0.1876821
2020 4 -1.144437 -0.05693293 -1.20137 0.1662046
2020 5 -0.2695992 0.0756986 -0.1939006 0.1664094
2020 6 0.3945755 0.1857982 0.5803738 0.1911064
2020 7 0.4024426 0.1031204 0.505563 0.1932679
2020 8 0.1089817 0.1104099 0.2193916 0.192101
2020 9 1.641034 0.1171381 1.758172 0.2020662
2020 10 1.520449 0.01519703 1.535646 0.2007449
2020 11 0.7874377 -0.02060845 0.7668293 0.194332
2020 12 -0.07690347 0.004423252 -0.07248022 0.1998846
