year month land ocean net foss
2015 1 9.851084 -1.996409 7.854675 8.656976
2015 2 4.666817 -2.181486 2.485331 8.923629
2015 3 4.120729 -2.820739 1.299989 8.660329
2015 4 3.956728 -2.458351 1.498377 8.390098
2015 5 -4.766433 -2.664977 -7.431409 8.111184
2015 6 -26.81554 -3.670076 -30.48561 8.395776
2015 7 -26.38922 -2.884951 -29.27417 8.317251
2015 8 -10.87539 -2.416338 -13.29173 8.33631
2015 9 5.606594 -2.430616 3.175978 8.445909
2015 10 11.13759 -2.72815 8.409443 8.477225
2015 11 12.10248 -3.752124 8.350353 8.862518
2015 12 12.58339 -3.800262 8.783131 9.254607
2016 1 9.307578 -3.995834 5.311744 8.653587
2016 2 6.024279 -0.2686376 5.755641 8.654733
2016 3 6.5095 -0.8720052 5.637494 8.699523
2016 4 6.056164 -2.555476 3.500689 8.387591
2016 5 -11.08814 -2.745571 -13.83371 8.149834
2016 6 -27.54518 -3.846911 -31.39209 8.414581
2016 7 -28.96319 -2.754604 -31.71779 8.296068
2016 8 -11.18418 -1.948377 -13.13255 8.38592
2016 9 2.722118 -2.421659 0.3004591 8.45692
2016 10 9.204427 -3.311213 5.893214 8.479166
2016 11 11.16188 -3.288751 7.873133 8.900313
2016 12 10.84238 -3.452082 7.390296 9.243781
2017 1 7.78068 -2.309579 5.471101 8.777089
2017 2 5.231345 -0.9283287 4.303016 9.048277
2017 3 5.565159 -2.015413 3.549746 8.805184
2017 4 2.889452 -5.782892 -2.89344 8.48009
2017 5 -10.66234 -3.999393 -14.66173 8.273922
2017 6 -24.56403 -3.901709 -28.46574 8.518714
2017 7 -29.35693 -3.335384 -32.69232 8.402178
2017 8 -8.816466 -2.36052 -11.17699 8.491594
2017 9 0.4882809 -2.008341 -1.52006 8.546336
2017 10 9.769597 -5.059027 4.710569 8.605476
2017 11 11.26491 -3.624998 7.639908 9.01125
2017 12 9.866202 -3.705168 6.161035 9.335563
2018 1 8.3097 -3.229806 5.079894 8.976016
2018 2 10.76428 -0.9960133 9.768264 9.231081
2018 3 4.704247 -0.3944374 4.309809 8.967436
2018 4 3.227648 -2.02611 1.201537 8.670447
2018 5 -9.516606 -3.115452 -12.63206 8.44524
2018 6 -24.75709 -3.314735 -28.07182 8.67697
2018 7 -26.99092 -3.153937 -30.14485 8.591611
2018 8 -14.4906 -1.70197 -16.19257 8.663099
2018 9 2.443205 -2.372252 0.07095314 8.704536
2018 10 10.66105 -3.162073 7.498975 8.801407
2018 11 14.29916 -3.491181 10.80798 9.18961
2018 12 11.6275 -4.019315 7.608185 9.529523
2019 1 7.085404 -2.836806 4.248598 8.98519
2019 2 5.574723 -2.196986 3.377737 9.240892
2019 3 3.222957 -0.773115 2.449842 8.964415
2019 4 2.920894 -3.159868 -0.2389742 8.713832
2019 5 -8.759686 -2.402064 -11.16175 8.466773
2019 6 -24.87208 -3.535904 -28.40799 8.688566
2019 7 -26.00737 -2.122853 -28.13023 8.637478
2019 8 -12.05294 -2.562502 -14.61544 8.671798
2019 9 4.976471 -3.637972 1.3385 8.750889
2019 10 12.71034 -3.897434 8.812904 8.828767
2019 11 10.56298 -3.628604 6.934373 9.196216
2019 12 12.56087 -2.984065 9.576806 9.57437
2020 1 10.43462 -1.127847 9.306771 8.679617
2020 2 5.380102 0.2293955 5.609497 8.457677
2020 3 5.70304 -1.478272 4.224768 8.085311
2020 4 4.380931 -3.197268 1.183663 7.344425
2020 5 -8.68549 -3.612336 -12.29783 7.372794
2020 6 -24.81607 -3.356606 -28.17267 8.141753
2020 7 -25.72411 -2.630277 -28.35438 8.139084
2020 8 -8.616652 -2.038759 -10.65541 8.282947
2020 9 5.686919 -2.87681 2.810109 8.479585
2020 10 11.58461 -3.415385 8.169227 8.49696
2020 11 13.44527 -3.208612 10.23666 8.753376
2020 12 11.5341 -4.880536 6.653562 9.522416
