year month land ocean net foss
2015 1 0 -0.5340797 -0.5340797 2.565802e-05
2015 2 0 -0.2591337 -0.2591337 2.565802e-05
2015 3 0 -0.550709 -0.550709 2.565802e-05
2015 4 0 -0.099448 -0.099448 2.565802e-05
2015 5 0 0.03648936 0.03648936 2.565802e-05
2015 6 0 0.03721622 0.03721622 2.565802e-05
2015 7 0 0.01483083 0.01483083 2.565802e-05
2015 8 0 0.03451933 0.03451933 2.565802e-05
2015 9 0 -0.04568536 -0.04568536 2.565802e-05
2015 10 0 -0.1138664 -0.1138664 2.565802e-05
2015 11 0 -0.2099793 -0.2099793 2.565802e-05
2015 12 0 -0.4306669 -0.4306669 2.565802e-05
2016 1 0 -1.098872 -1.098872 2.592646e-05
2016 2 0 0.08927298 0.08927298 2.592646e-05
2016 3 0 0.8061966 0.8061966 2.592646e-05
2016 4 0 0.06845559 0.06845559 2.592646e-05
2016 5 0 -0.01503339 -0.01503339 2.592646e-05
2016 6 0 0.04634067 0.04634067 2.592646e-05
2016 7 0 0.01902316 0.01902316 2.592646e-05
2016 8 0 0.01989742 0.01989742 2.592646e-05
2016 9 0 -0.1004323 -0.1004323 2.592646e-05
2016 10 0 -0.1228971 -0.1228971 2.592646e-05
2016 11 0 -0.1085505 -0.1085505 2.592646e-05
2016 12 0 -0.347418 -0.347418 2.592646e-05
2017 1 0 -0.9469573 -0.9469573 2.751839e-05
2017 2 0 -0.5274704 -0.5274704 2.751839e-05
2017 3 0 -0.5202172 -0.5202172 2.751839e-05
2017 4 0 -0.7226432 -0.7226432 2.751839e-05
2017 5 0 -0.1230426 -0.1230426 2.751839e-05
2017 6 0 0.02850417 0.02850417 2.751839e-05
2017 7 0 0.02091407 0.02091407 2.751839e-05
2017 8 0 0.02517891 0.02517891 2.751839e-05
2017 9 0 -0.1093026 -0.1093026 2.751839e-05
2017 10 0 -0.1707622 -0.1707622 2.751839e-05
2017 11 0 -0.3398943 -0.3398943 2.751839e-05
2017 12 0 -0.6102335 -0.6102335 2.751839e-05
2018 1 0 -0.9699035 -0.9699035 2.766655e-05
2018 2 0 -0.003234932 -0.003234932 2.766655e-05
2018 3 0 -0.3719483 -0.3719483 2.766655e-05
2018 4 0 -0.166485 -0.166485 2.766655e-05
2018 5 0 -0.047015 -0.047015 2.766655e-05
2018 6 0 0.04157004 0.04157004 2.766655e-05
2018 7 0 0.01357363 0.01357363 2.766655e-05
2018 8 0 0.00282694 0.00282694 2.766655e-05
2018 9 0 -0.06829666 -0.06829666 2.766655e-05
2018 10 0 -0.2109547 -0.2109547 2.766655e-05
2018 11 0 -0.2412709 -0.2412709 2.766655e-05
2018 12 0 -0.6673351 -0.6673351 2.766655e-05
2019 1 0 -0.8058615 -0.8058615 2.763042e-05
2019 2 0 -0.2683184 -0.2683184 2.763042e-05
2019 3 0 0.1624896 0.1624896 2.763042e-05
2019 4 0 -0.02560578 -0.02560578 2.763042e-05
2019 5 0 0.001632786 0.001632786 2.763042e-05
2019 6 0 0.05974986 0.05974986 2.763042e-05
2019 7 0 0.02188476 0.02188476 2.763042e-05
2019 8 0 0.02062661 0.02062661 2.763042e-05
2019 9 0 -0.1063825 -0.1063825 2.763042e-05
2019 10 0 -0.1963021 -0.1963021 2.763042e-05
2019 11 0 -0.1086456 -0.1086456 2.763042e-05
2019 12 0 -0.4763725 -0.4763725 2.763042e-05
2020 1 0 -0.0788501 -0.0788501 2.870109e-05
2020 2 0 0.3580544 0.3580544 2.585522e-05
2020 3 0 0.07107217 0.07107217 1.691052e-05
2020 4 0 -0.1530671 -0.1530671 4.726897e-06
2020 5 0 0.005207298 0.005207298 5.984158e-06
2020 6 0 0.06030838 0.06030838 6.133259e-06
2020 7 0 0.02153192 0.02153192 8.194173e-06
2020 8 0 0.04380018 0.04380018 9.560491e-06
2020 9 0 -0.06297271 -0.06297271 9.883582e-06
2020 10 0 -0.1751366 -0.1751366 1.036818e-05
2020 11 0 -0.1974593 -0.1974593 1.127479e-05
2020 12 0 -0.7252723 -0.7252723 1.190012e-05
