year month land ocean net foss
2015 1 0.1197397 -0.09946361 0.02027613 0.002527812
2015 2 0.1488992 -0.07770692 0.07119232 0.002592797
2015 3 0.1788324 -0.08936296 0.08946946 0.002451362
2015 4 0.2543353 -0.06038052 0.1939547 0.002412316
2015 5 0.2740836 -0.02682011 0.2472635 0.002305375
2015 6 -0.4021023 -0.05163552 -0.4537378 0.002394835
2015 7 -0.8655911 -0.06011202 -0.9257031 0.002412006
2015 8 -0.3855703 -0.04912575 -0.434696 0.002434844
2015 9 0.1849994 -0.04898101 0.1360184 0.002419347
2015 10 0.2389568 -0.07287734 0.1660795 0.002408039
2015 11 0.1881531 -0.08166815 0.106485 0.002468519
2015 12 0.1318779 -0.1078225 0.02405538 0.002506106
2016 1 0.1557157 -0.06779157 0.08792409 0.002481011
2016 2 0.1592749 -0.05304368 0.1062312 0.002475252
2016 3 0.1731682 -0.0650674 0.1081008 0.002414445
2016 4 0.2576193 -0.0479866 0.2096327 0.002372204
2016 5 0.2492768 -0.03639192 0.2128848 0.002267883
2016 6 -0.5212158 -0.04137985 -0.5625956 0.002355227
2016 7 -1.105777 -0.05940176 -1.165179 0.002371239
2016 8 -0.4810254 -0.05235857 -0.5333839 0.002401776
2016 9 0.2003688 -0.05563046 0.1447383 0.002381815
2016 10 0.2675933 -0.08345625 0.184137 0.002366771
2016 11 0.1820147 -0.07905203 0.1029627 0.002431603
2016 12 0.1293554 -0.1013702 0.02798526 0.002461865
2017 1 0.1296193 -0.1044036 0.02521564 0.002587076
2017 2 0.1441639 -0.06194372 0.08222016 0.002656275
2017 3 0.1668643 -0.0708441 0.09602016 0.002517912
2017 4 0.2537883 -0.0548356 0.1989527 0.00247281
2017 5 0.2632279 -0.03268236 0.2305455 0.002369319
2017 6 -0.4454545 -0.04424744 -0.4897019 0.002457079
2017 7 -0.9437949 -0.05106047 -0.9948554 0.002470365
2017 8 -0.4213048 -0.04648013 -0.4677849 0.002503308
2017 9 0.179382 -0.05785668 0.1215253 0.002482519
2017 10 0.2460392 -0.08077827 0.1652609 0.002471566
2017 11 0.1783424 -0.09614906 0.08219336 0.002536945
2017 12 0.1426125 -0.1041439 0.03846859 0.00256279
2018 1 0.1296193 -0.07299378 0.05662551 0.002646344
2018 2 0.1441639 -0.05571503 0.08844886 0.002715191
2018 3 0.1668643 -0.07089807 0.09596619 0.002570867
2018 4 0.2537883 -0.05019909 0.2035892 0.002527554
2018 5 0.2632291 -0.04378876 0.2194404 0.002421672
2018 6 -0.4450936 -0.06243916 -0.5075327 0.002509248
2018 7 -0.9433388 -0.06206275 -1.005402 0.00252548
2018 8 -0.4147942 -0.04770402 -0.4624982 0.002557368
2018 9 0.1793868 -0.07002299 0.1093638 0.002533574
2018 10 0.2460366 -0.08894921 0.1570874 0.002527329
2018 11 0.1783424 -0.08189273 0.09644964 0.002591562
2018 12 0.1426125 -0.09641409 0.04619838 0.002618322
2019 1 0.1296193 -0.09152116 0.03809813 0.002600819
2019 2 0.1441639 -0.05370263 0.09046126 0.002667966
2019 3 0.1668643 -0.07472671 0.09213755 0.002524303
2019 4 0.2537883 -0.05422203 0.1995662 0.002487749
2019 5 0.263239 -0.04398846 0.2192505 0.002380292
2019 6 -0.4453416 -0.04874585 -0.4940875 0.002463765
2019 7 -0.9437178 -0.05087202 -0.9945898 0.002485582
2019 8 -0.4209333 -0.04984291 -0.4707762 0.002512515
2019 9 0.179386 -0.05698983 0.1223962 0.002492213
2019 10 0.2460366 -0.0757551 0.1702815 0.002485361
2019 11 0.1783424 -0.05974489 0.1185975 0.002545723
2019 12 0.1426125 -0.1045924 0.03802008 0.002574761
2020 1 0.1296193 -0.1134938 0.0161255 0.002579204
2020 2 0.1444205 -0.06618597 0.07823455 0.002567936
2020 3 0.1668643 -0.08630356 0.0805607 0.002115403
2020 4 0.2537883 -0.06860966 0.1851786 0.001641405
2020 5 0.2632373 -0.04275727 0.2204801 0.001625746
2020 6 -0.4449748 -0.06565498 -0.5106298 0.001825921
2020 7 -0.9434022 -0.05553048 -0.9989327 0.001899097
2020 8 -0.4212898 -0.06213949 -0.4834293 0.001939202
2020 9 0.179384 -0.06670743 0.1126766 0.001961891
2020 10 0.246037 -0.06707463 0.1789624 0.001951571
2020 11 0.1783424 -0.09085942 0.08748295 0.001984773
2020 12 0.1426125 -0.1070967 0.03551572 0.002124117
