year month land ocean net foss
2015 1 0 -0.004874629 -0.004874629 3.27457e-05
2015 2 0 -0.06136221 -0.06136221 3.27457e-05
2015 3 0 -0.02684735 -0.02684735 3.27457e-05
2015 4 0 -0.006351336 -0.006351336 3.27457e-05
2015 5 0 0.0003678109 0.0003678109 3.27457e-05
2015 6 0 0 0 3.27457e-05
2015 7 0 0 0 3.27457e-05
2015 8 0 0 0 3.27457e-05
2015 9 0 0 0 3.27457e-05
2015 10 0 0 0 3.27457e-05
2015 11 0 0 0 3.27457e-05
2015 12 0 -0.001626146 -0.001626146 3.27457e-05
2016 1 0 -0.007008105 -0.007008105 3.30883e-05
2016 2 0 -0.05981547 -0.05981547 3.30883e-05
2016 3 0 -0.03377366 -0.03377366 3.30883e-05
2016 4 0 -0.005807579 -0.005807579 3.30883e-05
2016 5 0 0.0005742074 0.0005742074 3.30883e-05
2016 6 0 0 0 3.30883e-05
2016 7 0 0 0 3.30883e-05
2016 8 0 0 0 3.30883e-05
2016 9 0 0 0 3.30883e-05
2016 10 0 0 0 3.30883e-05
2016 11 0 0 0 3.30883e-05
2016 12 0 -0.00126288 -0.00126288 3.30883e-05
2017 1 0 -0.006496444 -0.006496444 3.511997e-05
2017 2 0 -0.0616474 -0.0616474 3.511997e-05
2017 3 0 -0.03681628 -0.03681628 3.511997e-05
2017 4 0 -0.004431655 -0.004431655 3.511997e-05
2017 5 0 0.0007437957 0.0007437957 3.511997e-05
2017 6 0 0 0 3.511997e-05
2017 7 0 0 0 3.511997e-05
2017 8 0 0 0 3.511997e-05
2017 9 0 0 0 3.511997e-05
2017 10 0 0 0 3.511997e-05
2017 11 0 0 0 3.511997e-05
2017 12 0 -0.0004375581 -0.0004375581 3.511997e-05
2018 1 0 -0.005127379 -0.005127379 3.530905e-05
2018 2 0 -0.07173276 -0.07173276 3.530905e-05
2018 3 0 -0.04628624 -0.04628624 3.530905e-05
2018 4 0 -0.006328882 -0.006328882 3.530905e-05
2018 5 0 0.0002650231 0.0002650231 3.530905e-05
2018 6 0 0 0 3.530905e-05
2018 7 0 0 0 3.530905e-05
2018 8 0 0 0 3.530905e-05
2018 9 0 0 0 3.530905e-05
2018 10 0 0 0 3.530905e-05
2018 11 0 0 0 3.530905e-05
2018 12 0 -0.001308962 -0.001308962 3.530905e-05
2019 1 0 -0.007278904 -0.007278904 3.526295e-05
2019 2 0 -0.07075976 -0.07075976 3.526295e-05
2019 3 0 -0.03520757 -0.03520757 3.526295e-05
2019 4 0 -0.006233734 -0.006233734 3.526295e-05
2019 5 0 0.0002339104 0.0002339104 3.526295e-05
2019 6 0 0 0 3.526295e-05
2019 7 0 0 0 3.526295e-05
2019 8 0 0 0 3.526295e-05
2019 9 0 0 0 3.526295e-05
2019 10 0 0 0 3.526295e-05
2019 11 0 0 0 3.526295e-05
2019 12 0 -0.0006419407 -0.0006419407 3.526295e-05
2020 1 0 -0.005636064 -0.005636064 3.662938e-05
2020 2 0 -0.06002414 -0.06002414 3.299737e-05
2020 3 0 -0.04545894 -0.04545894 2.158182e-05
2020 4 0 -0.006178762 -0.006178762 6.032638e-06
2020 5 0 0.0005051527 0.0005051527 7.637201e-06
2020 6 0 0 0 7.82749e-06
2020 7 0 0 0 1.04577e-05
2020 8 0 0 0 1.220145e-05
2020 9 0 0 0 1.261379e-05
2020 10 0 0 0 1.323225e-05
2020 11 0 0 0 1.43893e-05
2020 12 0 -0.0003312535 -0.0003312535 1.518737e-05
