lat camp flt x yday
5 21 1 -0.9327684 210
15 21 1 -0.8421801 210
25 21 1 -1.057063 210
35 21 1 NA 210
5 22 1 -0.9906211 25
15 22 1 0.03606275 25.69633
25 22 1 1.320382 25.9619
35 22 1 2.773758 25.85816
-5 23 1 NA 270
5 23 1 -2.878568 270
15 23 1 -3.927306 270
25 23 1 -4.526513 270
35 23 1 -4.076466 270.5467
5 24 1 0.2724594 113
15 24 1 1.857438 113
25 24 1 1.791076 113
35 24 1 NA 113.2032
35 21 2 NA 213
45 21 2 NA 213
65 21 2 NA 213.2224
75 21 2 -9.275348 213
35 22 2 1.753957 28
45 22 2 2.75913 28
55 22 2 3.926761 28
65 22 2 4.181971 29
75 22 2 4.030778 29
35 23 2 -3.725216 273
45 23 2 -3.090101 273
55 23 2 -4.016443 273
65 23 2 -3.812656 274
75 23 2 -3.825348 273.8494
35 24 2 4.269814 116
45 24 2 4.607935 116
55 24 2 6.243032 116
65 24 2 6.880558 117
75 24 2 7.205953 116.4878
25 21 3 -1.120189 216
35 21 3 -2.331021 215.4057
45 21 3 -3.297414 215
55 21 3 -4.029571 215
65 21 3 -7.603335 215
15 22 3 NA 32
25 22 3 1.500174 32
35 22 3 3.357267 32
45 22 3 3.690713 31
55 22 3 4.097244 31
65 22 3 3.511616 31
25 23 3 -3.664672 276.5235
35 23 3 -3.299907 276
45 23 3 -2.739167 276
55 23 3 -3.094882 276
65 23 3 NA 276
15 24 3 NA 119
25 24 3 4.315016 118.7636
35 24 3 5.805772 118
45 24 3 3.79387 118
55 24 3 3.790616 118
65 24 3 NA 118
-15 21 4 -1.038544 219
-5 21 4 -1.181632 218.5256
5 21 4 -1.275764 218
15 21 4 -1.48922 218
-15 22 4 -1.141175 34
-5 22 4 -1.016933 33.82339
5 22 4 -0.4603195 33
15 22 4 0.383397 33
-15 23 4 -3.000364 279
-5 23 4 -3.013216 279
5 23 4 -3.203086 278.4583
15 23 4 -3.648467 278
-15 24 4 -1.73492 121
-5 24 4 -0.546606 120.7323
5 24 4 0.4175205 120
15 24 4 1.954903 120
-45 21 5 -2.409144 220.8525
-35 21 5 -2.379966 220
-25 21 5 NA 220
-15 21 5 -1.171547 220
-55 22 5 -3.922745 36
-45 22 5 -2.735316 35.98084
-35 22 5 -2.726987 35
-25 22 5 -1.62828 35
-15 22 5 -1.095587 35
-55 23 5 -2.58386 281
-45 23 5 -2.856669 280.9263
-35 23 5 -2.766992 280
-25 23 5 -2.781073 280
-15 23 5 -2.95259 280
-45 24 5 -2.716952 123
-35 24 5 -2.578114 122.4536
-25 24 5 -2.633258 122
-15 24 5 -2.255965 122
-65 21 6 -2.754325 225
-55 21 6 -2.651257 224.8609
-45 21 6 -2.656076 224
-65 22 6 -4.409606 40.63423
-55 22 6 -4.004584 40.48457
-45 22 6 NA 40
-65 23 6 -3.184072 283.4625
-55 23 6 -3.198314 283.4305
-45 23 6 -2.912396 283
-65 24 6 -3.632013 126
-55 24 6 -3.25299 125.5208
-45 24 6 -3.372706 125
-55 21 7 -2.640481 227
-45 21 7 -2.652027 227
-35 21 7 -1.865483 227
-25 21 7 -1.739098 227
-15 21 7 -1.507556 227
-5 21 7 NA 227
-55 22 7 -3.472774 43
-45 22 7 -3.280008 43
-35 22 7 -2.527517 43
-25 22 7 -2.086075 43
-15 22 7 -2.53217 43
-5 22 7 -0.3742368 43
-65 23 7 -3.298468 286
-55 23 7 -3.220038 286
-65 24 7 -3.760455 128
-55 24 7 -3.437039 128
-5 21 8 -1.038185 229
5 21 8 -1.729529 229
15 21 8 -3.152557 229
25 21 8 -3.755412 229
35 21 8 -3.260762 229
-5 22 8 -0.1974262 45
5 22 8 1.12157 45
15 22 8 0.2623058 45
25 22 8 0.991273 45
35 22 8 1.271529 45
-55 23 8 NA 289
-45 23 8 -2.915664 289
-35 23 8 -2.968286 289
-25 23 8 -2.743587 289
-15 23 8 -2.553429 289
-5 23 8 -0.298463 289
-55 24 8 -3.637804 131
-45 24 8 -3.406981 131
-35 24 8 -3.00629 131
-25 24 8 -2.27111 131
-15 24 8 -1.951899 131
-5 24 8 -1.211421 131
35 21 9 NA 232
45 21 9 -4.830081 232
55 21 9 NA 232
65 21 9 -9.719918 232
75 21 9 -10.05733 232
35 22 9 1.470393 48
45 22 9 1.209492 48
55 22 9 2.017173 48
65 22 9 4.622624 48
75 22 9 3.999545 48
-5 23 9 -1.676943 291
5 23 9 -4.208432 291
15 23 9 -3.504109 291
-5 24 9 -1.337087 133
5 24 9 0.04151317 133
15 24 9 2.079113 133
25 24 9 2.190977 133
35 24 9 2.545314 133
65 22 10 5.094001 49
75 22 10 4.896854 49
5 23 10 -4.727687 292
15 23 10 -3.326129 292
25 23 10 -2.829571 292
35 23 10 -2.668903 292
35 24 10 3.440092 136
45 24 10 4.094865 136
55 24 10 3.768448 136
65 24 10 5.09861 136
35 22 11 2.400666 51
45 22 11 3.933614 51
55 22 11 4.542702 51
65 22 11 4.3412 51
35 23 11 -2.421302 295
45 23 11 -2.036062 295
55 23 11 -1.95038 295
65 23 11 -1.188107 295
45 24 11 4.349141 137
65 24 11 5.505895 137
45 23 12 -2.487922 297
55 23 12 1.022212 297
65 23 12 -2.391979 297
75 23 12 -2.45897 297
45 24 12 3.49785 138
55 24 12 NA 138
65 24 12 6.177764 138.286
75 24 12 5.37431 138
35 23 13 -2.498666 299.0926
45 23 13 -2.628613 299
55 23 13 -2.266141 299
65 23 13 -2.074399 299
35 24 13 3.665987 140
45 24 13 4.497031 140
55 24 13 5.811534 140
65 24 13 5.516143 140
