year month land ocean net foss
2015 1 1.976868 -0.275884 1.700984 1.865727
2015 2 1.681469 -0.3174608 1.364008 1.919316
2015 3 1.342407 -0.3777232 0.9646838 1.828884
2015 4 -0.04394112 -0.5102908 -0.5542319 1.770597
2015 5 -3.82962 -0.5356005 -4.36522 1.703554
2015 6 -8.216064 -0.32092 -8.536984 1.76214
2015 7 -10.18083 -0.16987 -10.3507 1.751881
2015 8 -3.686733 -0.01655339 -3.703287 1.744297
2015 9 1.403235 -0.06580067 1.337434 1.773223
2015 10 3.224548 -0.368683 2.855865 1.77434
2015 11 3.882821 -0.508863 3.373958 1.860989
2015 12 2.377431 -0.4692552 1.908176 1.951653
2016 1 2.108435 -0.2804656 1.827969 1.858563
2016 2 1.729237 -0.2301444 1.499092 1.855693
2016 3 1.121645 -0.3052197 0.8164253 1.832372
2016 4 -0.6214134 -0.5444702 -1.165884 1.76504
2016 5 -4.204252 -0.5357616 -4.740014 1.705686
2016 6 -9.323029 -0.4111902 -9.734219 1.760806
2016 7 -9.83865 -0.1865394 -10.02519 1.741402
2016 8 -4.028641 0.01944561 -4.009195 1.749515
2016 9 1.882683 -0.06852271 1.81416 1.770474
2016 10 4.742276 -0.3996436 4.342633 1.768081
2016 11 2.891753 -0.4864226 2.40533 1.863973
2016 12 2.336864 -0.3809435 1.95592 1.943733
2017 1 2.710749 -0.3351176 2.375632 1.878454
2017 2 2.079044 -0.2520075 1.827036 1.93412
2017 3 1.681314 -0.3154238 1.36589 1.849257
2017 4 0.2120268 -0.4340414 -0.2220146 1.778333
2017 5 -3.464405 -0.4339673 -3.898373 1.726968
2017 6 -8.323631 -0.2900412 -8.613672 1.777415
2017 7 -9.897348 -0.1577829 -10.05513 1.757943
2017 8 -5.211722 -0.05226475 -5.263987 1.766423
2017 9 0.3865457 -0.08434094 0.3022048 1.784025
2017 10 3.507154 -0.3222215 3.184932 1.788801
2017 11 3.692485 -0.4457118 3.246773 1.881976
2017 12 2.369999 -0.4378731 1.932125 1.956501
2018 1 2.495886 -0.4344403 2.061446 1.914762
2018 2 2.360982 -0.3672775 1.993705 1.966035
2018 3 1.605558 -0.4043615 1.201196 1.876829
2018 4 -0.3424081 -0.6449642 -0.9873723 1.811479
2018 5 -3.735251 -0.5766509 -4.311902 1.756987
2018 6 -8.489326 -0.3946687 -8.883995 1.804784
2018 7 -8.941333 -0.1802641 -9.121597 1.791907
2018 8 -5.054926 -0.02497752 -5.079904 1.797644
2018 9 0.4017773 -0.0604536 0.3413237 1.810355
2018 10 2.849612 -0.3288019 2.52081 1.82378
2018 11 3.007945 -0.5257464 2.482198 1.912784
2018 12 2.740681 -0.5536106 2.18707 1.98973
2019 1 1.918356 -0.3325337 1.585822 1.900478
2019 2 1.854427 -0.3898581 1.464569 1.951071
2019 3 1.214285 -0.3571407 0.8571445 1.859771
2019 4 0.09369715 -0.5482192 -0.4545221 1.805875
2019 5 -4.195173 -0.496558 -4.691731 1.747045
2019 6 -7.2798 -0.3365399 -7.61634 1.791195
2019 7 -9.069683 -0.2240329 -9.293716 1.786867
2019 8 -5.719786 -0.05141508 -5.771201 1.784813
2019 9 0.4410391 -0.1131492 0.3278899 1.804541
2019 10 3.472517 -0.3958898 3.076628 1.814433
2019 11 3.547487 -0.5381311 3.009356 1.898349
2019 12 2.904248 -0.5994363 2.304812 1.982391
2020 1 2.25458 -0.3264963 1.928084 1.809863
2020 2 1.673225 -0.3568091 1.316416 1.764404
2020 3 1.290967 -0.3739666 0.9170008 1.658378
2020 4 -0.1773135 -0.5248454 -0.7021589 1.492923
2020 5 -3.871878 -0.526503 -4.398381 1.488994
2020 6 -8.422292 -0.4225175 -8.844809 1.663009
2020 7 -8.115799 -0.2339477 -8.349747 1.66342
2020 8 -4.762345 -0.02371424 -4.786059 1.681924
2020 9 0.4550008 -0.1324503 0.3225505 1.721973
2020 10 5.140201 -0.3960967 4.744104 1.716814
2020 11 4.126094 -0.5318739 3.59422 1.764036
2020 12 2.551231 -0.618141 1.93309 1.962919
