year month land ocean net foss
2015 1 -0.1347778 -0.6292451 -0.7640229 0.007197368
2015 2 -0.05937698 -0.5499137 -0.6092907 0.007698465
2015 3 -0.09083075 -0.6442219 -0.7350527 0.00753342
2015 4 0.0830605 -0.6593279 -0.5762674 0.007574838
2015 5 0.1535864 -0.765151 -0.6115646 0.007640349
2015 6 0.08669397 -0.6843719 -0.5976779 0.007911308
2015 7 0.01528081 -0.533703 -0.5184222 0.007931016
2015 8 0.07003225 -0.395119 -0.3250867 0.007914938
2015 9 0.03453301 -0.4169896 -0.3824566 0.007926407
2015 10 -0.02218352 -0.5233777 -0.5455612 0.007687529
2015 11 -0.1857511 -0.6551464 -0.8408975 0.007793063
2015 12 -0.1578627 -0.6729451 -0.8308078 0.007658812
2016 1 -0.2077531 -0.640763 -0.8485161 0.007183963
2016 2 -0.2124692 -0.610186 -0.8226552 0.007458632
2016 3 -0.2562973 -0.6856746 -0.9419719 0.007546891
2016 4 0.09088408 -0.7599082 -0.6690242 0.007556512
2016 5 0.1237976 -0.7436944 -0.6198968 0.007647655
2016 6 0.09066049 -0.7152462 -0.6245857 0.007906728
2016 7 0.03853455 -0.5993777 -0.5608432 0.007896701
2016 8 0.06975758 -0.3943512 -0.3245936 0.007936622
2016 9 0.0607089 -0.3749626 -0.3142537 0.007919765
2016 10 -0.05578815 -0.4847182 -0.5405063 0.007671128
2016 11 -0.1429696 -0.6704181 -0.8133877 0.007805532
2016 12 -0.1499395 -0.7339622 -0.8839016 0.007642531
2017 1 -0.1072451 -0.6757103 -0.7829554 0.007161186
2017 2 -0.2577466 -0.5476099 -0.8053565 0.007660753
2017 3 -0.1788885 -0.7224451 -0.9013336 0.007507482
2017 4 -0.01444708 -0.6817316 -0.6961786 0.007508606
2017 5 0.02178789 -0.7674989 -0.745711 0.007625878
2017 6 0.0554094 -0.6823612 -0.6269518 0.007866995
2017 7 0.07226246 -0.5484626 -0.4762002 0.007862321
2017 8 0.00777342 -0.4710376 -0.4632642 0.007900204
2017 9 0.05292227 -0.446253 -0.3933307 0.007868456
2017 10 0.03529324 -0.5512901 -0.5159969 0.007645181
2017 11 -0.1453451 -0.5663403 -0.7116855 0.007767406
2017 12 -0.08375005 -0.6577025 -0.7414525 0.007591334
2018 1 -0.05089713 -0.5925213 -0.6434185 0.00711818
2018 2 -0.251129 -0.5567456 -0.8078746 0.007600518
2018 3 -0.1376174 -0.5988641 -0.7364815 0.007436702
2018 4 -0.01648191 -0.7060581 -0.72254 0.007458929
2018 5 0.07506245 -0.6990905 -0.6240281 0.007565897
2018 6 0.0431914 -0.6064294 -0.563238 0.007791045
2018 7 -0.09835313 -0.5363543 -0.6347074 0.007809877
2018 8 -0.02325273 -0.3957643 -0.419017 0.007833913
2018 9 0.06704473 -0.4226066 -0.3555618 0.007793364
2018 10 -0.07463184 -0.4911032 -0.565735 0.007598292
2018 11 -0.06637738 -0.617096 -0.6834734 0.007702633
2018 12 -0.2104233 -0.679655 -0.8900784 0.00753203
2019 1 -0.1526928 -0.7091129 -0.8618057 0.007191666
2019 2 -0.2952711 -0.6215432 -0.9168142 0.007683631
2019 3 -0.1205028 -0.692052 -0.8125549 0.007498527
2019 4 -0.09163848 -0.7098043 -0.8014428 0.007553987
2019 5 0.09684382 -0.6819562 -0.5851123 0.007648115
2019 6 0.1308429 -0.6634691 -0.5326261 0.007867876
2019 7 0.08947857 -0.5514402 -0.4619616 0.007916437
2019 8 0.1133267 -0.4486938 -0.3353671 0.007908436
2019 9 0.1255176 -0.4069206 -0.281403 0.007888585
2019 10 0.1074859 -0.5195002 -0.4120143 0.007678748
2019 11 -0.05375824 -0.6684275 -0.7221858 0.007772733
2019 12 -0.2184522 -0.7937689 -1.012221 0.007621308
2020 1 -0.2467333 -0.7188359 -0.9655692 0.007201528
2020 2 -0.3117671 -0.6719137 -0.9836809 0.007499242
2020 3 -0.3630476 -0.7591122 -1.12216 0.006644413
2020 4 -0.2027487 -0.7314286 -0.9341772 0.005789635
2020 5 0.04932893 -0.7382144 -0.6888855 0.005990527
2020 6 0.07530523 -0.7012175 -0.6259123 0.006817772
2020 7 0.01022305 -0.5820136 -0.5717905 0.007004017
2020 8 -0.03137477 -0.4609081 -0.4922829 0.006927685
2020 9 -0.05076517 -0.4165743 -0.4673395 0.007121475
2020 10 -0.03016812 -0.5375293 -0.5676974 0.006800084
2020 11 -0.0836663 -0.6860184 -0.7696847 0.006758659
2020 12 -0.1677591 -0.7927196 -0.9604787 0.006767619
