year month land ocean net foss
2015 1 3.157207 -0.7470363 2.410171 3.39712
2015 2 3.082823 -0.7455457 2.337277 3.489327
2015 3 -0.08436017 -0.6821477 -0.7665078 3.398262
2015 4 -0.3522473 -0.5435809 -0.8958282 3.315981
2015 5 -1.872857 -0.3694001 -2.242257 3.217433
2015 6 -2.407981 -0.1952101 -2.603191 3.344524
2015 7 -2.147582 0.1005008 -2.047081 3.362088
2015 8 -1.466146 0.2319903 -1.234156 3.369116
2015 9 -0.7408146 0.1530709 -0.5877437 3.387261
2015 10 3.701842 -0.09866389 3.603178 3.364208
2015 11 3.202521 -0.3704715 2.832049 3.517844
2015 12 2.488738 -0.6959813 1.792757 3.703015
2016 1 3.793607 -0.8500089 2.943598 3.387115
2016 2 2.259427 -0.8205437 1.438884 3.375527
2016 3 0.4614196 -0.7894664 -0.3280468 3.404634
2016 4 -0.6908754 -0.7328088 -1.423684 3.304963
2016 5 -2.381717 -0.4396496 -2.821367 3.224466
2016 6 -3.114299 -0.3673759 -3.481675 3.342486
2016 7 -2.959906 0.0384714 -2.921434 3.34385
2016 8 -2.779508 0.1901481 -2.58936 3.380035
2016 9 -0.8989338 0.1431391 -0.7557946 3.38245
2016 10 1.400105 -0.08939855 1.310706 3.355735
2016 11 4.030043 -0.4634806 3.566563 3.523689
2016 12 2.929436 -0.6631061 2.26633 3.687857
2017 1 3.085203 -0.8146144 2.270589 3.439937
2017 2 2.686842 -0.8520136 1.834828 3.532962
2017 3 1.194636 -0.8046087 0.390027 3.44938
2017 4 -0.04945427 -0.6576117 -0.707066 3.345186
2017 5 -2.351227 -0.4456859 -2.796913 3.276765
2017 6 -2.736352 -0.2592165 -2.995568 3.386381
2017 7 -3.210028 0.03160171 -3.178426 3.389789
2017 8 -4.021586 0.168104 -3.853482 3.424879
2017 9 -1.753618 0.1573738 -1.596245 3.420941
2017 10 1.519979 -0.101632 1.418347 3.409596
2017 11 3.997182 -0.3990485 3.598133 3.572088
2017 12 2.936887 -0.6301375 2.306749 3.72823
2018 1 2.713301 -0.7769329 1.936368 3.522418
2018 2 2.97604 -0.7041213 2.271919 3.608833
2018 3 1.732652 -0.7736231 0.9590288 3.515723
2018 4 0.4620921 -0.6477272 -0.1856351 3.423907
2018 5 -0.7103719 -0.3681851 -1.078557 3.347555
2018 6 -1.213873 -0.09671425 -1.310587 3.451071
2018 7 -2.55006 0.08675867 -2.463301 3.469673
2018 8 -2.339233 0.2278461 -2.111387 3.496009
2018 9 -0.6385788 0.2303389 -0.40824 3.487858
2018 10 2.734979 -0.1074419 2.627538 3.490681
2018 11 4.265184 -0.4522346 3.81295 3.646859
2018 12 3.843336 -0.6922212 3.151115 3.810077
2019 1 3.507561 -0.7910722 2.716489 3.542733
2019 2 1.797831 -0.7872081 1.010622 3.629746
2019 3 -0.5556627 -0.7630474 -1.31871 3.531808
2019 4 -0.9029163 -0.6888098 -1.591726 3.457578
2019 5 -2.836665 -0.4626102 -3.299275 3.371282
2019 6 -3.242869 -0.2551323 -3.498001 3.47169
2019 7 -2.005168 0.03896526 -1.966203 3.50269
2019 8 -1.355041 0.2506168 -1.104424 3.513361
2019 9 -1.911306 0.223301 -1.688005 3.522846
2019 10 2.872774 -0.0853112 2.787463 3.518831
2019 11 4.623591 -0.4538173 4.169773 3.666763
2019 12 3.945829 -0.7439501 3.201879 3.847196
2020 1 2.743839 -0.781873 1.961966 3.403685
2020 2 1.986896 -0.7825598 1.204336 3.262423
2020 3 1.182526 -0.7363319 0.4461937 3.179952
2020 4 -1.232756 -0.6355126 -1.868268 3.041445
2020 5 -0.9295012 -0.4386418 -1.368143 3.031067
2020 6 -2.028302 -0.230392 -2.258694 3.308978
2020 7 -3.364286 0.03984345 -3.324443 3.332798
2020 8 -2.169954 0.2200127 -1.949941 3.398438
2020 9 -1.02404 0.2111691 -0.8128706 3.427024
2020 10 1.415192 -0.07142219 1.34377 3.409447
2020 11 4.726674 -0.4072472 4.319427 3.528157
2020 12 3.314236 -0.7516282 2.562608 3.85521
