year month land ocean net foss
2015 1 4.21678 -2.55228 1.6645 8.656976
2015 2 2.565136 -3.002139 -0.4370027 8.923629
2015 3 2.473944 -2.954382 -0.4804378 8.660329
2015 4 3.516296 -2.977492 0.5388037 8.390098
2015 5 -10.22679 -3.183461 -13.41025 8.111184
2015 6 -28.46341 -3.026985 -31.49039 8.395776
2015 7 -29.52578 -1.990648 -31.51643 8.317251
2015 8 -14.92529 -1.605674 -16.53096 8.33631
2015 9 2.567315 -1.796682 0.7706328 8.445909
2015 10 9.94617 -2.382239 7.563931 8.477225
2015 11 10.957 -2.986642 7.970356 8.862518
2015 12 7.658012 -3.112854 4.545157 9.254607
2016 1 5.740614 -2.884878 2.855736 8.653587
2016 2 2.627696 -2.789099 -0.1614027 8.654733
2016 3 1.624597 -2.798995 -1.174398 8.699523
2016 4 -0.02357536 -2.916387 -2.939962 8.387591
2016 5 -9.804137 -2.452368 -12.25651 8.149834
2016 6 -31.08219 -2.622982 -33.70517 8.414581
2016 7 -29.44337 -1.866708 -31.31008 8.296068
2016 8 -16.8651 -1.2857 -18.1508 8.38592
2016 9 0.9444724 -1.318047 -0.3735747 8.45692
2016 10 8.820031 -2.273903 6.546128 8.479166
2016 11 9.745788 -3.115747 6.630041 8.900313
2016 12 6.16915 -3.143967 3.025184 9.243781
2017 1 4.7135 -2.983495 1.730005 8.777089
2017 2 2.531372 -2.535653 -0.004280716 9.048277
2017 3 3.271906 -2.901094 0.3708118 8.805184
2017 4 0.7656864 -2.545753 -1.780066 8.48009
2017 5 -10.32378 -2.288662 -12.61244 8.273922
2017 6 -28.74005 -2.404271 -31.14432 8.518714
2017 7 -30.94489 -1.755958 -32.70085 8.402178
2017 8 -18.90313 -1.573896 -20.47702 8.491594
2017 9 3.589779 -1.586566 2.003213 8.546336
2017 10 9.913952 -2.200755 7.713196 8.605476
2017 11 11.52943 -2.976319 8.553107 9.01125
2017 12 6.915227 -3.01637 3.898856 9.335563
2018 1 3.99591 -2.64592 1.349989 8.976016
2018 2 4.77914 -2.479761 2.29938 9.231081
2018 3 3.488349 -2.620406 0.8679425 8.967436
2018 4 2.089868 -3.18378 -1.093912 8.670447
2018 5 -9.777487 -2.805486 -12.58297 8.44524
2018 6 -27.35325 -2.352489 -29.70574 8.67697
2018 7 -28.86293 -1.744042 -30.60697 8.591611
2018 8 -18.66347 -1.50545 -20.16892 8.663099
2018 9 1.327574 -1.339399 -0.01182516 8.704536
2018 10 10.94915 -2.185351 8.763804 8.801407
2018 11 10.4891 -2.874709 7.614393 9.18961
2018 12 7.970595 -3.244183 4.726412 9.529523
2019 1 5.450361 -2.977811 2.472549 8.98519
2019 2 1.671978 -2.613289 -0.9413111 9.240892
2019 3 2.565122 -2.807382 -0.2422598 8.964415
2019 4 0.5133129 -2.928107 -2.414794 8.713832
2019 5 -10.57211 -2.947474 -13.51958 8.466773
2019 6 -29.00158 -2.822698 -31.82428 8.688566
2019 7 -29.29327 -2.099146 -31.39242 8.637478
2019 8 -19.19498 -1.430744 -20.62573 8.671798
2019 9 1.615191 -1.314888 0.3003033 8.750889
2019 10 12.1976 -2.391668 9.805929 8.828767
2019 11 12.55986 -3.147645 9.412216 9.196216
2019 12 6.051735 -3.680143 2.371592 9.57437
2020 1 3.9131 -2.822568 1.090532 8.679617
2020 2 3.827797 -2.627176 1.20062 8.457677
2020 3 2.192202 -3.159949 -0.9677475 8.085311
2020 4 -0.2726237 -2.981306 -3.253929 7.344425
2020 5 -10.07934 -3.058423 -13.13776 7.372794
2020 6 -27.4856 -2.980419 -30.46601 8.141753
2020 7 -29.60846 -2.142996 -31.75146 8.139084
2020 8 -14.69107 -1.721923 -16.413 8.282947
2020 9 2.991933 -1.531956 1.459977 8.479585
2020 10 12.42984 -2.305663 10.12418 8.49696
2020 11 12.30072 -3.133062 9.167659 8.753376
2020 12 6.017992 -3.837757 2.180235 9.522416
