year month land ocean net foss
2015 1 1.249123 -0.2921061 0.957017 1.865727
2015 2 1.243246 -0.3776746 0.8655717 1.919316
2015 3 1.665649 -0.454165 1.211484 1.828884
2015 4 -0.413888 -0.5393694 -0.9532574 1.770597
2015 5 -4.235977 -0.59659 -4.832567 1.703554
2015 6 -8.174755 -0.4652441 -8.639999 1.76214
2015 7 -10.05003 -0.2677706 -10.3178 1.751881
2015 8 -4.504244 -0.09078855 -4.595032 1.744297
2015 9 0.3045893 -0.08668013 0.2179091 1.773223
2015 10 3.558833 -0.3673722 3.191461 1.77434
2015 11 4.310085 -0.507526 3.802559 1.860989
2015 12 2.488445 -0.4819499 2.006495 1.951653
2016 1 1.769311 -0.2931358 1.476175 1.858563
2016 2 1.790844 -0.2717085 1.519136 1.855693
2016 3 0.3919409 -0.3863417 0.005599225 1.832372
2016 4 -1.434173 -0.6564518 -2.090625 1.76504
2016 5 -4.810118 -0.4985512 -5.308669 1.705686
2016 6 -9.05266 -0.4284532 -9.481113 1.760806
2016 7 -9.310269 -0.2227728 -9.533042 1.741402
2016 8 -5.242434 -0.02095906 -5.263393 1.749515
2016 9 -0.108736 -0.07715592 -0.1858919 1.770474
2016 10 5.11638 -0.4050781 4.711301 1.768081
2016 11 3.508121 -0.4898764 3.018244 1.863973
2016 12 1.850473 -0.3900527 1.460421 1.943733
2017 1 1.751482 -0.3523814 1.3991 1.878454
2017 2 1.394055 -0.329346 1.064709 1.93412
2017 3 1.683026 -0.3951631 1.287863 1.849257
2017 4 -0.343389 -0.5504331 -0.8938221 1.778333
2017 5 -4.577954 -0.4227317 -5.000686 1.726968
2017 6 -9.415162 -0.2995379 -9.7147 1.777415
2017 7 -9.378901 -0.1730513 -9.551953 1.757943
2017 8 -5.655439 -0.05417379 -5.709613 1.766423
2017 9 -0.01668424 -0.08085286 -0.0975371 1.784025
2017 10 3.433706 -0.3234006 3.110305 1.788801
2017 11 3.398061 -0.4522227 2.945839 1.881976
2017 12 1.94405 -0.4492982 1.494752 1.956501
2018 1 1.920163 -0.4533212 1.466842 1.914762
2018 2 2.072467 -0.4156627 1.656804 1.966035
2018 3 1.661172 -0.4148906 1.246282 1.876829
2018 4 -0.1810799 -0.7057007 -0.8867805 1.811479
2018 5 -4.746492 -0.5679028 -5.314395 1.756987
2018 6 -9.540784 -0.3718638 -9.912647 1.804784
2018 7 -8.301293 -0.0812766 -8.382569 1.791907
2018 8 -4.862645 -0.05926435 -4.921909 1.797644
2018 9 0.8807807 -0.04517819 0.8356025 1.810355
2018 10 4.029664 -0.3572068 3.672457 1.82378
2018 11 3.616459 -0.5305687 3.08589 1.912784
2018 12 1.848488 -0.5507614 1.297727 1.98973
2019 1 2.04015 -0.3740951 1.666055 1.900478
2019 2 1.491046 -0.4114412 1.079605 1.951071
2019 3 1.513614 -0.4516639 1.06195 1.859771
2019 4 0.2602929 -0.7166659 -0.456373 1.805875
2019 5 -4.252543 -0.566536 -4.819079 1.747045
2019 6 -8.401283 -0.3495931 -8.750876 1.791195
2019 7 -8.065147 -0.1957449 -8.260892 1.786867
2019 8 -5.197897 -0.03216578 -5.230062 1.784813
2019 9 0.8582503 -0.1150913 0.743159 1.804541
2019 10 3.979957 -0.3947169 3.58524 1.814433
2019 11 3.962895 -0.5567213 3.406174 1.898349
2019 12 3.252344 -0.6093269 2.643017 1.982391
2020 1 2.257873 -0.3257513 1.932122 1.809863
2020 2 1.710325 -0.3656271 1.344698 1.764404
2020 3 1.05444 -0.4406922 0.613748 1.658378
2020 4 -0.9564992 -0.4927776 -1.449277 1.492923
2020 5 -4.542081 -0.5246728 -5.066754 1.488994
2020 6 -8.627954 -0.3971077 -9.025062 1.663009
2020 7 -8.222419 -0.1692832 -8.391702 1.66342
2020 8 -4.045126 -0.06568146 -4.110808 1.681924
2020 9 0.1091007 -0.1140851 -0.004984318 1.721973
2020 10 5.594656 -0.3894038 5.205252 1.716814
2020 11 3.459978 -0.5173569 2.942621 1.764036
2020 12 2.083695 -0.627482 1.456213 1.962919
