year month land ocean net foss
2015 1 -0.5003491 -0.02904752 -0.5293967 0.1607489
2015 2 -0.616667 -0.0820092 -0.6986762 0.1724682
2015 3 -0.3807052 -0.1336729 -0.5143781 0.1655968
2015 4 0.6523655 -0.2882178 0.3641478 0.1678315
2015 5 0.6239999 -0.6316537 -0.007653778 0.1674503
2015 6 0.4122846 -0.8945713 -0.4822867 0.1737673
2015 7 -0.1441481 -0.9165291 -1.060677 0.1729884
2015 8 -0.1188543 -0.8601668 -0.9790211 0.1737585
2015 9 -0.635757 -0.9220708 -1.557828 0.175636
2015 10 -0.6020077 -0.7472702 -1.349278 0.1699916
2015 11 -0.6005998 -0.5394413 -1.140041 0.1726149
2015 12 -0.4628432 -0.3352916 -0.7981349 0.1690444
2016 1 -0.397339 -0.1009069 -0.4982459 0.1632465
2016 2 -0.6973081 -0.08066637 -0.7779745 0.1699395
2016 3 -0.2053455 -0.1678606 -0.3732061 0.1688405
2016 4 -0.1845878 -0.2629811 -0.4475689 0.1703996
2016 5 0.6466202 -0.5638287 0.08279145 0.1706512
2016 6 -0.3466428 -0.7660095 -1.112652 0.1767913
2016 7 -0.347016 -0.9836278 -1.330644 0.1753164
2016 8 -0.3413055 -0.8858867 -1.227192 0.1774001
2016 9 -0.8958597 -0.7319949 -1.627855 0.1786
2016 10 -1.260858 -0.7126088 -1.973467 0.1725956
2016 11 -0.8625547 -0.604477 -1.467032 0.1760005
2016 12 -0.7398204 -0.3442518 -1.084072 0.1716354
2017 1 -0.1712179 -0.1193053 -0.2905233 0.1592635
2017 2 -0.1273907 0.05672385 -0.07066685 0.1710845
2017 3 -0.1266908 -0.1641596 -0.2908504 0.1644428
2017 4 0.07218962 -0.2930173 -0.2208276 0.1657354
2017 5 -0.3142292 -0.5564413 -0.8706705 0.1666402
2017 6 -0.2424827 -0.8407702 -1.083253 0.1723177
2017 7 0.2461089 -0.9580141 -0.7119051 0.1709332
2017 8 0.3717632 -0.8852529 -0.5134897 0.1729941
2017 9 -0.3295552 -0.8183322 -1.147887 0.1738551
2017 10 -0.9885307 -0.7081575 -1.696688 0.1685054
2017 11 -0.7099969 -0.5145851 -1.224582 0.1715919
2017 12 -0.5482263 -0.2435913 -0.7918175 0.166917
2018 1 -0.8406375 0.02898201 -0.8116555 0.1593526
2018 2 -0.9226856 0.06494072 -0.8577448 0.1708535
2018 3 -0.622134 -0.08359179 -0.7057257 0.1639063
2018 4 0.4256374 -0.2875638 0.1380736 0.1657366
2018 5 -0.05564076 -0.5519834 -0.6076242 0.166421
2018 6 0.03233464 -0.8165135 -0.7841789 0.1717742
2018 7 0.2654797 -1.001288 -0.7358079 0.1709574
2018 8 0.07479006 -0.9069443 -0.8321542 0.1726837
2018 9 -0.6737417 -0.7500097 -1.423751 0.1732778
2018 10 -0.9212123 -0.6425526 -1.563765 0.1686104
2018 11 -0.7528512 -0.4298201 -1.182671 0.1712887
2018 12 -0.192604 -0.2404405 -0.4330445 0.1666753
2019 1 -0.5454281 -0.03912955 -0.5845577 0.1610955
2019 2 -1.037704 0.02047669 -1.017227 0.1727969
2019 3 -0.5033501 -0.0520772 -0.5554273 0.1652549
2019 4 -0.2997841 -0.2706146 -0.5703987 0.1679252
2019 5 0.2015777 -0.5430284 -0.3414507 0.1682015
2019 6 0.1077226 -0.8674296 -0.7597071 0.1733684
2019 7 -0.2136929 -0.9602036 -1.173896 0.1732581
2019 8 -0.6172 -0.883387 -1.500587 0.1742695
2019 9 -1.063772 -0.7505098 -1.814282 0.1754257
2019 10 -0.9247 -0.6961423 -1.620842 0.1703908
2019 11 -0.8298864 -0.5837803 -1.413667 0.1728267
2019 12 -1.217667 -0.3635492 -1.581216 0.1686956
2020 1 -1.591546 0.001578941 -1.589967 0.1614705
2020 2 -0.8057718 0.05955155 -0.7462202 0.1689471
2020 3 -0.3564271 -0.1890792 -0.5455062 0.1490196
2020 4 0.1677016 -0.3478202 -0.1801186 0.1339232
2020 5 -0.3236973 -0.5889145 -0.9126118 0.1365979
2020 6 0.4197251 -0.8932939 -0.4735688 0.1560638
2020 7 -0.183624 -1.0002 -1.183824 0.1583059
2020 8 -0.2875304 -0.9524581 -1.239988 0.157154
2020 9 -0.9370688 -0.764615 -1.701684 0.1631343
2020 10 -1.071957 -0.6459747 -1.717932 0.1557063
2020 11 -0.9996053 -0.6063943 -1.606 0.1548743
2020 12 -0.5664878 -0.3804211 -0.9469089 0.1546928
