lat prs annmn cos sin
1 1 -3.225922 -0.3551894 -0.645923
2 1 -2.911174 -0.1813672 -0.5929356
3 1 -2.753265 -0.1600491 -0.569353
4 1 -2.279838 -0.5119267 -0.2883382
5 1 -2.090304 -0.6730097 0.001892144
6 1 -1.901025 -0.7256018 0.03409412
7 1 -1.595009 -0.7604179 0.7082017
8 1 -1.308124 -0.7443103 1.372988
9 1 -1.027407 -0.885781 1.896628
10 1 -0.653096 -1.197844 2.522723
11 1 -0.1433716 -1.443302 3.04023
12 1 0.3120745 -0.5473634 3.409194
13 1 0.2833918 0.6043036 4.204746
14 1 0.2487047 0.9449303 4.72029
15 1 -0.500142 1.017376 4.84699
1 2 -3.509689 -0.4054609 -0.6926311
2 2 -3.168164 -0.2376657 -0.6577201
3 2 -2.832634 -0.172981 -0.5500017
4 2 -2.522195 -0.4654766 -0.4336557
5 2 -2.225177 -0.7490069 -0.2697458
6 2 -1.966629 -0.6418524 -0.1240819
7 2 -1.234864 -0.2130714 0.1763954
8 2 -1.386175 -0.7896823 1.642845
9 2 -1.042168 -1.107319 2.154
10 2 -0.544854 -1.319766 2.710531
11 2 0.2665597 -1.193237 3.342709
12 2 0.6081913 0.1721334 3.596718
13 2 0.7116331 0.6910735 4.466304
14 2 0.6695349 1.390164 5.598929
15 2 0.119103 2.081534 5.824099
1 3 -3.650389 -0.4973444 -0.7140639
2 3 -3.281362 -0.3493348 -0.6552121
3 3 -2.922013 -0.2030856 -0.4772351
4 3 -2.632272 -0.450457 -0.4787321
5 3 -2.286365 -0.4716303 -0.3193134
6 3 -2.007567 -0.512322 -0.1149805
7 3 -0.8589699 0.7097412 -0.1300455
8 3 -1.350841 -0.8728348 1.885743
9 3 -1.038892 -1.060399 2.33157
10 3 -0.243524 -0.7057176 2.887365
11 3 0.6024317 -0.6427434 3.698688
12 3 0.8330619 0.4147322 3.712686
13 3 1.123838 0.7627322 4.549907
14 3 0.7765943 1.892329 6.149674
15 3 0.2526724 2.634839 6.289339
1 4 -3.718543 -0.5269638 -0.7351978
2 4 -3.428061 -0.4826998 -0.7049689
3 4 -3.082667 -0.2621881 -0.490651
4 4 -2.682193 -0.3771167 -0.4310157
5 4 -2.270623 -0.09880182 -0.4696493
6 4 -1.944619 -0.397591 -0.1031123
7 4 -0.6508233 1.128324 -0.4569166
8 4 -1.003786 -1.049166 2.511491
9 4 -0.8554228 -1.485505 2.954348
10 4 -0.05880649 -0.2080836 3.22464
11 4 0.7946493 -0.1885791 3.940376
12 4 1.122833 0.3921766 4.030078
13 4 1.579252 0.702566 4.42151
14 4 0.7508211 2.29558 6.490331
15 4 0.2082687 2.896621 6.807791
1 5 -3.76279 -0.5357453 -0.7858574
2 5 -3.484341 -0.5573117 -0.7854095
3 5 -3.050298 -0.3146423 -0.4669178
4 5 -2.561996 -0.5800838 -0.2425367
5 5 -2.402958 0.05495806 -0.6898845
6 5 -2.227943 -0.3119673 -0.2663888
7 5 -0.8075221 0.5825123 -0.4589706
8 5 -1.179056 -1.534254 2.957701
9 5 -0.1739037 -1.60453 3.710551
10 5 0.4312826 0.01158754 3.745939
11 5 1.14222 0.1244086 4.448875
12 5 1.551041 0.4180972 4.26455
13 5 2.147848 0.5038529 4.400831
14 5 1.44515 1.451652 5.93641
15 5 0.5120393 3.03446 6.819791
1 6 -3.783394 -0.6067587 -0.8340295
2 6 -3.182321 -0.6730425 -0.4620904
3 6 -3.118497 -0.5024984 -0.1851188
4 6 -2.597038 -1.043424 0.03000623
5 6 -2.667823 -0.1422259 -0.5846687
6 6 -2.683892 -0.2120667 -0.3997822
7 6 -1.798815 -0.463867 0.09169917
8 6 -1.079646 -1.048802 2.486708
9 6 0.2015402 -0.6607893 3.953235
10 6 0.7053298 0.3349971 4.207421
11 6 1.587329 1.205986 4.709615
12 6 1.945093 0.6686375 4.938984
13 6 2.364533 1.369199 4.284768
14 6 1.615084 1.997356 6.253437
15 6 0.9351082 2.653186 6.756256
1 7 -3.86323 -0.8078184 -0.9494188
2 7 -3.154148 -0.4743533 -0.4635588
3 7 -3.205111 -0.8784711 0.2361418
4 7 -2.448349 -1.005732 0.2619622
5 7 -3.221517 -0.6130672 -0.5685527
6 7 -2.926483 -0.2899491 -0.479123
7 7 -2.172298 -0.5242722 -0.06031263
8 7 -0.7308003 -0.5486457 1.950958
9 7 0.5945717 -0.3524832 4.930987
10 7 1.045577 0.9171623 5.551526
11 7 1.805603 3.075787 4.938679
12 7 1.735168 1.250618 5.267938
13 7 2.462754 2.262475 4.254388
14 7 3.126297 0.8710529 5.206334
15 7 0.6565163 2.369015 7.203911
