year month land ocean net foss
2015 1 0.1588288 0.2344019 0.3932307 0.1607489
2015 2 -0.004231041 -0.2569519 -0.2611829 0.1724682
2015 3 0.1504652 -0.2171548 -0.06668956 0.1655968
2015 4 1.35331 -0.3375513 1.015759 0.1678315
2015 5 1.221715 -0.5235224 0.6981927 0.1674503
2015 6 1.087541 -0.9187468 0.1687945 0.1737673
2015 7 0.5780256 -0.7940388 -0.2160132 0.1729884
2015 8 0.3662885 -0.6355801 -0.2692916 0.1737585
2015 9 -0.572822 -1.034635 -1.607457 0.175636
2015 10 -1.10421 -0.865392 -1.969602 0.1699916
2015 11 -0.1263172 -0.3763608 -0.502678 0.1726149
2015 12 0.5220198 -0.1551523 0.3668675 0.1690444
2016 1 0.6413629 0.01504496 0.6564079 0.1632465
2016 2 0.003571293 -0.05343133 -0.04986004 0.1699395
2016 3 0.4090273 -0.1861104 0.2229169 0.1688405
2016 4 1.212629 -0.3113912 0.9012377 0.1703996
2016 5 1.485331 -0.4634189 1.021912 0.1706512
2016 6 0.4937975 -0.7612701 -0.2674726 0.1767913
2016 7 0.4566581 -0.8082363 -0.3515782 0.1753164
2016 8 -0.1874683 -0.8552725 -1.042741 0.1774001
2016 9 -0.6849551 -0.4797457 -1.164701 0.1786
2016 10 -1.551037 -0.7211444 -2.272181 0.1725956
2016 11 0.1484805 -0.2246074 -0.07612687 0.1760005
2016 12 0.4352199 -0.04171695 0.3935029 0.1716354
2017 1 0.5593155 0.1482823 0.7075977 0.1592635
2017 2 0.7086035 0.291743 1.000347 0.1710845
2017 3 0.1857176 -0.2127686 -0.02705101 0.1644428
2017 4 0.5150802 -0.3642375 0.1508427 0.1657354
2017 5 0.3937501 -0.5400864 -0.1463362 0.1666402
2017 6 0.3444228 -0.84418 -0.4997572 0.1723177
2017 7 0.7196232 -0.8975925 -0.1779693 0.1709332
2017 8 0.5431123 -0.8548355 -0.3117233 0.1729941
2017 9 -0.1159127 -0.64008 -0.7559927 0.1738551
2017 10 -1.541931 -0.5262051 -2.068136 0.1685054
2017 11 -0.7241413 -0.1080955 -0.8322367 0.1715919
2017 12 -0.3486745 -0.01802812 -0.3667026 0.166917
2018 1 -0.3368601 0.0794465 -0.2574136 0.1593526
2018 2 -0.05085367 0.6446267 0.5937731 0.1708535
2018 3 -0.1318059 0.01253889 -0.119267 0.1639063
2018 4 1.102486 -0.4687499 0.6337359 0.1657366
2018 5 0.7636604 -0.463495 0.3001654 0.166421
2018 6 0.6923739 -0.8005419 -0.1081681 0.1717742
2018 7 0.8760174 -0.9770787 -0.1010613 0.1709574
2018 8 0.5175488 -0.750249 -0.2327002 0.1726837
2018 9 -0.5275257 -0.3692249 -0.8967506 0.1732778
2018 10 -0.9686219 -0.2778819 -1.246504 0.1686104
2018 11 -0.5010666 -0.1000546 -0.6011213 0.1712887
2018 12 0.5078047 0.04842415 0.5562289 0.1666753
2019 1 -0.07030455 0.04316683 -0.02713772 0.1610955
2019 2 -0.7664284 0.3587245 -0.4077039 0.1727969
2019 3 0.05189362 -0.252923 -0.2010294 0.1652549
2019 4 0.4024898 -0.3645238 0.03796601 0.1679252
2019 5 1.126484 -0.5203613 0.606123 0.1682015
2019 6 0.7091587 -0.9086632 -0.1995045 0.1733684
2019 7 0.3859956 -0.6947163 -0.3087207 0.1732581
2019 8 0.1658126 -0.4673524 -0.3015398 0.1742695
2019 9 -1.181847 -0.6480309 -1.829878 0.1754257
2019 10 -0.6274985 -0.4164257 -1.043924 0.1703908
2019 11 -0.4662513 -0.04492576 -0.511177 0.1728267
2019 12 -0.1759478 -0.04861341 -0.2245612 0.1686956
2020 1 -0.1785958 0.03469191 -0.1439039 0.1614705
2020 2 -0.3960966 0.2509034 -0.1451931 0.1689471
2020 3 -0.008277062 -0.3725398 -0.3808168 0.1490196
2020 4 0.5189818 -0.2859631 0.2330186 0.1339232
2020 5 0.5969313 -0.3551877 0.2417436 0.1365979
2020 6 0.9511066 -0.7320708 0.2190358 0.1560638
2020 7 0.2882525 -0.7858382 -0.4975857 0.1583059
2020 8 0.5381609 -0.3831996 0.1549613 0.157154
2020 9 -0.9461752 -0.8605508 -1.806726 0.1631343
2020 10 -1.674762 -0.3778187 -2.05258 0.1557063
2020 11 -1.552959 -0.3950084 -1.947968 0.1548743
2020 12 -0.7407083 -0.03916969 -0.779878 0.1546928
