year month land ocean net foss
2015 1 1.117252 0.00205743 1.11931 0.1456044
2015 2 0.6325115 -0.08336359 0.5491479 0.1531096
2015 3 0.914956 -0.07472179 0.8402342 0.1471558
2015 4 1.372339 -0.1245985 1.247741 0.142458
2015 5 -0.3631076 -0.1469925 -0.5101001 0.1368614
2015 6 -5.746554 -0.1060813 -5.852635 0.1438592
2015 7 -6.235783 -0.04010349 -6.275886 0.1364539
2015 8 -1.455266 -0.05768811 -1.512954 0.1394384
2015 9 2.975927 -0.04973733 2.926189 0.1402917
2015 10 2.284202 -0.1953743 2.088828 0.1429574
2015 11 2.183098 -0.006385564 2.176712 0.1455564
2015 12 1.419593 -0.06074543 1.358847 0.147985
2016 1 0.8979313 -0.07427913 0.8236522 0.1503146
2016 2 0.5833249 -0.06679748 0.5165274 0.1535574
2016 3 0.8356989 -0.1118327 0.7238661 0.152684
2016 4 0.6854942 -0.07983635 0.6056579 0.1471969
2016 5 -0.1688009 -0.0763983 -0.2451992 0.1420658
2016 6 -7.42291 -0.05714969 -7.48006 0.1489919
2016 7 -5.729152 -0.09458398 -5.823736 0.1407984
2016 8 -0.9838962 0.01693341 -0.9669627 0.1449577
2016 9 3.227954 0.06379426 3.291749 0.145271
2016 10 1.062306 -0.2475694 0.8147365 0.1477322
2016 11 3.148466 -0.03103864 3.117428 0.1510829
2016 12 1.898238 -0.06108839 1.83715 0.1528994
2017 1 0.8675888 -0.106555 0.7610338 0.1546578
2017 2 0.8181815 -0.09960454 0.718577 0.162727
2017 3 1.077391 -0.06444594 1.012945 0.1568435
2017 4 1.145144 -0.0738836 1.07126 0.151015
2017 5 0.5409637 -0.1515069 0.3894568 0.1463049
2017 6 -4.93523 -0.0497006 -4.984931 0.1530965
2017 7 -7.189185 -0.07137152 -7.260557 0.1446764
2017 8 -3.057117 -0.08180278 -3.13892 0.1490113
2017 9 3.520203 -0.09344628 3.426757 0.1490384
2017 10 2.015514 -0.1433883 1.872126 0.1520523
2017 11 2.032075 -0.07025226 1.961822 0.1551448
2017 12 1.203884 -0.08292049 1.120964 0.1566038
2018 1 0.8058151 -0.04669922 0.7591158 0.1602448
2018 2 0.9368435 -0.08443099 0.8524125 0.1682926
2018 3 0.9776507 -0.0344563 0.9431944 0.1619119
2018 4 1.055311 -0.1561955 0.8991155 0.1564299
2018 5 -0.1265574 -0.2538807 -0.3804381 0.1512533
2018 6 -5.709693 0.01856319 -5.69113 0.1580129
2018 7 -8.220617 0.1108736 -8.109743 0.1498029
2018 8 -2.315167 -0.02954089 -2.344708 0.1540143
2018 9 1.21291 0.09327923 1.306189 0.1537563
2018 10 3.251973 -0.01595026 3.236022 0.1575412
2018 11 3.31455 -0.07131534 3.243234 0.1603544
2018 12 1.893696 -0.1090461 1.78465 0.1619459
2019 1 0.9615237 -0.1295309 0.8319928 0.1575052
2019 2 0.6409668 -0.1122135 0.5287533 0.1654286
2019 3 1.302982 -0.09465143 1.20833 0.1588541
2019 4 0.8573006 -0.1024406 0.75486 0.1542643
2019 5 0.15895 -0.07942491 0.0795251 0.1487761
2019 6 -6.289531 -0.1348674 -6.424398 0.1551391
2019 7 -7.019204 0.008119074 -7.011085 0.1477086
2019 8 -3.030715 -0.09793699 -3.128652 0.1512846
2019 9 3.433176 -0.08745095 3.345725 0.1515438
2019 10 2.571639 -0.2300554 2.341583 0.1549422
2019 11 3.0258 -0.06964293 2.956157 0.157349
2019 12 1.055549 -0.09374471 0.9618044 0.159425
2020 1 0.7947403 -0.133756 0.6609843 0.1520062
2020 2 1.278202 -0.09124145 1.186961 0.1599596
2020 3 0.9444759 -0.09062349 0.8538524 0.1520852
2020 4 1.564898 -0.05693662 1.507961 0.1351555
2020 5 -0.4741783 -0.1098083 -0.5839866 0.1302472
2020 6 -6.524589 -0.09221348 -6.616803 0.1429977
2020 7 -6.832766 -0.0753065 -6.908073 0.1385207
2020 8 -2.154219 0.09200919 -2.06221 0.1425229
2020 9 3.410466 -0.07128791 3.339178 0.1444575
2020 10 3.09593 -0.1568129 2.939117 0.1456873
2020 11 4.127999 -0.08553311 4.042466 0.1480647
2020 12 2.663447 -0.07932104 2.584126 0.1617453
