year month land ocean net foss
2015 1 -2.588838 0.1591861 -2.429651 0.1751815
2015 2 -1.30137 0.003702169 -1.297668 0.1842921
2015 3 -3.012069 0.1339644 -2.878105 0.1788254
2015 4 -4.693081 0.01836529 -4.674716 0.1798009
2015 5 -0.5886498 0.3291437 -0.2595061 0.1759468
2015 6 -1.28383 0.1604469 -1.123383 0.1825118
2015 7 0.0933707 0.164732 0.2581027 0.1819633
2015 8 0.2182155 0.2199027 0.4381182 0.183194
2015 9 1.872061 0.2649164 2.136977 0.1873888
2015 10 3.331737 0.1651311 3.496868 0.1867407
2015 11 0.7925412 0.1056229 0.8981641 0.1840281
2015 12 -1.542188 0.1128467 -1.429342 0.1847741
2016 1 -2.035188 -0.2055464 -2.240734 0.1892095
2016 2 -2.692259 -0.3533639 -3.045623 0.1934146
2016 3 -2.100426 -0.5250671 -2.625493 0.1938038
2016 4 -2.349434 -0.1171212 -2.466556 0.1941332
2016 5 0.3806748 0.1267559 0.5074307 0.1906017
2016 6 -0.5630154 0.09544947 -0.467566 0.1974764
2016 7 0.8995547 0.1183655 1.01792 0.1960993
2016 8 -0.3657066 0.2082427 -0.1574639 0.1988988
2016 9 2.95475 0.05046623 3.005216 0.2027324
2016 10 1.556176 0.1058332 1.66201 0.201757
2016 11 0.07633496 0.009992382 0.08632734 0.1995398
2016 12 -1.422594 0.0291306 -1.393463 0.1995835
2017 1 -2.141639 -0.07497133 -2.21661 0.1824929
2017 2 -0.7844003 -0.1278207 -0.912221 0.1919889
2017 3 -2.264708 -0.5249429 -2.78965 0.1865485
2017 4 -2.555269 -0.1598175 -2.715086 0.1865296
2017 5 0.5795502 0.429253 1.008803 0.1839281
2017 6 1.960958 0.1803454 2.141304 0.1900154
2017 7 0.3676215 0.2197178 0.5873393 0.1888065
2017 8 -0.05248234 0.4506695 0.3981871 0.191478
2017 9 -0.0510714 0.3276187 0.2765473 0.1947109
2017 10 1.697555 0.14934 1.846895 0.1944497
2017 11 -0.7519231 0.05648301 -0.6954401 0.1920466
2017 12 -2.113407 0.09729739 -2.016109 0.1916511
2018 1 -3.854068 0.05891878 -3.79515 0.1945313
2018 2 -1.506955 -0.07099481 -1.57795 0.2043066
2018 3 -3.48453 -0.08947634 -3.574006 0.1979908
2018 4 -4.568322 0.4212319 -4.14709 0.1987495
2018 5 -0.5262884 0.2732897 -0.2529986 0.1955589
2018 6 0.480983 0.3132758 0.7942588 0.2017219
2018 7 1.429285 0.1974296 1.626715 0.2011574
2018 8 1.108702 0.212411 1.321113 0.2035375
2018 9 0.8824619 0.004910626 0.8873725 0.2067361
2018 10 1.956663 0.115395 2.072059 0.207293
2018 11 1.168222 0.1674023 1.335625 0.2041559
2018 12 -2.496507 0.2039397 -2.292567 0.2038965
2019 1 -4.560906 -0.0517743 -4.612681 0.2046574
2019 2 -1.541504 -0.1748692 -1.716373 0.2149966
2019 3 -2.376944 -0.07751155 -2.454456 0.2077654
2019 4 -2.41585 -0.1745903 -2.59044 0.2094837
2019 5 -1.001335 0.3054797 -0.6958557 0.205523
2019 6 -0.1947685 0.3786984 0.1839299 0.2117857
2019 7 1.041754 0.2106519 1.252406 0.2119813
2019 8 1.486442 0.278794 1.765236 0.2136424
2019 9 1.563717 -0.03638048 1.527336 0.2178585
2019 10 2.416232 0.08411988 2.500352 0.2180879
2019 11 -0.9700385 0.1975369 -0.7725017 0.2143202
2019 12 -1.638624 0.1669843 -1.47164 0.2149032
2020 1 -2.264461 0.1273668 -2.137095 0.2073572
2020 2 -4.120135 -0.3904445 -4.510579 0.2097752
2020 3 -4.862569 -0.2816299 -5.144199 0.1876821
2020 4 -3.914603 0.002930326 -3.911673 0.1662046
2020 5 -0.9933989 0.001672956 -0.9917259 0.1664094
2020 6 1.114573 0.1056631 1.220236 0.1911064
2020 7 1.107042 -0.04729873 1.059743 0.1932679
2020 8 -0.06198952 0.1140384 0.05204887 0.192101
2020 9 1.392231 0.0989575 1.491189 0.2020662
2020 10 2.226329 0.1799453 2.406275 0.2007449
2020 11 0.1361204 0.1459852 0.2821057 0.194332
2020 12 -0.8127161 0.08772376 -0.7249924 0.1998846
