year month land ocean net foss
2015 1 0.3416051 0.2454486 0.5870537 0.1607489
2015 2 0.003890856 -0.05472121 -0.05083036 0.1724682
2015 3 0.3131545 -0.02068727 0.2924672 0.1655968
2015 4 1.289727 -0.2666161 1.023111 0.1678315
2015 5 2.073162 -0.5141704 1.558991 0.1674503
2015 6 1.155184 -0.8602727 0.2949113 0.1737673
2015 7 1.522667 -0.860855 0.6618125 0.1729884
2015 8 1.258162 -0.822217 0.4359449 0.1737585
2015 9 0.1069566 -1.16475 -1.057793 0.175636
2015 10 -1.192551 -0.9098428 -2.102393 0.1699916
2015 11 0.2186475 -0.4963369 -0.2776894 0.1726149
2015 12 1.601105 -0.133235 1.46787 0.1690444
2016 1 1.187207 0.1405965 1.327803 0.1632465
2016 2 0.4179529 0.1249244 0.5428773 0.1699395
2016 3 0.5676722 -0.1221821 0.44549 0.1688405
2016 4 2.128244 -0.4065064 1.721738 0.1703996
2016 5 1.914837 -0.5391361 1.3757 0.1706512
2016 6 1.056686 -0.8046431 0.2520431 0.1767913
2016 7 1.137132 -0.9326697 0.2044621 0.1753164
2016 8 0.3415594 -1.134344 -0.7927844 0.1774001
2016 9 -0.6912421 -0.8838781 -1.57512 0.1786
2016 10 -1.57643 -0.9333985 -2.509828 0.1725956
2016 11 0.9359769 -0.3984636 0.5375133 0.1760005
2016 12 1.770508 -0.120456 1.650052 0.1716354
2017 1 1.879525 0.13933 2.018855 0.1592635
2017 2 1.306247 0.2903036 1.596551 0.1710845
2017 3 1.339558 -0.2717376 1.06782 0.1644428
2017 4 0.4133365 -0.458751 -0.04541451 0.1657354
2017 5 0.408501 -0.6129 -0.204399 0.1666402
2017 6 0.1697215 -0.8858786 -0.7161571 0.1723177
2017 7 0.6655996 -0.8951258 -0.2295262 0.1709332
2017 8 0.7287733 -0.8805105 -0.1517372 0.1729941
2017 9 0.1610131 -0.6985575 -0.5375444 0.1738551
2017 10 -1.080525 -0.6874792 -1.768004 0.1685054
2017 11 -0.03782194 -0.139086 -0.1769079 0.1715919
2017 12 0.3481629 0.01155732 0.3597202 0.166917
2018 1 0.5171457 0.1881717 0.7053174 0.1593526
2018 2 1.151047 0.589744 1.740791 0.1708535
2018 3 0.5476712 -0.05752567 0.4901455 0.1639063
2018 4 1.501865 -0.4880658 1.013799 0.1657366
2018 5 1.339881 -0.5712299 0.768651 0.166421
2018 6 1.410026 -0.852263 0.557763 0.1717742
2018 7 1.140924 -1.057907 0.08301727 0.1709574
2018 8 0.3149489 -1.089477 -0.7745281 0.1726837
2018 9 0.1223261 -0.8375462 -0.7152201 0.1732778
2018 10 -0.3607327 -0.5187603 -0.879493 0.1686104
2018 11 -0.06405972 -0.2223647 -0.2864244 0.1712887
2018 12 2.040175 0.02413123 2.064306 0.1666753
2019 1 1.268169 0.01227356 1.280443 0.1610955
2019 2 -0.3747667 0.3415858 -0.03318095 0.1727969
2019 3 1.025109 -0.3016731 0.7234362 0.1652549
2019 4 1.494113 -0.3386182 1.155495 0.1679252
2019 5 1.936703 -0.5790848 1.357618 0.1682015
2019 6 1.202572 -0.9597385 0.2428336 0.1733684
2019 7 1.272296 -0.8127856 0.4595104 0.1732581
2019 8 1.026781 -0.8324188 0.1943626 0.1742695
2019 9 -0.1799496 -1.099994 -1.279943 0.1754257
2019 10 -0.08705304 -0.7478851 -0.8349382 0.1703908
2019 11 1.100881 -0.158223 0.9426582 0.1728267
2019 12 1.473392 -0.2533706 1.220022 0.1686956
2020 1 1.365015 -0.1139247 1.25109 0.1614705
2020 2 0.8043105 0.1120498 0.9163603 0.1689471
2020 3 -0.02999841 -0.4952345 -0.5252329 0.1490196
2020 4 1.006643 -0.3396464 0.666997 0.1339232
2020 5 2.026933 -0.4675849 1.559348 0.1365979
2020 6 1.507503 -0.8307505 0.6767523 0.1560638
2020 7 1.115625 -0.9107108 0.2049138 0.1583059
2020 8 1.722481 -0.6214872 1.100994 0.157154
2020 9 0.04532524 -1.238072 -1.192747 0.1631343
2020 10 -1.10697 -0.6113196 -1.718289 0.1557063
2020 11 -0.9121857 -0.5435227 -1.455708 0.1548743
2020 12 0.9621658 -0.1303623 0.8318034 0.1546928
