year month land ocean net foss
2015 1 1.474103e-05 -0.0001902418 -0.0001755008 6.80724e-05
2015 2 1.357395e-05 -0.0007906642 -0.0007770903 6.795743e-05
2015 3 1.389821e-05 -0.0003750638 -0.0003611656 6.798707e-05
2015 4 2.023357e-05 -0.0003752983 -0.0003550647 6.373468e-05
2015 5 2.908811e-05 -0.0005009591 -0.000471871 6.474122e-05
2015 6 -5.753611e-05 -0.0005020753 -0.0005596114 6.96817e-05
2015 7 -0.0001491492 -0.0002107036 -0.0003598529 7.934769e-05
2015 8 -7.026574e-05 -0.0001815293 -0.000251795 8.12121e-05
2015 9 2.379164e-05 -0.0003177662 -0.0002939746 7.399078e-05
2015 10 2.602866e-05 -0.0005743455 -0.0005483169 6.595142e-05
2015 11 2.311298e-05 -0.0007948087 -0.0007716957 6.45844e-05
2015 12 1.649151e-05 -0.0005456097 -0.0005291182 6.472915e-05
2016 1 1.993454e-05 -0.0004791677 -0.0004592331 7.095303e-05
2016 2 1.871915e-05 -0.000807326 -0.0007886069 6.907258e-05
2016 3 1.71392e-05 -0.0006170518 -0.0005999126 7.086304e-05
2016 4 2.389485e-05 -0.0005576111 -0.0005337163 6.637593e-05
2016 5 1.105542e-05 -0.0002680102 -0.0002569547 6.743804e-05
2016 6 -2.53096e-05 -0.0002479243 -0.0002732339 7.265126e-05
2016 7 -0.0001453201 -0.0002303987 -0.0003757188 8.285091e-05
2016 8 -3.905509e-05 -0.0003413502 -0.0003804053 8.481833e-05
2016 9 4.001979e-05 -0.0003949561 -0.0003549363 7.71982e-05
2016 10 3.813821e-05 -0.0001657978 -0.0001276596 6.8715e-05
2016 11 3.733887e-05 -0.000189672 -0.0001523331 6.727255e-05
2016 12 2.467304e-05 -0.0003333934 -0.0003087204 6.742522e-05
2017 1 2.286302e-05 -0.0006434179 -0.0006205548 7.367137e-05
2017 2 2.438222e-05 -0.0009029439 -0.0008785616 7.354656e-05
2017 3 2.117969e-05 -0.000678818 -0.0006576383 7.357882e-05
2017 4 3.231554e-05 -0.0003241303 -0.0002918147 6.895988e-05
2017 5 3.257898e-05 -0.0003311139 -0.0002985349 7.005316e-05
2017 6 -5.845956e-05 9.139061e-05 3.293104e-05 7.541948e-05
2017 7 -0.0001387831 -0.0001537754 -0.0002925585 8.591858e-05
2017 8 -4.641089e-05 -0.0002628623 -0.0003092732 8.794383e-05
2017 9 4.521434e-05 -0.0004763877 -0.0004311734 8.009994e-05
2017 10 3.6276e-05 -0.0005506466 -0.0005143706 7.136767e-05
2017 11 3.424581e-05 -0.000526826 -0.0004925802 6.988282e-05
2017 12 3.123984e-05 -0.0003306481 -0.0002994083 7.003998e-05
2018 1 2.611574e-05 -0.0003505747 -0.000324459 7.406813e-05
2018 2 2.761428e-05 -0.0006138148 -0.0005862005 7.394264e-05
2018 3 2.333949e-05 -0.0004163024 -0.0003929629 7.397498e-05
2018 4 3.522449e-05 -0.0003802024 -0.000344978 6.933122e-05
2018 5 4.330086e-05 -0.0004131625 -0.0003698616 7.043039e-05
2018 6 -3.750633e-05 -0.0004059547 -0.000443461 7.582566e-05
2018 7 -9.285311e-05 -0.0002591609 -0.000352014 8.638124e-05
2018 8 -2.859742e-05 -0.0002933407 -0.0003219381 8.841743e-05
2018 9 4.308876e-05 -0.0005328292 -0.0004897404 8.053131e-05
2018 10 3.705925e-05 -0.0003903445 -0.0003532853 7.175196e-05
2018 11 2.758618e-05 -0.0006458693 -0.0006182832 7.025911e-05
2018 12 2.369295e-05 -0.0004583934 -0.0004347004 7.041722e-05
2019 1 2.020098e-05 -0.000658335 -0.000638134 7.397146e-05
2019 2 2.243554e-05 -0.0006300948 -0.0006076592 7.384618e-05
2019 3 2.154803e-05 -0.0005129305 -0.0004913825 7.387842e-05
2019 4 3.029034e-05 -0.0004045865 -0.0003742962 6.924076e-05
2019 5 1.813804e-05 -0.0004916648 -0.0004735267 7.033848e-05
2019 6 -6.102854e-05 -0.0002760332 -0.0003370618 7.572658e-05
2019 7 -0.0001643882 -9.770629e-05 -0.0002620945 8.626848e-05
2019 8 -2.213978e-05 -0.0003016475 -0.0003237872 8.830196e-05
2019 9 3.333021e-05 -0.0003866971 -0.0003533669 8.042619e-05
2019 10 3.581233e-05 -0.0002252392 -0.0001894269 7.165832e-05
2019 11 2.471465e-05 -0.0002398116 -0.000215097 7.016746e-05
2019 12 2.37803e-05 -0.0004507357 -0.0004269554 7.032525e-05
2020 1 1.650454e-05 -0.0006232516 -0.000606747 7.683782e-05
2020 2 1.195345e-05 -0.0005276344 -0.000515681 6.910169e-05
2020 3 1.640103e-05 -0.0004283797 -0.0004119787 4.521547e-05
2020 4 2.285708e-05 -0.0003190544 -0.0002961973 1.184542e-05
2020 5 2.221634e-05 -0.0003507993 -0.000328583 1.523381e-05
2020 6 -5.671894e-05 -0.0003096646 -0.0003663836 1.68094e-05
2020 7 -0.0001321732 -8.232958e-05 -0.0002145028 2.558408e-05
2020 8 -4.452422e-05 -0.0002140688 -0.0002585931 3.055364e-05
2020 9 3.014694e-05 -0.0003783754 -0.0003482285 2.876897e-05
2020 10 2.824079e-05 -0.0003495802 -0.0003213394 2.688943e-05
2020 11 2.482523e-05 -0.0002355902 -0.000210765 2.863233e-05
2020 12 2.011025e-05 -0.0004642975 -0.0004441873 3.028832e-05
