year month land ocean net foss
2015 1 1.536483 -0.7459229 0.7905598 3.39712
2015 2 1.472931 -0.7061455 0.7667853 3.489327
2015 3 1.003495 -0.6161738 0.3873214 3.398262
2015 4 -0.6030171 -0.4991471 -1.102164 3.315981
2015 5 -3.333578 -0.3309897 -3.664568 3.217433
2015 6 -2.600747 -0.1218469 -2.722593 3.344524
2015 7 -2.751066 0.1059707 -2.645095 3.362088
2015 8 -3.116893 0.2070399 -2.909853 3.369116
2015 9 -1.540291 0.1229845 -1.417307 3.387261
2015 10 0.723855 -0.1207307 0.6031243 3.364208
2015 11 2.101474 -0.3807012 1.720773 3.517844
2015 12 1.871475 -0.6949241 1.176551 3.703015
2016 1 1.526898 -0.8486778 0.6782206 3.387115
2016 2 1.542539 -0.7782242 0.7643143 3.375527
2016 3 0.9391417 -0.7065083 0.2326334 3.404634
2016 4 -0.6223543 -0.6180099 -1.240364 3.304963
2016 5 -2.806614 -0.3428482 -3.149462 3.224466
2016 6 -2.795273 -0.1659111 -2.961184 3.342486
2016 7 -2.518479 0.06216177 -2.456318 3.34385
2016 8 -2.457159 0.1771115 -2.280047 3.380035
2016 9 -1.578271 0.1266544 -1.451617 3.38245
2016 10 -0.06152045 -0.1028189 -0.1643394 3.355735
2016 11 1.949224 -0.4570803 1.492144 3.523689
2016 12 1.871043 -0.6634922 1.207551 3.687857
2017 1 1.650339 -0.8069623 0.843377 3.439937
2017 2 1.804901 -0.7986304 1.006271 3.532962
2017 3 0.8417326 -0.7414783 0.1002543 3.44938
2017 4 -1.027683 -0.5883182 -1.616001 3.345186
2017 5 -3.748273 -0.3868198 -4.135092 3.276765
2017 6 -2.947374 -0.1522258 -3.0996 3.386381
2017 7 -2.560605 0.06841551 -2.492189 3.389789
2017 8 -2.912207 0.1698756 -2.742331 3.424879
2017 9 -1.844936 0.1360953 -1.708841 3.420941
2017 10 0.2884554 -0.1245989 0.1638565 3.409596
2017 11 1.934447 -0.3916729 1.542774 3.572088
2017 12 1.811505 -0.6275911 1.183914 3.72823
2018 1 1.568464 -0.7737618 0.7947023 3.522418
2018 2 1.863311 -0.6893213 1.17399 3.608833
2018 3 0.9386495 -0.7259084 0.2127411 3.515723
2018 4 -0.9222926 -0.5657884 -1.488081 3.423907
2018 5 -2.382353 -0.3205093 -2.702862 3.347555
2018 6 -2.686224 -0.1252522 -2.811476 3.451071
2018 7 -2.76917 0.09106166 -2.678108 3.469673
2018 8 -2.630682 0.1994897 -2.431192 3.496009
2018 9 -1.083562 0.1837904 -0.8997715 3.487858
2018 10 0.4507002 -0.0925232 0.358177 3.490681
2018 11 1.861557 -0.4463387 1.415219 3.646859
2018 12 1.655073 -0.6975601 0.9575131 3.810077
2019 1 1.44121 -0.7889379 0.6522722 3.542733
2019 2 1.488493 -0.7742285 0.7142645 3.629746
2019 3 0.7190938 -0.6857606 0.03333317 3.531808
2019 4 -0.9205858 -0.5845776 -1.505163 3.457578
2019 5 -3.290163 -0.3946324 -3.684796 3.371282
2019 6 -2.932049 -0.1543053 -3.086354 3.47169
2019 7 -2.736102 0.07476859 -2.661333 3.50269
2019 8 -2.640458 0.2336204 -2.406838 3.513361
2019 9 -1.681636 0.2048484 -1.476788 3.522846
2019 10 0.4728265 -0.090371 0.3824555 3.518831
2019 11 2.12155 -0.4256435 1.695906 3.666763
2019 12 1.655073 -0.7464678 0.9086054 3.847196
2020 1 1.559763 -0.7889379 0.7708254 3.403685
2020 2 1.450412 -0.7742285 0.676183 3.262423
2020 3 0.8605438 -0.6857606 0.1747831 3.179952
2020 4 -0.8229055 -0.5845776 -1.407483 3.041445
2020 5 -3.151645 -0.3946324 -3.546278 3.031067
2020 6 -2.805026 -0.1543053 -2.959331 3.308978
2020 7 -2.515634 0.07476859 -2.440865 3.332798
2020 8 -2.715523 0.2336204 -2.481903 3.398438
2020 9 -1.599758 0.2048484 -1.39491 3.427024
2020 10 0.2277957 -0.090371 0.1374247 3.409447
2020 11 1.874861 -0.4256435 1.449217 3.528157
2020 12 1.808072 -0.7464678 1.061604 3.85521
