year month land ocean net foss
2015 1 3.995426 -2.829093 1.166333 8.656976
2015 2 3.416301 -2.647278 0.7690224 8.923629
2015 3 3.938485 -2.404829 1.533657 8.660329
2015 4 1.9903 -2.58931 -0.5990104 8.390098
2015 5 -10.65818 -2.903613 -13.56179 8.111184
2015 6 -25.76381 -2.582962 -28.34677 8.395776
2015 7 -29.88384 -2.019719 -31.90356 8.317251
2015 8 -10.26362 -1.688035 -11.95166 8.33631
2015 9 8.347202 -1.857279 6.489923 8.445909
2015 10 12.21349 -2.267403 9.946084 8.477225
2015 11 11.5897 -2.601302 8.988396 8.862518
2015 12 7.626595 -2.547342 5.079253 9.254607
2016 1 6.655603 -2.734051 3.921552 8.653587
2016 2 4.906084 -2.860592 2.045491 8.654733
2016 3 3.466493 -2.642513 0.8239804 8.699523
2016 4 1.065172 -2.668783 -1.60361 8.387591
2016 5 -11.00365 -2.844631 -13.84828 8.149834
2016 6 -28.22605 -2.583655 -30.80971 8.414581
2016 7 -31.73572 -2.434149 -34.16987 8.296068
2016 8 -9.980572 -1.913046 -11.89362 8.38592
2016 9 7.121632 -1.959994 5.161638 8.45692
2016 10 11.39226 -2.647591 8.74467 8.479166
2016 11 9.190905 -2.86815 6.322755 8.900313
2016 12 5.218674 -2.750009 2.468665 9.243781
2017 1 4.222469 -2.900493 1.321976 8.777089
2017 2 2.246137 -2.927341 -0.6812034 9.048277
2017 3 3.857905 -2.848911 1.008994 8.805184
2017 4 1.748603 -2.953934 -1.205331 8.48009
2017 5 -10.8561 -3.040104 -13.89621 8.273922
2017 6 -26.81634 -2.62119 -29.43753 8.518714
2017 7 -29.90046 -2.422675 -32.32313 8.402178
2017 8 -13.27736 -1.874561 -15.15192 8.491594
2017 9 5.938014 -2.100629 3.837385 8.546336
2017 10 12.53216 -2.506713 10.02545 8.605476
2017 11 11.14384 -2.812002 8.331842 9.01125
2017 12 6.310244 -2.817492 3.492752 9.335563
2018 1 4.887325 -2.925183 1.962143 8.976016
2018 2 4.708274 -2.841788 1.866486 9.231081
2018 3 4.432827 -2.77749 1.655336 8.967436
2018 4 0.6866331 -3.073109 -2.386476 8.670447
2018 5 -10.67224 -3.071858 -13.7441 8.44524
2018 6 -28.08864 -2.662045 -30.75069 8.67697
2018 7 -30.1073 -2.484594 -32.59189 8.591611
2018 8 -10.73169 -1.956417 -12.68811 8.663099
2018 9 6.651698 -2.030233 4.621465 8.704536
2018 10 13.58799 -2.357257 11.23073 8.801407
2018 11 11.13068 -2.8392 8.291476 9.18961
2018 12 6.047034 -3.018668 3.028366 9.529523
2019 1 4.904051 -3.041935 1.862116 8.98519
2019 2 3.903091 -2.967787 0.9353039 9.240892
2019 3 3.580243 -2.922835 0.657408 8.964415
2019 4 1.398284 -3.195713 -1.797428 8.713832
2019 5 -10.09137 -3.26098 -13.35235 8.466773
2019 6 -27.47723 -2.824377 -30.3016 8.688566
2019 7 -30.2916 -2.622003 -32.9136 8.637478
2019 8 -13.56721 -2.111922 -15.67913 8.671798
2019 9 6.059569 -2.109926 3.949643 8.750889
2019 10 14.02439 -2.62956 11.39483 8.828767
2019 11 12.51453 -3.094963 9.419571 9.196216
2019 12 5.077871 -3.624144 1.453726 9.57437
2020 1 5.841225 -3.242637 2.598588 8.679617
2020 2 2.554657 -3.27021 -0.715553 8.457677
2020 3 3.562255 -3.094317 0.4679383 8.085311
2020 4 0.3714429 -3.323236 -2.951793 7.344425
2020 5 -11.6742 -3.328742 -15.00294 7.372794
2020 6 -29.71036 -2.936793 -32.64716 8.141753
2020 7 -30.76581 -2.68527 -33.45108 8.139084
2020 8 -10.0207 -2.212084 -12.23279 8.282947
2020 9 8.438561 -2.329191 6.10937 8.479585
2020 10 11.18698 -2.810202 8.37678 8.49696
2020 11 12.76361 -3.175712 9.5879 8.753376
2020 12 6.393191 -3.649569 2.743623 9.522416
