year month land ocean net foss
2015 1 1.649509 0.05563067 1.70514 1.062129
2015 2 1.488851 0.05900447 1.547856 1.088648
2015 3 1.515883 0.06021338 1.576097 1.066069
2015 4 0.814923 -0.07211038 0.7428126 0.9749839
2015 5 -2.831479 -0.2689878 -3.100467 0.9040669
2015 6 -11.12817 -0.2702037 -11.39837 0.9303582
2015 7 -12.06429 -0.2176395 -12.28193 0.8691966
2015 8 -3.057503 -0.2137275 -3.271231 0.8904645
2015 9 2.565423 -0.2300288 2.335395 0.916969
2015 10 3.75573 -0.2132821 3.542448 0.9828725
2015 11 3.300633 -0.1161849 3.184448 1.034691
2015 12 2.39182 0.05009 2.44191 1.086909
2016 1 1.811397 0.07899017 1.890387 1.073897
2016 2 1.489399 0.07695732 1.566356 1.066947
2016 3 1.301577 0.04413755 1.345715 1.084046
2016 4 0.4055515 -0.08087035 0.3246812 0.9870936
2016 5 -4.211957 -0.2246537 -4.436611 0.9194386
2016 6 -12.94432 -0.2512424 -13.19556 0.9450597
2016 7 -11.58908 -0.2129004 -11.80199 0.8789672
2016 8 -1.987311 -0.2058366 -2.193148 0.9087468
2016 9 3.453739 -0.2313917 3.222347 0.9306825
2016 10 4.306091 -0.2193164 4.086775 0.9954386
2016 11 3.106445 -0.1220042 2.984441 1.051872
2016 12 2.073469 0.01951481 2.092984 1.099845
2017 1 1.725757 0.05190384 1.777661 1.090822
2017 2 1.507878 0.072757 1.580635 1.118032
2017 3 1.709868 0.03301714 1.742885 1.100015
2017 4 1.137239 -0.100399 1.03684 0.9991655
2017 5 -3.696201 -0.2597443 -3.955946 0.9354934
2017 6 -12.15474 -0.2697456 -12.42449 0.9601952
2017 7 -12.68493 -0.2025448 -12.88747 0.8926547
2017 8 -4.691112 -0.1525016 -4.843614 0.924146
2017 9 2.353277 -0.1934906 2.159787 0.9430197
2017 10 3.70844 -0.2131961 3.495244 1.012617
2017 11 3.513212 -0.1329836 3.380229 1.066346
2017 12 2.121781 -0.016946 2.104835 1.112555
2018 1 1.532587 0.02037414 1.552961 1.109346
2018 2 1.569043 0.05373274 1.622776 1.133901
2018 3 1.516345 0.04734959 1.563694 1.115205
2018 4 1.003322 -0.07390503 0.9294168 1.016216
2018 5 -3.806873 -0.1992901 -4.006164 0.9500336
2018 6 -11.97494 -0.2167193 -12.19166 0.9745197
2018 7 -10.74496 -0.1856876 -10.93065 0.9082754
2018 8 -3.375111 -0.1602135 -3.535325 0.939783
2018 9 2.963135 -0.1726314 2.790504 0.9552903
2018 10 4.896956 -0.1738644 4.723092 1.031075
2018 11 3.470733 -0.1224449 3.348288 1.081318
2018 12 1.903948 -0.00979117 1.894157 1.128882
2019 1 1.521629 0.04669712 1.568326 1.082298
2019 2 1.613193 0.06869542 1.681888 1.106097
2019 3 1.319903 0.0264905 1.346394 1.085859
2019 4 0.7082727 -0.09196112 0.6163116 0.9943374
2019 5 -3.728328 -0.2554076 -3.983736 0.9271853
2019 6 -12.3596 -0.2651004 -12.6247 0.9496777
2019 7 -11.80155 -0.2076667 -12.00922 0.8888323
2019 8 -3.834086 -0.2107954 -4.044881 0.9164477
2019 9 2.716263 -0.2158816 2.500382 0.9340754
2019 10 4.505973 -0.2310348 4.274938 1.006548
2019 11 3.647067 -0.1734226 3.473645 1.052868
2019 12 1.752392 -0.05723759 1.695154 1.10334
2020 1 1.812298 0.03505193 1.84735 1.025898
2020 2 1.689757 0.06057714 1.750334 1.035281
2020 3 1.881381 0.02846098 1.909842 1.026106
2020 4 1.167211 -0.1037888 1.063422 0.8129408
2020 5 -4.210579 -0.2637235 -4.474303 0.7712612
2020 6 -12.38012 -0.2657067 -12.64583 0.8752833
2020 7 -10.4607 -0.1965453 -10.65725 0.8247841
2020 8 -2.023056 -0.201179 -2.224235 0.8632668
2020 9 3.809555 -0.2295382 3.580017 0.9004277
2020 10 3.587856 -0.255178 3.332678 0.9439611
2020 11 3.394456 -0.1945077 3.199949 0.9737603
2020 12 2.070297 -0.06161293 2.008684 1.109142
