year month land ocean net foss
2015 1 -0.582106 0.07856982 -0.5035361 0.2449993
2015 2 0.8736323 0.1003489 0.9739812 0.2556789
2015 3 1.40255 0.1045065 1.507056 0.2487287
2015 4 1.190526 0.1055367 1.296063 0.2486324
2015 5 -0.8773552 0.1440692 -0.733286 0.2444999
2015 6 -1.748372 0.2137313 -1.534641 0.2520607
2015 7 -1.514227 0.2113649 -1.302862 0.2496629
2015 8 -0.8139357 0.1715921 -0.6423436 0.2489273
2015 9 0.1804693 0.1004964 0.2809657 0.2529453
2015 10 0.7339257 0.06282374 0.7967495 0.2516755
2015 11 -0.0504048 0.03042518 -0.01997963 0.2536048
2015 12 0.0189483 0.001723313 0.02067162 0.2520885
2016 1 2.049418 -0.03916651 2.010251 0.2520142
2016 2 2.225579 0.001851065 2.22743 0.256347
2016 3 3.257275 0.0358607 3.293135 0.2570478
2016 4 2.177339 0.103475 2.280814 0.25581
2016 5 -0.5383545 0.1542844 -0.3840701 0.2525157
2016 6 -1.861726 0.1909434 -1.670782 0.2598463
2016 7 -1.9594 0.2315984 -1.727802 0.2564721
2016 8 -0.4229431 0.2615126 -0.1614304 0.2576456
2016 9 -0.1104585 0.1929479 0.08248941 0.2608449
2016 10 0.5887496 0.1241136 0.7128633 0.2590874
2016 11 0.002007389 0.1073208 0.1093282 0.2621776
2016 12 0.838155 0.1103763 0.9485313 0.2595574
2017 1 0.1488291 0.07908541 0.2279145 0.2577525
2017 2 1.368354 0.0718109 1.440165 0.2686756
2017 3 1.590586 0.1091771 1.699763 0.2621219
2017 4 1.425757 0.1368961 1.562653 0.2604559
2017 5 -0.5408426 0.196551 -0.3442917 0.2581556
2017 6 -2.16757 0.2132166 -1.954354 0.2647547
2017 7 -3.045954 0.2419125 -2.804041 0.2614535
2017 8 -1.579542 0.2506339 -1.328908 0.2625563
2017 9 -0.04358173 0.2271764 0.1835946 0.2652195
2017 10 -0.2747639 0.1512091 -0.1235548 0.2643514
2017 11 -0.7687197 0.1628867 -0.6058329 0.2670607
2017 12 -0.09873766 0.1627619 0.06402425 0.2639772
2018 1 -0.1692953 0.1415828 -0.02771243 0.2644389
2018 2 0.9899102 0.1204277 1.110338 0.2751901
2018 3 0.6843865 0.1183564 0.8027429 0.2680253
2018 4 -0.1963252 0.1255013 -0.07082385 0.2669741
2018 5 -1.511657 0.1842606 -1.327396 0.2642939
2018 6 -1.938022 0.2270311 -1.710991 0.2704889
2018 7 -0.6946783 0.2552657 -0.4394126 0.2677956
2018 8 -0.1681011 0.2418357 0.07373456 0.2683413
2018 9 -0.9000625 0.1657085 -0.734354 0.2707461
2018 10 -1.189642 0.1155968 -1.074045 0.270978
2018 11 -0.4183175 0.1032121 -0.3151054 0.2732916
2018 12 -0.6252703 0.09126565 -0.5340046 0.2703115
2019 1 0.4992008 0.08347944 0.5826802 0.2704523
2019 2 2.205068 0.1015115 2.306579 0.2814821
2019 3 2.763282 0.1164192 2.879702 0.2736145
2019 4 2.161033 0.1447646 2.305798 0.2735338
2019 5 -0.162135 0.1661563 0.004021314 0.2702253
2019 6 -1.722625 0.2290927 -1.493532 0.2761319
2019 7 -1.303899 0.2479147 -1.055984 0.2743151
2019 8 -0.8059095 0.2371438 -0.5687658 0.2739264
2019 9 -0.1986429 0.1684908 -0.03015213 0.2772733
2019 10 -0.2860265 0.1185618 -0.1674647 0.2771676
2019 11 -0.4304977 0.09963267 -0.330865 0.2790755
2019 12 -0.4400891 0.09262402 -0.3474651 0.276961
2020 1 0.8846043 0.06311049 0.9477148 0.2708073
2020 2 2.130968 0.08654949 2.217517 0.2755976
2020 3 3.24031 0.1303873 3.370698 0.2443322
2020 4 3.631556 0.1511052 3.782661 0.2125454
2020 5 0.3957718 0.1494904 0.5452623 0.2151328
2020 6 -1.263778 0.2015936 -1.062185 0.2435561
2020 7 -1.463365 0.2118665 -1.251498 0.2471091
2020 8 -0.7473962 0.2136059 -0.5337903 0.2440915
2020 9 -0.1623339 0.1594205 -0.002913394 0.255417
2020 10 -0.7487696 0.1079906 -0.640779 0.2512828
2020 11 -0.4062264 0.1007594 -0.305467 0.2476449
2020 12 0.07955802 0.1066396 0.1861977 0.250975
