lat prs annmn cos sin
1 1 -3.304839 -0.2230141 -0.2631009
2 1 -3.126465 -0.1576052 -0.3497365
3 1 -3.035543 -0.1847325 -0.3297897
4 1 -2.848682 -0.8437323 -0.4976649
5 1 -2.369452 -1.031566 -0.1884311
6 1 -1.898713 -0.6495218 0.2908203
7 1 -1.795218 -0.2970563 0.812862
8 1 -1.292834 -0.715135 1.914966
9 1 -1.013889 -0.837527 2.670175
10 1 -0.598755 -0.7166528 3.103379
11 1 -0.20272 -1.218522 3.177506
12 1 0.05302011 -0.2427937 3.670915
13 1 -0.06692445 1.039524 4.301314
14 1 0.01915483 1.430113 4.829585
15 1 -0.5378997 1.452438 4.576344
1 2 -3.521088 -0.4453858 -0.324276
2 2 -3.239365 -0.229076 -0.3658705
3 2 -3.059547 -0.1759067 -0.3129276
4 2 -2.919438 -0.5693859 -0.4418724
5 2 -2.75611 -1.480307 -0.5704977
6 2 -2.271907 -1.011117 -0.08456726
7 2 -1.727576 -0.05351513 0.5630725
8 2 -1.340026 -0.6302991 1.992366
9 2 -0.933828 -0.9695375 2.754233
10 2 -0.3949839 -1.045417 3.234043
11 2 0.1339115 -1.012917 3.41786
12 2 0.293444 0.1245664 4.04806
13 2 0.399348 1.100387 4.455925
14 2 0.5306226 1.463833 5.360447
15 2 0.08581195 1.957015 5.166161
1 3 -3.617429 -0.5377637 -0.3622695
2 3 -3.350035 -0.3215177 -0.3244194
3 3 -3.107714 -0.1846556 -0.2518804
4 3 -3.018161 -0.405308 -0.4497721
5 3 -2.920475 -1.445918 -0.6293993
6 3 -2.270135 -0.7544744 -0.2410118
7 3 -1.419059 0.6053814 0.2679034
8 3 -1.258405 -0.4985217 2.059901
9 3 -0.9105457 -0.8563848 2.768094
10 3 -0.2372669 -0.7760595 3.267904
11 3 0.3118552 -0.8594788 3.678709
12 3 0.484576 0.2427324 4.281565
13 3 1.063681 0.7124384 4.205204
14 3 0.7953214 1.592673 5.613985
15 3 0.2121099 2.170924 5.553771
1 4 -3.67102 -0.5897771 -0.4138631
2 4 -3.48728 -0.4914745 -0.3788076
3 4 -3.172541 -0.2016366 -0.2093511
4 4 -3.066948 -0.1747642 -0.4898568
5 4 -2.87936 -1.004492 -0.5513317
6 4 -2.371364 -0.5663961 -0.3749649
7 4 -0.7287341 1.439225 -0.2908169
8 4 -1.016147 -0.2198691 2.138998
9 4 -0.8007385 -0.6995595 2.955201
10 4 -0.1348863 -0.6153534 3.340694
11 4 0.496276 -0.3915266 3.963869
12 4 0.6596337 0.2741375 4.357422
13 4 1.497656 0.5849205 4.129195
14 4 0.9050911 1.797533 5.825196
15 4 0.2796769 2.378074 6.128962
1 5 -3.71564 -0.6077585 -0.4953708
2 5 -3.576762 -0.5364352 -0.4029219
3 5 -3.238034 -0.2069871 -0.2364942
4 5 -3.121742 -0.02222007 -0.4518325
5 5 -2.899204 -0.5714088 -0.4744684
6 5 -2.424066 -0.3786623 -0.3506086
7 5 -0.405834 1.686943 -0.2057114
8 5 -0.7470007 -0.03731391 2.601788
9 5 -0.4597522 -0.6318997 3.355496
10 5 0.03336361 -0.03265684 3.61167
11 5 0.7469211 -0.03174427 4.225292
12 5 0.8856752 0.406445 4.445007
13 5 1.847332 0.5812354 4.160762
14 5 1.258395 1.675226 5.731799
15 5 0.4224414 2.615609 6.442032
1 6 -3.734336 -0.6183147 -0.5652731
2 6 -3.654667 -0.5897431 -0.4098538
3 6 -3.315441 -0.1178709 -0.2658915
4 6 -3.209614 -0.1869053 -0.2327779
5 6 -2.843881 -0.1736334 -0.2917334
6 6 -2.526526 -0.3246763 -0.3044297
7 6 -1.123845 0.5415861 0.1324816
8 6 -0.6365203 -0.4742634 2.816159
9 6 0.1338868 -0.4232616 3.633745
10 6 0.5357259 0.3415073 4.028974
11 6 0.8475788 0.6223774 4.335365
12 6 1.146234 0.7327577 4.818108
13 6 2.186764 0.667439 4.253735
14 6 1.323182 2.590922 6.152454
15 6 0.5119049 2.776139 6.62903
1 7 -3.819751 -0.8284367 -0.6786834
2 7 -3.637005 -0.5226204 -0.4421869
3 7 -3.017466 0.107461 -0.0478676
4 7 -3.318362 -0.1215987 -0.03789337
5 7 -3.03535 -0.2341941 -0.2863863
6 7 -2.665297 -0.3735237 -0.3207953
7 7 -1.698808 -0.2180546 -0.1075739
8 7 -0.7536864 -0.5681693 2.185467
9 7 0.6235101 -0.5608403 4.034734
10 7 1.060553 0.2123418 4.320724
11 7 0.9576385 1.420402 4.3083
12 7 1.432887 0.6293235 4.747157
13 7 2.360596 0.7944343 4.310058
14 7 3.228487 2.128701 5.145891
15 7 0.7409689 2.829476 6.709887
