year month land ocean net foss
2015 1 7.611754 -1.777949 5.833805 8.251889
2015 2 3.268457 -1.7647 1.503757 8.488696
2015 3 1.942498 -1.540455 0.4020429 8.248429
2015 4 1.360068 -1.384974 -0.02490627 7.97089
2015 5 -12.27176 -1.275803 -13.54757 7.692349
2015 6 -27.61915 -0.8273083 -28.44646 7.958707
2015 7 -27.71255 -0.06299569 -27.77555 7.883931
2015 8 -14.78577 0.2181495 -14.56762 7.901762
2015 9 2.99825 -0.07725622 2.920994 8.004349
2015 10 10.6134 -0.6691286 9.944272 8.045473
2015 11 11.9483 -1.175646 10.77265 8.4255
2015 12 9.370512 -1.532066 7.838446 8.829492
2016 1 7.461894 -1.720252 5.741642 8.244765
2016 2 4.175823 -1.814288 2.361535 8.228707
2016 3 3.936267 -1.612189 2.324078 8.281971
2016 4 0.749029 -1.488587 -0.7395579 7.96446
2016 5 -11.81877 -1.283156 -13.10193 7.72543
2016 6 -28.36371 -0.8892063 -29.25292 7.972372
2016 7 -28.23829 -0.1715109 -28.4098 7.859618
2016 8 -11.90485 0.1290147 -11.77583 7.944576
2016 9 4.611178 -0.1025838 4.508595 8.010408
2016 10 11.39128 -0.6648648 10.72642 8.043532
2016 11 11.12308 -1.248198 9.874881 8.457069
2016 12 7.730793 -1.646992 6.0838 8.814729
2017 1 5.78518 -1.892929 3.892251 8.370067
2017 2 4.248618 -1.797633 2.450985 8.610742
2017 3 3.969187 -1.620754 2.348434 8.390353
2017 4 2.7015 -1.505306 1.196194 8.060561
2017 5 -10.71864 -1.380031 -12.09868 7.851097
2017 6 -26.5203 -0.8742027 -27.3945 8.079198
2017 7 -29.24068 -0.08984515 -29.33053 7.968325
2017 8 -17.12644 0.1078266 -17.01861 8.052816
2017 9 3.144097 -0.1549016 2.989195 8.103267
2017 10 11.51396 -0.7082055 10.80575 8.171595
2017 11 11.54626 -1.190334 10.35592 8.570567
2017 12 7.599112 -1.619365 5.979747 8.910147
2018 1 6.067995 -1.863395 4.2046 8.568912
2018 2 6.808251 -1.623337 5.184914 8.794387
2018 3 4.436044 -1.56077 2.875275 8.554491
2018 4 2.955784 -1.595022 1.360762 8.251204
2018 5 -9.905513 -1.381761 -11.28727 8.023364
2018 6 -27.32564 -0.8982406 -28.22388 8.239234
2018 7 -29.03897 -0.1504626 -29.18943 8.157986
2018 8 -16.46011 0.1930516 -16.26706 8.225498
2018 9 5.206744 -0.05042593 5.156318 8.263551
2018 10 9.490737 -0.855423 8.635314 8.367481
2018 11 11.27803 -1.399114 9.878916 8.750023
2018 12 9.883243 -1.759697 8.123546 9.105181
2019 1 6.929423 -1.913572 5.01585 8.574063
2019 2 4.098855 -1.899584 2.199271 8.799775
2019 3 3.155938 -1.700799 1.455139 8.548598
2019 4 0.4232789 -1.664216 -1.240937 8.289379
2019 5 -9.522578 -1.546872 -11.06945 8.04083
2019 6 -26.15347 -0.930556 -27.08402 8.247494
2019 7 -29.75007 -0.1547965 -29.90487 8.198423
2019 8 -15.68968 0.1042462 -15.58543 8.230725
2019 9 3.550184 -0.1052885 3.444895 8.304835
2019 10 12.43933 -0.7627721 11.67655 8.390649
2019 11 11.59263 -1.379372 10.21326 8.753193
2019 12 7.02172 -1.867501 5.154219 9.145222
2020 1 10.23672 -1.740773 8.495942 8.258667
2020 2 6.659392 -1.758234 4.901157 8.028179
2020 3 2.601678 -1.646412 0.9552667 7.710841
2020 4 0.009689001 -1.61471 -1.605021 7.012341
2020 5 -8.632895 -1.468591 -10.10149 7.031215
2020 6 -26.84535 -0.8905324 -27.73588 7.745194
2020 7 -26.71995 -0.1081603 -26.82811 7.741729
2020 8 -13.59574 0.1918216 -13.40392 7.889785
2020 9 3.583758 0.0529435 3.636702 8.068989
2020 10 9.812052 -0.4282013 9.383851 8.093762
2020 11 14.31056 -1.047011 13.26355 8.349888
2020 12 10.48022 -1.718137 8.762082 9.12035
