year month land ocean net foss
2015 1 4.458135e-10 0 4.458135e-10 0
2015 2 4.961312e-10 0 4.961312e-10 0
2015 3 4.991965e-10 0 4.991965e-10 0
2015 4 4.338101e-10 0 4.338101e-10 0
2015 5 3.525056e-10 0 3.525056e-10 0
2015 6 2.38479e-10 0 2.38479e-10 0
2015 7 2.225909e-10 0 2.225909e-10 0
2015 8 1.571029e-10 0 1.571029e-10 0
2015 9 1.460608e-10 0 1.460608e-10 0
2015 10 1.098915e-10 0 1.098915e-10 0
2015 11 1.442756e-10 0 1.442756e-10 0
2015 12 2.190693e-10 0 2.190693e-10 0
2016 1 3.00743e-10 0 3.00743e-10 0
2016 2 3.411178e-10 0 3.411178e-10 0
2016 3 2.559033e-10 0 2.559033e-10 0
2016 4 9.394598e-12 0 9.394598e-12 0
2016 5 -4.189929e-10 0 -4.189929e-10 0
2016 6 -6.397704e-10 0 -6.397704e-10 0
2016 7 -6.850153e-10 0 -6.850153e-10 0
2016 8 -5.344504e-10 0 -5.344504e-10 0
2016 9 -2.52184e-10 0 -2.52184e-10 0
2016 10 5.226869e-11 0 5.226869e-11 0
2016 11 6.443551e-11 0 6.443551e-11 0
2016 12 -9.524035e-12 0 -9.524035e-12 0
2017 1 -9.15148e-11 0 -9.15148e-11 0
2017 2 -8.457632e-11 0 -8.457632e-11 0
2017 3 -1.200481e-10 0 -1.200481e-10 0
2017 4 -5.704697e-11 0 -5.704697e-11 0
2017 5 1.483251e-10 0 1.483251e-10 0
2017 6 3.453695e-10 0 3.453695e-10 0
2017 7 4.717844e-10 0 4.717844e-10 0
2017 8 3.832976e-10 0 3.832976e-10 0
2017 9 2.959787e-10 0 2.959787e-10 0
2017 10 1.784428e-10 0 1.784428e-10 0
2017 11 1.386713e-10 0 1.386713e-10 0
2017 12 2.751272e-10 0 2.751272e-10 0
2018 1 5.048469e-10 0 5.048469e-10 0
2018 2 7.041781e-10 0 7.041781e-10 0
2018 3 7.842412e-10 0 7.842412e-10 0
2018 4 5.964962e-10 0 5.964962e-10 0
2018 5 3.062098e-10 0 3.062098e-10 0
2018 6 2.927525e-10 0 2.927525e-10 0
2018 7 5.068953e-10 0 5.068953e-10 0
2018 8 7.417599e-10 0 7.417599e-10 0
2018 9 9.676335e-10 0 9.676335e-10 0
2018 10 1.068638e-09 0 1.068638e-09 0
2018 11 1.019216e-09 0 1.019216e-09 0
2018 12 8.908939e-10 0 8.908939e-10 0
2019 1 7.301482e-10 0 7.301482e-10 0
2019 2 6.119857e-10 0 6.119857e-10 0
2019 3 5.542016e-10 0 5.542016e-10 0
2019 4 5.984099e-10 0 5.984099e-10 0
2019 5 6.320227e-10 0 6.320227e-10 0
2019 6 6.505506e-10 0 6.505506e-10 0
2019 7 7.299632e-10 0 7.299632e-10 0
2019 8 8.334621e-10 0 8.334621e-10 0
2019 9 9.422108e-10 0 9.422108e-10 0
2019 10 1.140459e-09 0 1.140459e-09 0
2019 11 1.071666e-09 0 1.071666e-09 0
2019 12 6.297883e-10 0 6.297883e-10 0
2020 1 3.366796e-10 0 3.366796e-10 0
2020 2 2.43479e-10 0 2.43479e-10 0
2020 3 1.345256e-10 0 1.345256e-10 0
2020 4 -5.334637e-12 0 -5.334637e-12 0
2020 5 5.16701e-11 0 5.16701e-11 0
2020 6 6.533833e-11 0 6.533833e-11 0
2020 7 2.467111e-10 0 2.467111e-10 0
2020 8 5.068127e-10 0 5.068127e-10 0
2020 9 7.978347e-10 0 7.978347e-10 0
2020 10 6.818432e-10 0 6.818432e-10 0
2020 11 5.931663e-10 0 5.931663e-10 0
2020 12 5.651533e-10 0 5.651533e-10 0
