year month land ocean net foss
2015 1 2.286486 -0.7807039 1.505782 3.39712
2015 2 1.501219 -0.7467936 0.7544253 3.489327
2015 3 -0.1311416 -0.6675021 -0.7986436 3.398262
2015 4 -2.467216 -0.5014863 -2.968702 3.315981
2015 5 -3.826867 -0.3372609 -4.164128 3.217433
2015 6 -2.440278 -0.1196551 -2.559933 3.344524
2015 7 -1.666149 0.1262221 -1.539927 3.362088
2015 8 -1.954012 0.2159258 -1.738087 3.369116
2015 9 0.8745119 0.1357873 1.010299 3.387261
2015 10 2.505096 -0.07034701 2.434749 3.364208
2015 11 2.733546 -0.3497307 2.383816 3.517844
2015 12 2.007187 -0.657029 1.350158 3.703015
2016 1 2.086811 -0.8434282 1.243383 3.387115
2016 2 1.315252 -0.8277305 0.4875217 3.375527
2016 3 0.2267604 -0.753644 -0.5268836 3.404634
2016 4 -1.860143 -0.6159399 -2.476083 3.304963
2016 5 -2.745864 -0.3510836 -3.096948 3.224466
2016 6 -2.797467 -0.1723581 -2.969825 3.342486
2016 7 -2.01932 0.06390362 -1.955416 3.34385
2016 8 -0.3472871 0.1783803 -0.1689068 3.380035
2016 9 0.6476367 0.1406794 0.7883161 3.38245
2016 10 2.73164 -0.06609842 2.665541 3.355735
2016 11 2.991982 -0.4064664 2.585515 3.523689
2016 12 2.348217 -0.6813238 1.666893 3.687857
2017 1 2.154726 -0.8577053 1.297021 3.439937
2017 2 1.539086 -0.8596852 0.679401 3.532962
2017 3 0.6702058 -0.7793186 -0.1091128 3.44938
2017 4 -1.696938 -0.6058493 -2.302788 3.345186
2017 5 -3.773243 -0.3914278 -4.164671 3.276765
2017 6 -3.568248 -0.1274696 -3.695717 3.386381
2017 7 -2.350459 0.1017403 -2.248719 3.389789
2017 8 -3.202223 0.1624731 -3.03975 3.424879
2017 9 -0.3957049 0.1484741 -0.2472308 3.420941
2017 10 2.783041 -0.05234883 2.730692 3.409596
2017 11 3.184001 -0.3075951 2.876406 3.572088
2017 12 2.400218 -0.6189107 1.781308 3.72823
2018 1 2.31457 -0.763359 1.551211 3.522418
2018 2 2.393099 -0.6976314 1.695468 3.608833
2018 3 1.023684 -0.7248457 0.2988384 3.515723
2018 4 -1.267737 -0.5673114 -1.835049 3.423907
2018 5 -2.118809 -0.3526019 -2.471411 3.347555
2018 6 -2.634413 -0.1554835 -2.789897 3.451071
2018 7 -2.638227 0.07143232 -2.566795 3.469673
2018 8 -1.550116 0.1805956 -1.36952 3.496009
2018 9 1.342857 0.1516095 1.494466 3.487858
2018 10 2.520183 -0.09098673 2.429196 3.490681
2018 11 2.946854 -0.4027079 2.544146 3.646859
2018 12 2.717979 -0.6881036 2.029875 3.810077
2019 1 2.350976 -0.8399166 1.51106 3.542733
2019 2 1.475136 -0.834963 0.6401729 3.629746
2019 3 -0.0007275959 -0.7565131 -0.7572407 3.531808
2019 4 -2.001454 -0.6256862 -2.62714 3.457578
2019 5 -4.150878 -0.4435499 -4.594428 3.371282
2019 6 -3.260914 -0.1993797 -3.460294 3.47169
2019 7 -2.4088 0.05715829 -2.351642 3.50269
2019 8 -1.367074 0.1730011 -1.194072 3.513361
2019 9 0.1604741 0.1481077 0.3085818 3.522846
2019 10 2.619718 -0.06372717 2.555991 3.518831
2019 11 3.075634 -0.3653514 2.710283 3.666763
2019 12 1.957158 -0.6773169 1.279841 3.847196
2020 1 2.634429 -0.8120055 1.822424 3.403685
2020 2 1.601042 -0.8154211 0.785621 3.262423
2020 3 -0.05760441 -0.7512767 -0.8088811 3.179952
2020 4 -3.316675 -0.6045814 -3.921256 3.041445
2020 5 -2.606154 -0.4243131 -3.030467 3.031067
2020 6 -2.353024 -0.2262766 -2.5793 3.308978
2020 7 -1.463507 0.01171874 -1.451788 3.332798
2020 8 -1.201132 0.1572129 -1.043919 3.398438
2020 9 -0.3880914 0.18271 -0.2053814 3.427024
2020 10 1.192808 0.01646536 1.209274 3.409447
2020 11 4.458999 -0.2938333 4.165166 3.528157
2020 12 3.421083 -0.6471207 2.773962 3.85521
