year month land ocean net foss
2015 1 -5.484856e-09 0 -5.484856e-09 0
2015 2 -4.447041e-09 0 -4.447041e-09 0
2015 3 -4.455144e-09 0 -4.455144e-09 0
2015 4 -5.51192e-09 0 -5.51192e-09 0
2015 5 -4.959497e-09 0 -4.959497e-09 0
2015 6 -4.546952e-09 0 -4.546952e-09 0
2015 7 -4.497736e-09 0 -4.497736e-09 0
2015 8 -4.74592e-09 0 -4.74592e-09 0
2015 9 -3.841434e-09 0 -3.841434e-09 0
2015 10 -8.392646e-10 0 -8.392646e-10 0
2015 11 -2.360448e-09 0 -2.360448e-09 0
2015 12 -4.420116e-09 0 -4.420116e-09 0
2016 1 -3.619101e-09 0 -3.619101e-09 0
2016 2 -3.607131e-09 0 -3.607131e-09 0
2016 3 -2.642636e-09 0 -2.642636e-09 0
2016 4 -4.086829e-10 0 -4.086829e-10 0
2016 5 4.367297e-10 0 4.367297e-10 0
2016 6 -1.282038e-10 0 -1.282038e-10 0
2016 7 -1.273362e-10 0 -1.273362e-10 0
2016 8 4.003771e-10 0 4.003771e-10 0
2016 9 3.211597e-09 0 3.211597e-09 0
2016 10 6.913244e-09 0 6.913244e-09 0
2016 11 6.52482e-09 0 6.52482e-09 0
2016 12 3.451332e-09 0 3.451332e-09 0
2017 1 1.539314e-09 0 1.539314e-09 0
2017 2 -4.509855e-10 0 -4.509855e-10 0
2017 3 -1.012023e-09 0 -1.012023e-09 0
2017 4 -3.415778e-10 0 -3.415778e-10 0
2017 5 4.347836e-10 0 4.347836e-10 0
2017 6 1.559707e-10 0 1.559707e-10 0
2017 7 1.165728e-10 0 1.165728e-10 0
2017 8 -7.239196e-10 0 -7.239196e-10 0
2017 9 -1.016274e-09 0 -1.016274e-09 0
2017 10 -6.237944e-10 0 -6.237944e-10 0
2017 11 -1.510785e-09 0 -1.510785e-09 0
2017 12 -3.290513e-09 0 -3.290513e-09 0
2018 1 -4.969716e-09 0 -4.969716e-09 0
2018 2 -5.329479e-09 0 -5.329479e-09 0
2018 3 -2.275943e-09 0 -2.275943e-09 0
2018 4 -1.264373e-09 0 -1.264373e-09 0
2018 5 -1.572658e-09 0 -1.572658e-09 0
2018 6 -1.991179e-09 0 -1.991179e-09 0
2018 7 -1.975666e-09 0 -1.975666e-09 0
2018 8 -1.688651e-09 0 -1.688651e-09 0
2018 9 -9.874416e-10 0 -9.874416e-10 0
2018 10 -4.360103e-10 0 -4.360103e-10 0
2018 11 -1.379333e-09 0 -1.379333e-09 0
2018 12 -3.815421e-09 0 -3.815421e-09 0
2019 1 -5.709622e-09 0 -5.709622e-09 0
2019 2 -4.333014e-09 0 -4.333014e-09 0
2019 3 -2.728734e-09 0 -2.728734e-09 0
2019 4 -1.850684e-09 0 -1.850684e-09 0
2019 5 -1.941757e-09 0 -1.941757e-09 0
2019 6 -2.568849e-09 0 -2.568849e-09 0
2019 7 -2.504473e-09 0 -2.504473e-09 0
2019 8 -2.709169e-09 0 -2.709169e-09 0
2019 9 -2.112237e-09 0 -2.112237e-09 0
2019 10 -1.678729e-09 0 -1.678729e-09 0
2019 11 -2.512967e-09 0 -2.512967e-09 0
2019 12 -4.511316e-09 0 -4.511316e-09 0
2020 1 -4.302807e-09 0 -4.302807e-09 0
2020 2 -3.390048e-09 0 -3.390048e-09 0
2020 3 -2.747576e-09 0 -2.747576e-09 0
2020 4 -2.578291e-09 0 -2.578291e-09 0
2020 5 -1.439337e-09 0 -1.439337e-09 0
2020 6 -2.260169e-09 0 -2.260169e-09 0
2020 7 -2.884076e-09 0 -2.884076e-09 0
2020 8 -2.493388e-09 0 -2.493388e-09 0
2020 9 -2.179804e-09 0 -2.179804e-09 0
2020 10 -1.298057e-09 0 -1.298057e-09 0
2020 11 -7.456441e-10 0 -7.456441e-10 0
2020 12 -8.339256e-10 0 -8.339256e-10 0
