lat camp flt x yday
5 21 1 -0.7571523 210
15 21 1 -0.5271096 210
25 21 1 -0.07952657 210
35 21 1 NA 210
5 22 1 -0.934291 25
15 22 1 0.4136493 25.69633
25 22 1 2.053576 25.9619
35 22 1 3.238281 25.85816
-5 23 1 NA 270
5 23 1 -2.535214 270
15 23 1 -3.206112 270
25 23 1 -3.189499 270
35 23 1 -3.125596 270.5467
5 24 1 0.6772379 113
15 24 1 2.282285 113
25 24 1 2.767759 113
35 24 1 NA 113.2032
35 21 2 NA 213
45 21 2 NA 213
65 21 2 NA 213.2224
75 21 2 -7.298105 213
35 22 2 2.155984 28
45 22 2 3.331023 28
55 22 2 4.686339 28
65 22 2 5.528034 29
75 22 2 5.214927 29
35 23 2 -3.266027 273
45 23 2 -3.24452 273
55 23 2 -3.1074 273
65 23 2 -2.99856 274
75 23 2 -2.835093 273.8494
35 24 2 4.769733 116
45 24 2 5.442611 116
55 24 2 6.971896 116
65 24 2 7.461664 117
75 24 2 7.438888 116.4878
25 21 3 -0.9592172 216
35 21 3 -2.154825 215.4057
45 21 3 -3.018663 215
55 21 3 -3.438477 215
65 21 3 -6.80356 215
15 22 3 NA 32
25 22 3 2.335002 32
35 22 3 3.948373 32
45 22 3 4.498011 31
55 22 3 4.961651 31
65 22 3 5.164832 31
25 23 3 -3.131551 276.5235
35 23 3 -2.678995 276
45 23 3 -2.548723 276
55 23 3 -2.094902 276
65 23 3 NA 276
15 24 3 NA 119
25 24 3 5.042836 118.7636
35 24 3 5.906862 118
45 24 3 5.195452 118
55 24 3 5.153556 118
65 24 3 NA 118
-15 21 4 -1.370997 219
-5 21 4 -1.001973 218.5256
5 21 4 -0.7161012 218
15 21 4 -0.6536973 218
-15 22 4 -1.852938 34
-5 22 4 -1.485635 33.82339
5 22 4 -0.3110009 33
15 22 4 0.7711681 33
-15 23 4 -2.505856 279
-5 23 4 -2.564527 279
5 23 4 -2.81678 278.4583
15 23 4 -3.234286 278
-15 24 4 -2.089577 121
-5 24 4 -1.370241 120.7323
5 24 4 -0.5194682 120
15 24 4 1.947021 120
-45 21 5 -1.965404 220.8525
-35 21 5 -2.044349 220
-25 21 5 NA 220
-15 21 5 -1.368742 220
-55 22 5 -3.858995 36
-45 22 5 -2.664938 35.98084
-35 22 5 -3.173565 35
-25 22 5 -2.748525 35
-15 22 5 -2.244824 35
-55 23 5 -2.225055 281
-45 23 5 -2.392556 280.9263
-35 23 5 -2.217254 280
-25 23 5 -2.143409 280
-15 23 5 -2.212002 280
-45 24 5 -2.85401 123
-35 24 5 -2.745479 122.4536
-25 24 5 -2.703498 122
-15 24 5 -2.420646 122
-65 21 6 -2.200601 225
-55 21 6 -2.150809 224.8609
-45 21 6 -2.053379 224
-65 22 6 -4.055854 40.63423
-55 22 6 -3.698636 40.48457
-45 22 6 NA 40
-65 23 6 -2.899708 283.4625
-55 23 6 -2.776166 283.4305
-45 23 6 -2.530226 283
-65 24 6 -3.20846 126
-55 24 6 -3.060575 125.5208
-45 24 6 -3.063465 125
-55 21 7 -2.150223 227
-45 21 7 -2.085082 227
-35 21 7 -1.614309 227
-25 21 7 -1.445627 227
-15 21 7 -1.01795 227
-5 21 7 NA 227
-55 22 7 -3.323125 43
-45 22 7 -3.247918 43
-35 22 7 -2.96057 43
-25 22 7 -4.013659 43
-15 22 7 -3.371434 43
-5 22 7 -1.327006 43
-65 23 7 -2.885783 286
-55 23 7 -2.913918 286
-65 24 7 -3.399752 128
-55 24 7 -3.214487 128
-5 21 8 -0.9633445 229
5 21 8 -0.233389 229
15 21 8 -2.57309 229
25 21 8 -2.876424 229
35 21 8 -2.454793 229
-5 22 8 0.1909157 45
5 22 8 1.754603 45
15 22 8 1.326175 45
25 22 8 1.643251 45
35 22 8 2.155816 45
-55 23 8 NA 289
-45 23 8 -2.884667 289
-35 23 8 -2.536088 289
-25 23 8 -2.383764 289
-15 23 8 -2.134661 289
-5 23 8 0.02094688 289
-55 24 8 -3.193462 131
-45 24 8 -2.873979 131
-35 24 8 -2.107485 131
-25 24 8 -2.070529 131
-15 24 8 -1.950196 131
-5 24 8 -1.246252 131
35 21 9 NA 232
45 21 9 -3.834796 232
55 21 9 NA 232
65 21 9 -7.202082 232
75 21 9 -7.841699 232
35 22 9 2.408352 48
45 22 9 2.109706 48
55 22 9 3.07784 48
65 22 9 4.830859 48
75 22 9 4.905296 48
-5 23 9 -1.106035 291
5 23 9 -3.28482 291
15 23 9 -3.406446 291
-5 24 9 -1.701675 133
5 24 9 1.015242 133
15 24 9 3.173876 133
25 24 9 3.138034 133
35 24 9 4.138061 133
65 22 10 6.343585 49
75 22 10 5.640472 49
5 23 10 -3.500182 292
15 23 10 -3.250041 292
25 23 10 -2.665359 292
35 23 10 -2.157326 292
35 24 10 4.243671 136
45 24 10 4.550923 136
55 24 10 5.023411 136
65 24 10 5.974349 136
35 22 11 2.588966 51
45 22 11 4.795408 51
55 22 11 5.413901 51
65 22 11 5.78209 51
35 23 11 -2.382831 295
45 23 11 -1.676163 295
55 23 11 -1.065071 295
65 23 11 -0.515043 295
45 24 11 5.371793 137
65 24 11 6.223068 137
45 23 12 -2.282004 297
55 23 12 1.616728 297
65 23 12 -1.152317 297
75 23 12 -0.8419658 297
45 24 12 3.739938 138
55 24 12 NA 138
65 24 12 5.689198 138.286
75 24 12 5.754556 138
35 23 13 -2.41797 299.0926
45 23 13 -2.254248 299
55 23 13 -1.689292 299
65 23 13 -1.047305 299
35 24 13 3.712519 140
45 24 13 5.027708 140
55 24 13 6.492557 140
65 24 13 6.412315 140
