lat prs annmn cos sin
1 1 -2.883347 -0.3912329 -0.4110252
2 1 -2.712955 -0.2167768 -0.4423223
3 1 -2.591916 -0.2609657 -0.4538389
4 1 -2.36961 -0.6702974 -0.3675074
5 1 -2.064976 -0.8889937 -0.1248125
6 1 -1.760368 -0.6900998 0.1618212
7 1 -1.552495 -0.5214958 0.6263906
8 1 -1.051805 -0.8530084 1.580185
9 1 -0.7308934 -0.9615557 2.434474
10 1 -0.3460896 -0.8164495 2.819127
11 1 0.004186783 -1.23333 3.125236
12 1 0.3576176 -0.2529191 3.693452
13 1 0.3815677 1.015759 4.295824
14 1 0.5464151 1.456942 4.897633
15 1 -0.04471008 1.527037 4.694554
1 2 -3.084829 -0.5931903 -0.4515812
2 2 -2.790454 -0.3084095 -0.4785003
3 2 -2.596578 -0.2760796 -0.4514193
4 2 -2.496033 -0.6032953 -0.3941461
5 2 -2.365257 -1.2736 -0.4843277
6 2 -2.028796 -0.9220333 -0.1076387
7 2 -1.446732 -0.3027484 0.3929016
8 2 -1.070078 -0.7862051 1.657782
9 2 -0.727048 -1.096381 2.507575
10 2 -0.1470008 -1.180551 3.0745
11 2 0.437154 -1.062193 3.470794
12 2 0.6557227 0.1683779 4.153706
13 2 0.9765118 1.03934 4.532315
14 2 1.19818 1.462468 5.485885
15 2 0.701642 1.983449 5.345613
1 3 -3.196552 -0.6807185 -0.4750183
2 3 -2.874136 -0.3760326 -0.4852748
3 3 -2.6406 -0.3062216 -0.4024841
4 3 -2.551887 -0.5356326 -0.3946772
5 3 -2.508746 -1.265188 -0.576158
6 3 -2.047218 -0.702375 -0.2304953
7 3 -1.171646 0.3181299 0.00681871
8 3 -0.9844248 -0.7523961 1.59213
9 3 -0.6916093 -0.9748586 2.480114
10 3 0.05567685 -0.8213707 3.186072
11 3 0.6792298 -0.8924643 3.750814
12 3 0.8762383 0.2882396 4.406554
13 3 1.73269 0.6028687 4.287747
14 3 1.498225 1.55824 5.823238
15 3 0.8690566 2.169994 5.70521
1 4 -3.276759 -0.7332703 -0.5179789
2 4 -3.003159 -0.5438584 -0.5442861
3 4 -2.703268 -0.3247553 -0.3594829
4 4 -2.498909 -0.4095398 -0.4279725
5 4 -2.479203 -0.8633214 -0.5675357
6 4 -2.140967 -0.5724632 -0.3591364
7 4 -0.6624596 1.053761 -0.4300773
8 4 -0.777226 -0.6910517 1.532484
9 4 -0.5666348 -0.8162123 2.630118
10 4 0.2005439 -0.6247265 3.303301
11 4 0.9012582 -0.359807 4.099449
12 4 1.124697 0.2598768 4.492921
13 4 2.222917 0.4663065 4.213529
14 4 1.636446 1.734427 6.026712
15 4 0.9246501 2.389076 6.218626
1 5 -3.340388 -0.7649999 -0.5850735
2 5 -3.094167 -0.6027779 -0.554655
3 5 -2.781393 -0.3855831 -0.4141679
4 5 -2.443226 -0.3937823 -0.3452183
5 5 -2.468765 -0.529953 -0.5406241
6 5 -2.174589 -0.409436 -0.3478929
7 5 -0.5458692 1.200157 -0.3370925
8 5 -0.5597494 -0.5199996 1.731048
9 5 -0.2053531 -0.6872261 3.019418
10 5 0.4737359 0.02665474 3.57823
11 5 1.238922 0.01111512 4.420636
12 5 1.467266 0.3070277 4.580907
13 5 2.665227 0.4045384 4.207799
14 5 2.059809 1.440065 5.858791
15 5 1.052946 2.669261 6.49881
1 6 -3.37144 -0.808144 -0.6378415
2 6 -3.183778 -0.7134794 -0.5327859
3 6 -2.865366 -0.3633022 -0.4210487
4 6 -2.489507 -0.6732898 -0.102342
5 6 -2.482658 -0.3006125 -0.3861919
6 6 -2.259853 -0.3324259 -0.2858061
7 6 -1.206248 0.1935171 0.05447346
8 6 -0.4809638 -0.6014367 2.06815
9 6 0.3939999 -0.3556111 3.462978
10 6 1.055275 0.4775478 4.104541
11 6 1.33326 0.7599867 4.332102
12 6 1.966135 0.430812 4.963774
13 6 3.151439 0.4397729 4.15245
14 6 2.126574 2.325722 6.237726
15 6 1.189424 2.881141 6.558252
1 7 -3.469294 -1.059249 -0.7576581
2 7 -3.255562 -0.7584644 -0.41794
3 7 -2.679248 -0.3432486 0.1397837
4 7 -2.589465 -0.7570855 0.06195528
5 7 -2.668119 -0.3573716 -0.3390813
6 7 -2.374116 -0.3121527 -0.2711534
7 7 -1.602176 -0.3595832 -0.02918113
8 7 -0.5479773 -0.5347737 1.754874
9 7 1.011844 -0.4949346 4.072548
10 7 1.592588 0.3461403 4.459763
11 7 1.375467 1.925425 4.010397
12 7 2.391459 0.2941127 4.781301
13 7 3.447568 0.4954918 4.026823
14 7 3.96152 1.874715 5.004807
15 7 1.522856 3.187485 6.327781
