year month land ocean net foss
2015 1 9.52085 -1.399647 8.121203 8.251889
2015 2 4.754715 -1.32851 3.426206 8.488696
2015 3 3.626334 -1.149908 2.476427 8.248429
2015 4 1.553826 -1.146245 0.4075812 7.97089
2015 5 -9.876009 -1.112713 -10.98872 7.692349
2015 6 -28.1751 -0.6633168 -28.83842 7.958707
2015 7 -28.01254 0.07027256 -27.94227 7.883931
2015 8 -14.23055 0.2980192 -13.93254 7.901762
2015 9 3.211425 0.04842783 3.259853 8.004349
2015 10 11.06216 -0.4689853 10.59318 8.045473
2015 11 12.52492 -0.979526 11.54539 8.4255
2015 12 11.04956 -1.239919 9.80964 8.829492
2016 1 8.834327 -1.331425 7.502902 8.244765
2016 2 5.458319 -1.442656 4.015663 8.228707
2016 3 6.766442 -1.343632 5.422809 8.281971
2016 4 2.792484 -1.314639 1.477844 7.96446
2016 5 -11.92917 -1.110389 -13.03956 7.72543
2016 6 -27.20705 -0.6031905 -27.81024 7.972372
2016 7 -29.42639 0.1222525 -29.30413 7.859618
2016 8 -13.45172 0.4172648 -13.03446 7.944576
2016 9 4.126142 0.06653971 4.192682 8.010408
2016 10 11.31849 -0.6259658 10.69252 8.043532
2016 11 10.75284 -1.187204 9.565639 8.457069
2016 12 9.80449 -1.408269 8.396221 8.814729
2017 1 8.242249 -1.487375 6.754874 8.370067
2017 2 5.335222 -1.44189 3.893333 8.610742
2017 3 5.173157 -1.434853 3.738304 8.390353
2017 4 2.346856 -1.449838 0.8970183 8.060561
2017 5 -10.64533 -1.448153 -12.09348 7.851097
2017 6 -25.92235 -0.9242695 -26.84662 8.079198
2017 7 -30.9664 -0.1410087 -31.10741 7.968325
2017 8 -12.2203 0.09874036 -12.12156 8.052816
2017 9 2.978187 -0.1558845 2.822302 8.103267
2017 10 11.44526 -0.7150315 10.73023 8.171595
2017 11 11.02447 -1.153283 9.871192 8.570567
2017 12 9.052508 -1.426185 7.626323 8.910147
2018 1 7.896385 -1.565559 6.330826 8.568912
2018 2 8.512716 -1.290001 7.222715 8.794387
2018 3 6.364755 -1.283114 5.081642 8.554491
2018 4 3.443932 -1.455242 1.98869 8.251204
2018 5 -10.01609 -1.325899 -11.34199 8.023364
2018 6 -26.43345 -0.8383852 -27.27183 8.239234
2018 7 -29.10027 -0.006606544 -29.10688 8.157986
2018 8 -15.9828 0.4644875 -15.51831 8.225498
2018 9 3.101946 0.1984641 3.30041 8.263551
2018 10 10.14357 -0.5875441 9.556029 8.367481
2018 11 12.66224 -1.099612 11.56263 8.750023
2018 12 11.04782 -1.402941 9.644875 9.105181
2019 1 8.564394 -1.421569 7.142826 8.574063
2019 2 5.149325 -1.444532 3.704793 8.799775
2019 3 3.39452 -1.384546 2.009974 8.548598
2019 4 2.789307 -1.39944 1.389867 8.289379
2019 5 -10.10661 -1.403169 -11.50978 8.04083
2019 6 -25.67542 -0.837394 -26.51281 8.247494
2019 7 -26.66886 -0.006969352 -26.67583 8.198423
2019 8 -16.56814 0.348082 -16.22005 8.230725
2019 9 4.344706 0.1645848 4.509291 8.304835
2019 10 11.26706 -0.5040919 10.76297 8.390649
2019 11 9.576293 -1.101302 8.474991 8.753193
2019 12 8.231686 -1.467983 6.763704 9.145222
2020 1 10.48267 -1.319306 9.163362 8.258667
2020 2 7.931255 -1.337609 6.593645 8.028179
2020 3 5.509013 -1.326131 4.182882 7.710841
2020 4 1.200656 -1.384742 -0.1840866 7.012341
2020 5 -9.448512 -1.414692 -10.8632 7.031215
2020 6 -25.14617 -0.9014615 -26.04764 7.745194
2020 7 -27.18061 -0.06472618 -27.24534 7.741729
2020 8 -13.31796 0.4012908 -12.91666 7.889785
2020 9 4.795388 0.3872371 5.182625 8.068989
2020 10 10.67368 -0.1957939 10.47789 8.093762
2020 11 13.91384 -0.8919225 13.02192 8.349888
2020 12 11.36448 -1.4585 9.905976 9.12035
