year month land ocean net foss
2015 1 0.2582237 0.07891458 0.3371383 0.1607489
2015 2 -0.3838724 0.08589491 -0.2979775 0.1724682
2015 3 0.3929865 -0.06386157 0.329125 0.1655968
2015 4 1.029947 -0.2516619 0.7782851 0.1678315
2015 5 1.303146 -0.5053437 0.7978026 0.1674503
2015 6 0.9270226 -0.7219757 0.2050469 0.1737673
2015 7 0.9140831 -0.7910507 0.1230323 0.1729884
2015 8 0.4858366 -0.7998247 -0.313988 0.1737585
2015 9 -0.5806283 -0.8189521 -1.39958 0.175636
2015 10 -1.293499 -0.739981 -2.03348 0.1699916
2015 11 -0.4632401 -0.4974625 -0.9607026 0.1726149
2015 12 0.2864372 -0.1133388 0.1730984 0.1690444
2016 1 0.1369184 0.08383215 0.2207506 0.1632465
2016 2 0.01337142 0.1236844 0.1370558 0.1699395
2016 3 0.6923612 0.07430425 0.7666655 0.1688405
2016 4 1.5033 -0.1238632 1.379437 0.1703996
2016 5 1.136166 -0.4647763 0.6713901 0.1706512
2016 6 0.4913534 -0.7192669 -0.2279135 0.1767913
2016 7 0.4273838 -0.9420932 -0.5147094 0.1753164
2016 8 0.1123945 -0.8691912 -0.7567967 0.1774001
2016 9 -1.064133 -0.820552 -1.884684 0.1786
2016 10 -1.562844 -0.8003352 -2.36318 0.1725956
2016 11 -0.5214022 -0.5506611 -1.072063 0.1760005
2016 12 0.4818499 -0.1840951 0.2977548 0.1716354
2017 1 0.1859666 0.02670586 0.2126724 0.1592635
2017 2 0.6184731 0.1725008 0.790974 0.1710845
2017 3 0.09912347 0.04536648 0.14449 0.1644428
2017 4 -0.1700993 -0.2715836 -0.4416829 0.1657354
2017 5 -0.01308902 -0.6252357 -0.6383247 0.1666402
2017 6 0.2805468 -0.8440041 -0.5634573 0.1723177
2017 7 0.5130139 -1.057588 -0.5445738 0.1709332
2017 8 0.09732929 -1.001677 -0.9043481 0.1729941
2017 9 -1.280431 -0.9864915 -2.266923 0.1738551
2017 10 -1.697 -0.8574552 -2.554455 0.1685054
2017 11 -0.1603376 -0.5396445 -0.6999821 0.1715919
2017 12 0.4406072 -0.1430384 0.2975689 0.166917
2018 1 0.1687476 0.08370685 0.2524545 0.1593526
2018 2 0.5616415 0.2382478 0.7998893 0.1708535
2018 3 0.1759561 0.08006091 0.256017 0.1639063
2018 4 0.9064724 -0.2147323 0.6917402 0.1657366
2018 5 0.5976409 -0.5239294 0.07371153 0.166421
2018 6 0.6574968 -0.7612712 -0.1037744 0.1717742
2018 7 0.6245943 -0.9182725 -0.2936781 0.1709574
2018 8 0.1238459 -0.8039535 -0.6801076 0.1726837
2018 9 -0.3319353 -0.683577 -1.015512 0.1732778
2018 10 -0.7952452 -0.5520641 -1.347309 0.1686104
2018 11 -0.4833199 -0.3748704 -0.8581902 0.1712887
2018 12 0.2666482 -0.08752332 0.1791249 0.1666753
2019 1 0.001053293 0.04529285 0.04634614 0.1610955
2019 2 0.4822878 0.1258329 0.6081207 0.1727969
2019 3 0.5778184 -0.01380649 0.5640119 0.1652549
2019 4 0.7436742 -0.3001506 0.4435236 0.1679252
2019 5 0.8767391 -0.5071796 0.3695595 0.1682015
2019 6 0.8160606 -0.7245162 0.09154446 0.1733684
2019 7 0.8339408 -0.8241634 0.009777341 0.1732581
2019 8 0.3903911 -0.7569724 -0.3665812 0.1742695
2019 9 -0.9299998 -0.7289922 -1.658992 0.1754257
2019 10 -0.8207188 -0.6507277 -1.471446 0.1703908
2019 11 -0.3245982 -0.4123999 -0.7369981 0.1728267
2019 12 -0.2022729 -0.1297206 -0.3319935 0.1686956
2020 1 0.9104198 0.2261546 1.136574 0.1614705
2020 2 0.08669727 0.2150946 0.3017919 0.1689471
2020 3 0.05279706 -0.01675543 0.03604162 0.1490196
2020 4 0.4933672 -0.2730622 0.220305 0.1339232
2020 5 0.6375684 -0.5063763 0.1311921 0.1365979
2020 6 0.883377 -0.7490842 0.1342928 0.1560638
2020 7 0.8433145 -0.9118445 -0.06853005 0.1583059
2020 8 0.5626578 -0.8433549 -0.2806971 0.157154
2020 9 -0.3370391 -0.7520522 -1.089091 0.1631343
2020 10 -1.069575 -0.6277664 -1.697341 0.1557063
2020 11 -0.6464339 -0.4675508 -1.113985 0.1548743
2020 12 -0.1896034 -0.2080072 -0.3976106 0.1546928
