year month land ocean net foss
2015 1 0.140246 -0.03176362 0.1084824 0.2449993
2015 2 1.338858 -0.02568427 1.313174 0.2556789
2015 3 0.4906365 -0.0746755 0.415961 0.2487287
2015 4 0.4183379 -0.05705373 0.3612842 0.2486324
2015 5 -0.7157238 0.001393106 -0.7143307 0.2444999
2015 6 -0.5288097 0.03600847 -0.4928012 0.2520607
2015 7 0.7209423 0.03974199 0.7606843 0.2496629
2015 8 0.2513559 0.04962565 0.3009816 0.2489273
2015 9 1.027956 0.04199924 1.069955 0.2529453
2015 10 1.650451 -0.003348414 1.647103 0.2516755
2015 11 0.5244121 -0.07789475 0.4465173 0.2536048
2015 12 0.3548513 -0.1023725 0.2524789 0.2520885
2016 1 1.816661 -0.1355074 1.681154 0.2520142
2016 2 1.099823 -0.1754136 0.9244093 0.256347
2016 3 1.715647 -0.1984247 1.517222 0.2570478
2016 4 0.6521774 -0.2232569 0.4289205 0.25581
2016 5 -0.5497622 -0.1819489 -0.7317111 0.2525157
2016 6 -2.097216 -0.08006746 -2.177283 0.2598463
2016 7 -0.1435926 0.0885261 -0.05506655 0.2564721
2016 8 1.013448 0.1730331 1.186481 0.2576456
2016 9 0.4198165 0.07385837 0.4936749 0.2608449
2016 10 0.3162297 -0.05614448 0.2600853 0.2590874
2016 11 0.6548282 -0.08699943 0.5678288 0.2621776
2016 12 0.3904564 -0.08364512 0.3068113 0.2595574
2017 1 -0.2433657 -0.1214114 -0.3647771 0.2577525
2017 2 0.1176343 -0.1578419 -0.0402076 0.2686756
2017 3 0.1354877 -0.2056036 -0.07011588 0.2621219
2017 4 -0.7525549 -0.1905817 -0.9431366 0.2604559
2017 5 -0.7305508 -0.05368932 -0.7842401 0.2581556
2017 6 -2.170497 0.06081544 -2.109681 0.2647547
2017 7 -0.1953972 0.1708041 -0.02459308 0.2614535
2017 8 -0.02208387 0.2022652 0.1801813 0.2625563
2017 9 -0.8628069 0.1320119 -0.730795 0.2652195
2017 10 -1.070391 0.006414527 -1.063976 0.2643514
2017 11 -0.521545 -0.01479412 -0.5363391 0.2670607
2017 12 -0.2369474 -0.05660576 -0.2935531 0.2639772
2018 1 -0.01784825 -0.0661633 -0.08401155 0.2644389
2018 2 1.227164 -0.0284884 1.198675 0.2751901
2018 3 -0.1305343 -0.09060371 -0.221138 0.2680253
2018 4 -2.790306 -0.1441087 -2.934414 0.2669741
2018 5 -1.257102 -0.08144541 -1.338548 0.2642939
2018 6 -1.755094 0.01021392 -1.744881 0.2704889
2018 7 -0.2608572 0.102132 -0.1587252 0.2677956
2018 8 0.9445139 0.1110216 1.055536 0.2683413
2018 9 0.9756274 -0.06802547 0.9076019 0.2707461
2018 10 0.05416032 -0.1577278 -0.1035675 0.270978
2018 11 0.1564239 -0.0964811 0.05994277 0.2732916
2018 12 -0.4786271 -0.1054226 -0.5840497 0.2703115
2019 1 -0.7179781 -0.1344845 -0.8524626 0.2704523
2019 2 1.206376 -0.09251739 1.113858 0.2814821
2019 3 0.3093874 -0.1062596 0.2031279 0.2736145
2019 4 0.2891286 -0.1020907 0.1870378 0.2735338
2019 5 -1.053213 -0.09245068 -1.145664 0.2702253
2019 6 -1.148704 0.0370313 -1.111673 0.2761319
2019 7 -1.334495 0.0989585 -1.235536 0.2743151
2019 8 -0.6678197 0.1066265 -0.5611932 0.2739264
2019 9 0.4341206 0.005865866 0.4399865 0.2772733
2019 10 -1.026801 -0.07093473 -1.097735 0.2771676
2019 11 -0.9166595 -0.06498122 -0.9816408 0.2790755
2019 12 -0.01737749 -0.0268121 -0.04418958 0.276961
2020 1 0.3232765 -0.05247186 0.2708047 0.2708073
2020 2 0.09623543 -0.1124118 -0.01617636 0.2755976
2020 3 0.7864213 -0.1049926 0.6814287 0.2443322
2020 4 0.4147429 -0.08665718 0.3280857 0.2125454
2020 5 -0.5966126 -0.1270411 -0.7236537 0.2151328
2020 6 -1.976026 -0.07377969 -2.049806 0.2435561
2020 7 -2.101858 0.02718345 -2.074675 0.2471091
2020 8 -0.8703524 0.1246986 -0.7456538 0.2440915
2020 9 -0.899439 0.0912922 -0.8081468 0.255417
2020 10 -1.684049 0.0161465 -1.667903 0.2512828
2020 11 -1.344836 -0.05498736 -1.399823 0.2476449
2020 12 -1.060601 -0.08971734 -1.150318 0.250975
