year month land ocean net foss
2015 1 -0.5674335 0.2289865 -0.3384469 0.1751815
2015 2 -2.559506 0.1673892 -2.392117 0.1842921
2015 3 -2.821994 0.1615113 -2.660483 0.1788254
2015 4 -0.6957947 0.2530979 -0.4426968 0.1798009
2015 5 -0.3060189 0.3679295 0.06191061 0.1759468
2015 6 -0.06462965 0.3318383 0.2672087 0.1825118
2015 7 -0.4789717 0.2673661 -0.2116056 0.1819633
2015 8 0.219835 0.257834 0.477669 0.183194
2015 9 2.519745 0.2203867 2.740131 0.1873888
2015 10 2.110933 0.1418031 2.252736 0.1867407
2015 11 0.7657259 0.06734354 0.8330695 0.1840281
2015 12 0.4070492 0.06486753 0.4719167 0.1847741
2016 1 -0.6419217 0.0195504 -0.6223712 0.1892095
2016 2 -2.818329 -0.006278632 -2.824608 0.1934146
2016 3 -0.575337 0.07044476 -0.5048922 0.1938038
2016 4 -0.8337712 0.138168 -0.6956033 0.1941332
2016 5 0.1450164 0.1332864 0.2783029 0.1906017
2016 6 0.3607748 0.1086492 0.4694239 0.1974764
2016 7 0.2885212 0.1841138 0.472635 0.1960993
2016 8 -0.2348992 0.2549969 0.02009771 0.1988988
2016 9 1.194257 0.1902141 1.384471 0.2027324
2016 10 0.5685328 0.1045503 0.6730831 0.201757
2016 11 -1.067783 0.09722465 -0.9705582 0.1995398
2016 12 -0.3838919 0.1556575 -0.2282344 0.1995835
2017 1 -0.6638004 0.1247044 -0.539096 0.1824929
2017 2 -1.630368 0.05166557 -1.578702 0.1919889
2017 3 -2.165452 0.09058776 -2.074865 0.1865485
2017 4 -1.528531 0.191539 -1.336992 0.1865296
2017 5 1.517283 0.3862475 1.903531 0.1839281
2017 6 0.5783464 0.4279804 1.006327 0.1900154
2017 7 0.9934395 0.4494221 1.442862 0.1888065
2017 8 2.030679 0.4577847 2.488463 0.191478
2017 9 -0.2887324 0.3930867 0.1043543 0.1947109
2017 10 0.8414096 0.2359306 1.07734 0.1944497
2017 11 -0.5917374 0.234051 -0.3576864 0.1920466
2017 12 -0.4042158 0.2032598 -0.200956 0.1916511
2018 1 -1.280058 0.2375603 -1.042498 0.1945313
2018 2 -1.499962 0.2555792 -1.244383 0.2043066
2018 3 -2.211045 0.2684546 -1.94259 0.1979908
2018 4 -1.711494 0.2855643 -1.425929 0.1987495
2018 5 -0.3190844 0.3415899 0.02250547 0.1955589
2018 6 -0.1430687 0.3094037 0.166335 0.2017219
2018 7 0.1026926 0.3288426 0.4315352 0.2011574
2018 8 1.008789 0.253313 1.262102 0.2035375
2018 9 0.9777097 0.06706002 1.04477 0.2067361
2018 10 0.3173219 0.02413719 0.3414591 0.207293
2018 11 0.5531977 0.09132567 0.6445233 0.2041559
2018 12 -0.1719475 0.1327734 -0.03917415 0.2038965
2019 1 -2.176991 0.1266468 -2.050344 0.2046574
2019 2 -1.808802 0.1153122 -1.69349 0.2149966
2019 3 -1.473916 0.1655671 -1.308349 0.2077654
2019 4 -0.2312571 0.2562087 0.02495162 0.2094837
2019 5 0.4739021 0.3272367 0.8011387 0.205523
2019 6 0.09740272 0.3379665 0.4353692 0.2117857
2019 7 0.5055995 0.2623141 0.7679135 0.2119813
2019 8 -0.0131053 0.1989408 0.1858355 0.2136424
2019 9 1.467446 0.1083028 1.575749 0.2178585
2019 10 1.087035 0.06060009 1.147635 0.2180879
2019 11 -0.2897163 0.07599579 -0.2137205 0.2143202
2019 12 0.683847 0.115198 0.799045 0.2149032
2020 1 -0.7695216 0.1418443 -0.6276773 0.2073572
2020 2 -2.281418 0.04943779 -2.23198 0.2097752
2020 3 -2.617611 0.1244007 -2.49321 0.1876821
2020 4 -1.346829 0.2274991 -1.11933 0.1662046
2020 5 -0.733521 0.2189004 -0.5146206 0.1664094
2020 6 0.4666593 0.1807951 0.6474544 0.1911064
2020 7 0.1596838 0.1585452 0.3182291 0.1932679
2020 8 0.2903876 0.179583 0.4699706 0.192101
2020 9 1.546607 0.1670011 1.713608 0.2020662
2020 10 1.436981 0.134417 1.571398 0.2007449
2020 11 -0.06113829 0.1099001 0.04876183 0.194332
2020 12 -0.6229855 0.1137347 -0.5092508 0.1998846
