year month land ocean net foss
2015 1 10.77842 -2.770223 8.008195 8.656976
2015 2 4.691257 -2.553813 2.137443 8.923629
2015 3 4.030627 -2.417503 1.613124 8.660329
2015 4 4.675678 -2.618322 2.057356 8.390098
2015 5 -5.221309 -2.867179 -8.088488 8.111184
2015 6 -24.19681 -2.561912 -26.75872 8.395776
2015 7 -24.87915 -2.001966 -26.88112 8.317251
2015 8 -12.274 -1.726785 -14.00078 8.33631
2015 9 5.834532 -2.121523 3.713009 8.445909
2015 10 12.15396 -2.759411 9.394552 8.477225
2015 11 13.35067 -3.24013 10.11054 8.862518
2015 12 12.99857 -2.858508 10.14006 9.254607
2016 1 10.12214 -2.509711 7.612429 8.653587
2016 2 5.074935 -2.26928 2.805655 8.654733
2016 3 8.457289 -2.015726 6.441563 8.699523
2016 4 7.684127 -2.477187 5.20694 8.387591
2016 5 -9.785059 -3.020612 -12.80567 8.149834
2016 6 -22.77534 -2.757825 -25.53316 8.414581
2016 7 -26.33469 -2.487065 -28.82175 8.296068
2016 8 -11.00136 -2.074415 -13.07577 8.38592
2016 9 5.672483 -2.537262 3.135221 8.45692
2016 10 11.59271 -3.44514 8.147573 8.479166
2016 11 11.51087 -3.741178 7.769696 8.900313
2016 12 11.59645 -3.52001 8.076441 9.243781
2017 1 9.310477 -3.314796 5.995681 8.777089
2017 2 5.98282 -2.67948 3.30334 9.048277
2017 3 5.226721 -2.673204 2.553517 8.805184
2017 4 2.423107 -3.372821 -0.9497135 8.48009
2017 5 -11.89117 -3.766146 -15.65731 8.273922
2017 6 -24.52326 -3.255498 -27.77876 8.518714
2017 7 -27.93573 -3.032604 -30.96833 8.402178
2017 8 -10.05988 -2.394841 -12.45473 8.491594
2017 9 3.922523 -2.924539 0.9979837 8.546336
2017 10 11.12466 -3.777374 7.347283 8.605476
2017 11 12.97272 -3.980839 8.991879 9.01125
2017 12 11.50413 -3.642489 7.861641 9.335563
2018 1 9.962359 -3.092837 6.869522 8.976016
2018 2 9.900627 -2.074012 7.826615 9.231081
2018 3 6.048113 -2.34609 3.702023 8.967436
2018 4 5.563024 -3.043108 2.519916 8.670447
2018 5 -9.376977 -3.351809 -12.72879 8.44524
2018 6 -23.48983 -2.97859 -26.46842 8.67697
2018 7 -24.00142 -2.780863 -26.78229 8.591611
2018 8 -13.00909 -2.20465 -15.21374 8.663099
2018 9 5.220396 -2.471321 2.749075 8.704536
2018 10 13.34484 -3.119021 10.22582 8.801407
2018 11 15.7866 -3.544706 12.24189 9.18961
2018 12 12.31635 -3.378353 8.937993 9.529523
2019 1 9.138612 -3.072808 6.065804 8.98519
2019 2 5.417214 -2.671812 2.745402 9.240892
2019 3 4.443725 -2.570959 1.872766 8.964415
2019 4 4.520126 -3.236213 1.283913 8.713832
2019 5 -8.466332 -3.447788 -11.91412 8.466773
2019 6 -20.79607 -2.926871 -23.72294 8.688566
2019 7 -21.44146 -2.650115 -24.09158 8.637478
2019 8 -13.18184 -2.243185 -15.42502 8.671798
2019 9 7.509604 -2.654273 4.855331 8.750889
2019 10 13.94811 -3.373865 10.57425 8.828767
2019 11 10.61741 -3.479681 7.13773 9.196216
2019 12 10.44898 -3.331128 7.117853 9.57437
2020 1 13.30943 -2.261952 11.04748 8.679617
2020 2 7.610975 -2.239258 5.371717 8.457677
2020 3 4.881311 -2.644146 2.237166 8.085311
2020 4 3.943979 -3.214437 0.7295424 7.344425
2020 5 -7.609617 -3.394201 -11.00382 7.372794
2020 6 -20.83146 -2.874809 -23.70627 8.141753
2020 7 -22.16585 -2.605056 -24.77091 8.139084
2020 8 -10.4599 -2.035147 -12.49505 8.282947
2020 9 10.13144 -2.242912 7.888525 8.479585
2020 10 12.17135 -3.061375 9.109976 8.49696
2020 11 15.55955 -3.662035 11.89752 8.753376
2020 12 13.35098 -3.846438 9.50454 9.522416
