year month land ocean net foss
2015 1 3.187036 -0.7289394 2.458097 3.39712
2015 2 2.080291 -0.6877859 1.392505 3.489327
2015 3 1.426383 -0.6034027 0.8229802 3.398262
2015 4 -1.694109 -0.490393 -2.184502 3.315981
2015 5 -4.249758 -0.3570426 -4.606801 3.217433
2015 6 -3.147633 -0.1470361 -3.294669 3.344524
2015 7 -2.051097 0.1006841 -1.950413 3.362088
2015 8 -1.466499 0.209299 -1.2572 3.369116
2015 9 1.147952 0.136843 1.284794 3.387261
2015 10 1.833254 -0.09363592 1.739618 3.364208
2015 11 1.740223 -0.3816237 1.3586 3.517844
2015 12 2.872076 -0.6500822 2.221994 3.703015
2016 1 3.277618 -0.8080087 2.469609 3.387115
2016 2 2.592522 -0.8041732 1.788349 3.375527
2016 3 2.50506 -0.7562924 1.748767 3.404634
2016 4 -0.09753613 -0.6537847 -0.7513208 3.304963
2016 5 -4.219988 -0.4318795 -4.651867 3.224466
2016 6 -2.780174 -0.2058832 -2.986057 3.342486
2016 7 -2.271948 0.05503767 -2.216911 3.34385
2016 8 -1.585984 0.1862675 -1.399717 3.380035
2016 9 -0.03572022 0.1205097 0.08478951 3.38245
2016 10 1.503517 -0.1301513 1.373366 3.355735
2016 11 1.640893 -0.4628498 1.178043 3.523689
2016 12 2.629014 -0.6787006 1.950314 3.687857
2017 1 3.257368 -0.7842052 2.473163 3.439937
2017 2 2.313992 -0.7972606 1.516732 3.532962
2017 3 1.35328 -0.763635 0.5896446 3.44938
2017 4 -0.2940124 -0.6292094 -0.9232218 3.345186
2017 5 -4.06716 -0.4711502 -4.53831 3.276765
2017 6 -3.725752 -0.2060113 -3.931764 3.386381
2017 7 -2.448382 0.05624205 -2.39214 3.389789
2017 8 -0.7743325 0.1523576 -0.6219749 3.424879
2017 9 0.009556062 0.1002607 0.1098167 3.420941
2017 10 1.028237 -0.1355088 0.8927285 3.409596
2017 11 0.8668614 -0.3947822 0.4720792 3.572088
2017 12 1.717523 -0.6337448 1.083778 3.72823
2018 1 2.397514 -0.733111 1.664403 3.522418
2018 2 2.780079 -0.6555012 2.124578 3.608833
2018 3 2.091551 -0.6914771 1.400074 3.515723
2018 4 -0.1230339 -0.5745446 -0.6975785 3.423907
2018 5 -3.922501 -0.4042024 -4.326704 3.347555
2018 6 -3.782215 -0.2030164 -3.985231 3.451071
2018 7 -2.991455 0.02710519 -2.96435 3.469673
2018 8 -2.755067 0.1593813 -2.595685 3.496009
2018 9 0.6400246 0.1327056 0.7727302 3.487858
2018 10 1.620418 -0.1187024 1.501715 3.490681
2018 11 2.170117 -0.4116949 1.758422 3.646859
2018 12 2.59056 -0.6708193 1.91974 3.810077
2019 1 2.622244 -0.7814576 1.840787 3.542733
2019 2 2.069695 -0.7742731 1.295422 3.629746
2019 3 1.397891 -0.7191499 0.6787409 3.531808
2019 4 -0.519662 -0.606084 -1.125746 3.457578
2019 5 -3.669663 -0.465489 -4.135152 3.371282
2019 6 -3.020683 -0.2373504 -3.258034 3.47169
2019 7 -1.247727 0.01520696 -1.23252 3.50269
2019 8 -1.565389 0.1526929 -1.412696 3.513361
2019 9 0.4186937 0.1244763 0.54317 3.522846
2019 10 1.521113 -0.1132449 1.407868 3.518831
2019 11 0.8489016 -0.4271935 0.4217081 3.666763
2019 12 1.925527 -0.6790446 1.246483 3.847196
2020 1 3.203462 -0.7596827 2.44378 3.403685
2020 2 2.425916 -0.7542801 1.671636 3.262423
2020 3 1.347392 -0.7297848 0.6176071 3.179952
2020 4 -1.212536 -0.6164839 -1.82902 3.041445
2020 5 -4.210932 -0.4617872 -4.672719 3.031067
2020 6 -3.46826 -0.2390446 -3.707305 3.308978
2020 7 -2.238842 0.03526476 -2.203577 3.332798
2020 8 -1.382621 0.1939044 -1.188717 3.398438
2020 9 0.2707209 0.1747533 0.4454742 3.427024
2020 10 0.3599276 -0.08713262 0.272795 3.409447
2020 11 1.834566 -0.4147592 1.419807 3.528157
2020 12 2.670081 -0.6942836 1.975798 3.85521
