year month land ocean net foss
2015 1 0.2314301 -0.06044644 0.1709837 0.2449993
2015 2 0.07151519 -0.09619915 -0.02468397 0.2556789
2015 3 -0.9222946 -0.1354232 -1.057718 0.2487287
2015 4 -1.25943 -0.09475423 -1.354184 0.2486324
2015 5 -1.924087 -0.0193551 -1.943442 0.2444999
2015 6 -2.200065 0.01984124 -2.180224 0.2520607
2015 7 -0.5058054 0.01196997 -0.4938354 0.2496629
2015 8 0.5601673 0.006555823 0.5667231 0.2489273
2015 9 1.139809 -0.01785236 1.121957 0.2529453
2015 10 1.044229 -0.06698751 0.9772413 0.2516755
2015 11 0.4591934 -0.1398419 0.3193515 0.2536048
2015 12 -0.2099825 -0.1497539 -0.3597363 0.2520885
2016 1 0.4530675 -0.2090873 0.2439802 0.2520142
2016 2 0.3806783 -0.262072 0.1186062 0.256347
2016 3 0.8620528 -0.2447156 0.6173372 0.2570478
2016 4 0.3532201 -0.2535298 0.09969033 0.25581
2016 5 -1.6858 -0.2055148 -1.891315 0.2525157
2016 6 -3.822627 -0.1028926 -3.925519 0.2598463
2016 7 -1.582928 0.05571542 -1.527213 0.2564721
2016 8 0.4590694 0.1103884 0.5694578 0.2576456
2016 9 -0.700837 -0.008853772 -0.7096907 0.2608449
2016 10 -0.294109 -0.1343647 -0.4284737 0.2590874
2016 11 1.07779 -0.1289667 0.9488237 0.2621776
2016 12 -0.1361619 -0.1056966 -0.2418584 0.2595574
2017 1 -1.064423 -0.1746443 -1.239068 0.2577525
2017 2 -0.9064418 -0.2391248 -1.145567 0.2686756
2017 3 -0.3972115 -0.2753772 -0.6725887 0.2621219
2017 4 -0.6656763 -0.2298766 -0.8955529 0.2604559
2017 5 -1.336071 -0.08387491 -1.419945 0.2581556
2017 6 -2.52738 0.0423282 -2.485052 0.2647547
2017 7 -0.7931598 0.1576226 -0.6355371 0.2614535
2017 8 -0.07382386 0.1831749 0.109351 0.2625563
2017 9 -1.528731 0.08669919 -1.442032 0.2652195
2017 10 -0.9193205 -0.05422819 -0.9735487 0.2643514
2017 11 -0.8124919 -0.06354525 -0.8760371 0.2670607
2017 12 -0.6273601 -0.0806628 -0.7080229 0.2639772
2018 1 -1.114529 -0.09087982 -1.205409 0.2644389
2018 2 0.8418244 -0.05953474 0.7822897 0.2751901
2018 3 -0.3279545 -0.1339705 -0.461925 0.2680253
2018 4 -3.284555 -0.1740133 -3.458568 0.2669741
2018 5 -2.259693 -0.105591 -2.365284 0.2642939
2018 6 -2.496897 -0.0101053 -2.507002 0.2704889
2018 7 -1.010365 0.07145895 -0.938906 0.2677956
2018 8 0.02480295 0.03465788 0.05946083 0.2683413
2018 9 0.103478 -0.1753585 -0.07188059 0.2707461
2018 10 -0.3824173 -0.2539034 -0.6363208 0.270978
2018 11 -0.2959256 -0.174727 -0.4706527 0.2732916
2018 12 -1.39004 -0.1759525 -1.565993 0.2703115
2019 1 -1.702189 -0.1921539 -1.894342 0.2704523
2019 2 0.1285301 -0.1447845 -0.01625442 0.2814821
2019 3 -0.5394699 -0.1503932 -0.689863 0.2736145
2019 4 -0.3629823 -0.1179817 -0.4809639 0.2735338
2019 5 -1.947688 -0.09009658 -2.037784 0.2702253
2019 6 -2.931594 0.03351158 -2.898082 0.2761319
2019 7 -2.748897 0.08253476 -2.666362 0.2743151
2019 8 -1.488723 0.05520139 -1.433521 0.2739264
2019 9 -0.2957056 -0.08929361 -0.3849992 0.2772733
2019 10 -0.8507423 -0.1825862 -1.033328 0.2771676
2019 11 -0.813721 -0.1918177 -1.005539 0.2790755
2019 12 -0.8882258 -0.1507158 -1.038942 0.276961
2020 1 -1.344972 -0.1807187 -1.525691 0.2708073
2020 2 -0.5387151 -0.2311129 -0.769828 0.2755976
2020 3 -0.1596855 -0.1650296 -0.324715 0.2443322
2020 4 -0.02396296 -0.1161947 -0.1401577 0.2125454
2020 5 -1.873206 -0.1667258 -2.039932 0.2151328
2020 6 -3.427646 -0.1193409 -3.546987 0.2435561
2020 7 -3.787862 -0.01422045 -3.802082 0.2471091
2020 8 -1.342468 0.06858785 -1.27388 0.2440915
2020 9 -0.2606213 0.0002678963 -0.2603534 0.255417
2020 10 -1.048329 -0.09925627 -1.147585 0.2512828
2020 11 -1.370428 -0.1714708 -1.541899 0.2476449
2020 12 -1.354251 -0.1897083 -1.543959 0.250975
