year month land ocean net foss
2015 1 2.504678 0.03875532 2.543433 1.062129
2015 2 2.361919 0.04842478 2.410344 1.088648
2015 3 2.627548 0.05336348 2.680911 1.066069
2015 4 3.183328 -0.07158028 3.111747 0.9749839
2015 5 -2.997415 -0.2715228 -3.268937 0.9040669
2015 6 -11.3515 -0.2863166 -11.63781 0.9303582
2015 7 -11.244 -0.2363921 -11.48039 0.8691966
2015 8 -4.507133 -0.2339653 -4.741099 0.8904645
2015 9 1.882787 -0.2645073 1.61828 0.916969
2015 10 4.622407 -0.2501156 4.372291 0.9828725
2015 11 4.223874 -0.1481691 4.075705 1.034691
2015 12 3.153817 0.01697466 3.170792 1.086909
2016 1 2.504678 0.05836071 2.563038 1.073897
2016 2 2.364272 0.05966759 2.423939 1.066947
2016 3 2.627548 0.04143111 2.668979 1.084046
2016 4 3.183328 -0.0814894 3.101838 0.9870936
2016 5 -2.997415 -0.2477211 -3.245136 0.9194386
2016 6 -11.3515 -0.2788673 -11.63036 0.9450597
2016 7 -11.244 -0.2266214 -11.47062 0.8789672
2016 8 -4.507133 -0.2441401 -4.751273 0.9087468
2016 9 1.882787 -0.2780616 1.604726 0.9306825
2016 10 4.622407 -0.2401287 4.382278 0.9954386
2016 11 4.223874 -0.1408002 4.083074 1.051872
2016 12 3.153817 -0.008207467 3.14561 1.099845
2017 1 2.504678 0.03829022 2.542968 1.090822
2017 2 2.361919 0.06851813 2.430437 1.118032
2017 3 2.627548 0.03591619 2.663464 1.100015
2017 4 3.183328 -0.0914408 3.091887 0.9991655
2017 5 -2.997415 -0.2529661 -3.250381 0.9354934
2017 6 -11.3515 -0.2884359 -11.63993 0.9601952
2017 7 -11.244 -0.2311137 -11.47511 0.8926547
2017 8 -4.507133 -0.1923145 -4.699448 0.924146
2017 9 1.882787 -0.238761 1.644026 0.9430197
2017 10 4.622407 -0.252311 4.370096 1.012617
2017 11 4.223874 -0.1669174 4.056957 1.066346
2017 12 3.153817 -0.03454536 3.119272 1.112555
2018 1 2.504678 0.004411135 2.509089 1.109346
2018 2 2.361919 0.04083594 2.402755 1.133901
2018 3 2.627548 0.05271921 2.680267 1.115205
2018 4 3.183328 -0.07873936 3.104588 1.016216
2018 5 -2.997415 -0.2246055 -3.22202 0.9500336
2018 6 -11.3515 -0.2697406 -11.62124 0.9745197
2018 7 -11.244 -0.2416428 -11.48564 0.9082754
2018 8 -4.507133 -0.2033936 -4.710527 0.939783
2018 9 1.882787 -0.2165531 1.666234 0.9552903
2018 10 4.622407 -0.2281927 4.394214 1.031075
2018 11 4.223874 -0.1561617 4.067712 1.081318
2018 12 3.153817 -0.03221345 3.121604 1.128882
2019 1 2.504678 0.03205959 2.536737 1.082298
2019 2 2.361919 0.04978902 2.411708 1.106097
2019 3 2.627548 0.01100535 2.638553 1.085859
2019 4 3.183328 -0.1123556 3.070972 0.9943374
2019 5 -2.997415 -0.2706231 -3.268038 0.9271853
2019 6 -11.3515 -0.2724093 -11.62391 0.9496777
2019 7 -11.244 -0.216135 -11.46013 0.8888323
2019 8 -4.507133 -0.2363324 -4.743466 0.9164477
2019 9 1.882787 -0.2550561 1.627731 0.9340754
2019 10 4.622407 -0.2686393 4.353768 1.006548
2019 11 4.223874 -0.202197 4.021677 1.052868
2019 12 3.153817 -0.0654167 3.0884 1.10334
2020 1 2.504678 0.03205959 2.536737 1.025898
2020 2 2.364272 0.04951453 2.413786 1.035281
2020 3 2.627548 0.01100535 2.638553 1.026106
2020 4 3.183328 -0.1123556 3.070972 0.8129408
2020 5 -2.997415 -0.2706231 -3.268038 0.7712612
2020 6 -11.3515 -0.2724093 -11.62391 0.8752833
2020 7 -11.244 -0.216135 -11.46013 0.8247841
2020 8 -4.507133 -0.2363324 -4.743466 0.8632668
2020 9 1.882787 -0.2550561 1.627731 0.9004277
2020 10 4.622407 -0.2686393 4.353768 0.9439611
2020 11 4.223874 -0.202197 4.021677 0.9737603
2020 12 3.153817 -0.0654167 3.0884 1.109142
