year month land ocean net foss
2015 1 -1.915052 -1.310439 -3.225491 0.4050868
2015 2 -1.368749 -1.169072 -2.537821 0.4349327
2015 3 -0.3818084 -1.133153 -1.514961 0.4118997
2015 4 0.9912693 -1.412535 -0.4212658 0.4192075
2015 5 1.949692 -1.765974 0.1837185 0.4188355
2015 6 2.248248 -1.752448 0.4958002 0.4370689
2015 7 2.13274 -1.803088 0.3296516 0.4333201
2015 8 1.474232 -1.743588 -0.2693559 0.434548
2015 9 0.678997 -1.828289 -1.149292 0.4415596
2015 10 -0.1532376 -1.809383 -1.962621 0.4317523
2015 11 -2.12767 -1.885575 -4.013245 0.437018
2015 12 -3.086657 -1.618087 -4.704744 0.4251154
2016 1 -1.915052 -1.48744 -3.402492 0.4088218
2016 2 -1.346654 -1.378634 -2.725288 0.426026
2016 3 -0.3818084 -1.271231 -1.65304 0.4175513
2016 4 0.9912693 -1.459565 -0.4682955 0.4231308
2016 5 1.949692 -1.682114 0.2675785 0.424404
2016 6 2.248248 -1.595755 0.6524935 0.442209
2016 7 2.13274 -1.94555 0.1871901 0.4364504
2016 8 1.474232 -1.75995 -0.2857182 0.441344
2016 9 0.678997 -1.759898 -1.080901 0.4465129
2016 10 -0.1532376 -1.842397 -1.995634 0.4356341
2016 11 -2.12767 -1.876467 -4.004137 0.443244
2016 12 -3.086657 -1.632051 -4.718707 0.4290521
2017 1 -1.915052 -1.356044 -3.271096 0.4070212
2017 2 -1.368749 -1.22505 -2.593798 0.4375357
2017 3 -0.3818084 -1.311582 -1.693391 0.414831
2017 4 0.9912693 -1.578569 -0.5872997 0.4195288
2017 5 1.949692 -1.799921 0.1497716 0.4228248
2017 6 2.248248 -1.847149 0.4010993 0.4395159
2017 7 2.13274 -2.404871 -0.2721312 0.4338532
2017 8 1.474232 -2.033867 -0.5596346 0.4387785
2017 9 0.678997 -2.061707 -1.38271 0.4430689
2017 10 -0.1532376 -2.069864 -2.223101 0.4338806
2017 11 -2.12767 -2.061783 -4.189453 0.4406829
2017 12 -3.086657 -1.757178 -4.843835 0.4254159
2018 1 -1.915052 -1.401682 -3.316734 0.4071042
2018 2 -1.368749 -1.279149 -2.647898 0.4366939
2018 3 -0.3818084 -1.373405 -1.755213 0.4129455
2018 4 0.9912693 -1.596764 -0.6054943 0.4192435
2018 5 1.949692 -1.790961 0.1587316 0.4218763
2018 6 2.248248 -1.704325 0.5439228 0.4377358
2018 7 2.13274 -2.103409 0.02933082 0.4336252
2018 8 1.474232 -1.924334 -0.450102 0.4376012
2018 9 0.678997 -2.05436 -1.375363 0.4409851
2018 10 -0.1532376 -2.079153 -2.232391 0.4339263
2018 11 -2.12767 -2.099219 -4.226889 0.4395866
2018 12 -3.086657 -1.827669 -4.914326 0.4243418
2019 1 -1.915052 -1.585335 -3.500387 0.4111278
2019 2 -1.368749 -1.390169 -2.758918 0.4411165
2019 3 -0.3818084 -1.427126 -1.808935 0.4158163
2019 4 0.9912693 -1.804687 -0.8134182 0.4244524
2019 5 1.949692 -1.894261 0.05543091 0.4259425
2019 6 2.248248 -1.857429 0.3908195 0.4410715
2019 7 2.13274 -2.251875 -0.1191346 0.4390548
2019 8 1.474232 -2.074638 -0.6004055 0.4410729
2019 9 0.678997 -2.12479 -1.445793 0.446054
2019 10 -0.1532376 -2.225465 -2.378702 0.4381183
2019 11 -2.12767 -2.247705 -4.375374 0.4430235
2019 12 -3.086657 -2.158878 -5.245535 0.4291485
2020 1 -1.915052 -1.585335 -3.500387 0.4209501
2020 2 -1.346654 -1.389052 -2.735706 0.429498
2020 3 -0.3818084 -1.427126 -1.808935 0.3744703
2020 4 0.9912693 -1.804687 -0.8134182 0.3320835
2020 5 1.949692 -1.894261 0.05543091 0.3415795
2020 6 2.248248 -1.857429 0.3908195 0.3965583
2020 7 2.13274 -2.251875 -0.1191346 0.3973548
2020 8 1.474232 -2.074638 -0.6004055 0.3931621
2020 9 0.678997 -2.12479 -1.445793 0.4105958
2020 10 -0.1532376 -2.225465 -2.378702 0.4031978
2020 11 -2.12767 -2.247705 -4.375374 0.4034886
2020 12 -3.086657 -2.158878 -5.245535 0.4020655
