year month land ocean net foss
2015 1 -0.004971567 -0.0669762 -0.07194776 0.001408784
2015 2 -0.01397996 -0.1905165 -0.2044964 0.001485787
2015 3 -0.003755942 -0.1071231 -0.1108791 0.001433433
2015 4 0.009745107 0.01225178 0.02199689 0.001434862
2015 5 0.02188447 0.203001 0.2248854 0.001414344
2015 6 0.02123906 0.2979319 0.3191709 0.001447094
2015 7 0.01914864 0.3896498 0.4087984 0.001418176
2015 8 0.01360509 0.3844051 0.3980102 0.001431035
2015 9 0.004578221 0.1480806 0.1526588 0.0014536
2015 10 -0.01181371 0.02973245 0.01791873 0.001425383
2015 11 -0.02310488 -0.1001735 -0.1232784 0.00144318
2015 12 -0.02836391 -0.2731489 -0.3015128 0.001435956
2016 1 -0.03326076 -0.3381129 -0.3713736 0.001422832
2016 2 -0.020991 -0.3236495 -0.3446405 0.001465029
2016 3 -0.00638033 -0.1499654 -0.1563457 0.001452546
2016 4 0.00538121 0.03962721 0.04500842 0.001449821
2016 5 0.01477319 0.1722864 0.1870596 0.001430837
2016 6 0.02597384 0.4745458 0.5005197 0.001463568
2016 7 0.02101369 0.471682 0.4926957 0.001429868
2016 8 0.01413783 0.2519668 0.2661046 0.001450138
2016 9 0.004640134 0.1596726 0.1643128 0.00146935
2016 10 -0.008569366 -0.1214384 -0.1300077 0.001437898
2016 11 -0.02130367 -0.2566136 -0.2779172 0.001461833
2016 12 -0.02814002 -0.3433492 -0.3714892 0.001450756
2017 1 -0.02561471 -0.4233785 -0.4489932 0.001392175
2017 2 -0.02052384 -0.4294048 -0.4499287 0.00147076
2017 3 -0.009039226 -0.287633 -0.2966723 0.001420313
2017 4 0.008370864 -0.07769247 -0.0693216 0.001415019
2017 5 0.01864936 0.1469164 0.1655658 0.001400858
2017 6 0.01750889 0.19356 0.2110689 0.001430603
2017 7 0.02215571 0.3699766 0.3921323 0.001396708
2017 8 0.01793144 0.3054578 0.3233893 0.001417428
2017 9 0.00820496 0.1694208 0.1776257 0.001434657
2017 10 -0.006898182 -0.01646475 -0.02336293 0.001406135
2017 11 -0.02214117 -0.279525 -0.3016662 0.001428562
2017 12 -0.02623017 -0.2509716 -0.2772018 0.001415861
2018 1 -0.02371705 -0.3162121 -0.3399291 0.001391822
2018 2 -0.02152824 -0.2832237 -0.304752 0.00146823
2018 3 -0.006948751 -0.1941319 -0.2010806 0.001416263
2018 4 0.01085733 -0.03776873 -0.0269114 0.001413044
2018 5 0.01848614 0.08260597 0.1010921 0.001398437
2018 6 0.01821308 0.2021196 0.2203327 0.001426478
2018 7 0.01580357 0.3407723 0.3565759 0.001394864
2018 8 0.01564568 0.3473188 0.3629645 0.001414306
2018 9 0.005347195 0.3159441 0.3212913 0.001429089
2018 10 -0.01073412 0.0696185 0.05888439 0.001405427
2018 11 -0.0207577 -0.1684679 -0.1892256 0.001425537
2018 12 -0.0227692 -0.2627254 -0.2854946 0.001412477
2019 1 -0.03425352 -0.3752823 -0.4095358 0.001365291
2019 2 -0.02637978 -0.3191336 -0.3455133 0.001439374
2019 3 -0.007028411 -0.2229477 -0.2299762 0.001386309
2019 4 0.0116641 -0.05090009 -0.039236 0.00138757
2019 5 0.01874544 0.07809963 0.09684507 0.001370967
2019 6 0.02052111 0.2321862 0.2527073 0.00139583
2019 7 0.02251199 0.4600815 0.4825935 0.001369451
2019 8 0.01326725 0.3605662 0.3738335 0.001385001
2019 9 0.005085133 0.2512011 0.2562863 0.001401266
2019 10 -0.01013972 0.07352644 0.06338671 0.001377835
2019 11 -0.02131229 -0.193205 -0.2145173 0.001395901
2019 12 -0.03557256 -0.3741963 -0.4097689 0.001385791
2020 1 -0.03521374 -0.3921937 -0.4274074 0.001368301
2020 2 -0.02692658 -0.3270339 -0.3539605 0.00140483
2020 3 -0.007035147 -0.212189 -0.2192241 0.001221548
2020 4 0.012008 -0.04739211 -0.03538412 0.001054262
2020 5 0.01771724 0.05735093 0.07506817 0.001064999
2020 6 0.0153766 0.1496186 0.1649952 0.00119813
2020 7 0.01905098 0.37662 0.3956709 0.001205994
2020 8 0.01308936 0.3023572 0.3154466 0.001207493
2020 9 0.004808481 0.1155592 0.1203677 0.001261379
2020 10 -0.01087081 -0.002869662 -0.01374047 0.001219129
2020 11 -0.02450477 -0.2305909 -0.2550956 0.00120984
2020 12 -0.03154169 -0.3518583 -0.3834 0.001224184
