year month land ocean net foss
2015 1 1.196373 -1.200429 -0.004056184 3.39712
2015 2 1.071305 -1.256283 -0.1849781 3.489327
2015 3 0.4694639 -1.137055 -0.6675908 3.398262
2015 4 0.1487498 -0.7903808 -0.6416311 3.315981
2015 5 -1.230315 -0.3925441 -1.622859 3.217433
2015 6 -2.23462 -0.02856312 -2.263183 3.344524
2015 7 -2.876146 0.336926 -2.53922 3.362088
2015 8 -1.600918 0.593088 -1.00783 3.369116
2015 9 -0.4340328 0.4453145 0.01128167 3.387261
2015 10 1.39799 0.1463318 1.544322 3.364208
2015 11 2.466258 -0.3556012 2.110657 3.517844
2015 12 1.052834 -0.8541659 0.1986678 3.703015
2016 1 1.294182 -1.293508 0.0006746442 3.387115
2016 2 1.027627 -1.249077 -0.2214497 3.375527
2016 3 0.9348074 -1.106595 -0.1717874 3.404634
2016 4 0.1879147 -1.102457 -0.9145425 3.304963
2016 5 -2.191439 -0.5124258 -2.703865 3.224466
2016 6 -3.038511 -0.1271363 -3.165647 3.342486
2016 7 -2.521688 0.2873972 -2.23429 3.34385
2016 8 -2.128379 0.5013244 -1.627055 3.380035
2016 9 -0.3051918 0.439308 0.1341162 3.38245
2016 10 1.347249 0.1432516 1.4905 3.355735
2016 11 1.905921 -0.4041192 1.501802 3.523689
2016 12 1.549152 -0.9342121 0.6149403 3.687857
2017 1 1.380033 -1.256931 0.1231017 3.439937
2017 2 1.376038 -1.249403 0.1266352 3.532962
2017 3 0.8902603 -1.204953 -0.3146928 3.44938
2017 4 0.1794185 -0.8998207 -0.7204022 3.345186
2017 5 -1.937084 -0.5452265 -2.482311 3.276765
2017 6 -3.799575 -0.04900899 -3.848584 3.386381
2017 7 -3.575552 0.3391811 -3.236371 3.389789
2017 8 -1.297099 0.4615654 -0.8355334 3.424879
2017 9 -0.7110784 0.4338473 -0.277231 3.420941
2017 10 1.268262 0.1223745 1.390637 3.409596
2017 11 1.673329 -0.3437388 1.32959 3.572088
2017 12 1.377693 -0.8535077 0.5241852 3.72823
2018 1 0.9852748 -1.203531 -0.2182559 3.522418
2018 2 1.610779 -1.014066 0.5967133 3.608833
2018 3 0.9214163 -1.116321 -0.194905 3.515723
2018 4 -0.07703863 -0.8344962 -0.9115349 3.423907
2018 5 -0.8582256 -0.3812767 -1.239502 3.347555
2018 6 -3.254789 0.01484189 -3.239947 3.451071
2018 7 -1.706989 0.2939913 -1.412997 3.469673
2018 8 -2.369742 0.4476706 -1.922071 3.496009
2018 9 0.005848227 0.4140597 0.4199079 3.487858
2018 10 1.036321 0.1058794 1.1422 3.490681
2018 11 1.829712 -0.3165088 1.513203 3.646859
2018 12 2.03334 -0.7780552 1.255284 3.810077
2019 1 1.3104 -1.158088 0.152312 3.542733
2019 2 0.8297769 -1.112194 -0.2824173 3.629746
2019 3 0.4128377 -1.300619 -0.8877814 3.531808
2019 4 0.1161382 -0.9340628 -0.8179246 3.457578
2019 5 -1.480659 -0.3965617 -1.87722 3.371282
2019 6 -1.49203 0.02383113 -1.468199 3.47169
2019 7 -1.776681 0.3087913 -1.467889 3.50269
2019 8 -1.160571 0.4494486 -0.7111225 3.513361
2019 9 -0.8097462 0.4023024 -0.4074439 3.522846
2019 10 1.308991 0.1022914 1.411283 3.518831
2019 11 1.624059 -0.3251972 1.298861 3.666763
2019 12 1.756751 -0.7572508 0.9995002 3.847196
2020 1 1.390899 -1.039714 0.3511853 3.403685
2020 2 1.538858 -0.9599474 0.5789104 3.262423
2020 3 0.4953512 -1.172602 -0.6772507 3.179952
2020 4 0.123312 -0.8798135 -0.7565014 3.041445
2020 5 -1.0538 -0.3804773 -1.434277 3.031067
2020 6 -2.205084 0.03002164 -2.175062 3.308978
2020 7 -1.98358 0.3119719 -1.671608 3.332798
2020 8 -1.962548 0.4450215 -1.517527 3.398438
2020 9 -0.5930441 0.3945435 -0.1985006 3.427024
2020 10 1.301808 0.1087648 1.410573 3.409447
2020 11 1.93503 -0.2717691 1.663261 3.528157
2020 12 1.979332 -0.66272 1.316612 3.85521
