year month land ocean net foss
2015 1 -1.268472 0.3286569 -0.9398155 0.2356733
2015 2 -1.324713 0.4361067 -0.8886061 0.2532219
2015 3 -1.025772 0.3161317 -0.7096407 0.2372777
2015 4 -0.9184388 0.1159962 -0.8024426 0.2423079
2015 5 -0.3582375 -0.1305876 -0.4888251 0.2422721
2015 6 0.06914338 -0.4200208 -0.3508774 0.2538848
2015 7 0.1649254 -0.5741009 -0.4091756 0.2509241
2015 8 -0.01503608 -0.6315254 -0.6465615 0.2513851
2015 9 0.2020309 -0.5603918 -0.3583608 0.2564852
2015 10 0.6921671 -0.3145177 0.3776494 0.2525893
2015 11 0.7077499 -0.09548687 0.612263 0.2551085
2015 12 0.2245202 0.1606911 0.3852113 0.2469179
2016 1 -0.7186019 0.3807071 -0.3378947 0.2369094
2016 2 -1.24555 0.4639632 -0.7815869 0.2471038
2016 3 -1.574602 0.3196246 -1.254977 0.2396524
2016 4 -1.498818 0.1282703 -1.370548 0.2436659
2016 5 -0.3956613 -0.1311272 -0.5267885 0.2446153
2016 6 -0.04257114 -0.5305958 -0.573167 0.2559884
2016 7 -0.1420644 -0.6887112 -0.8307756 0.2517485
2016 8 -0.1248272 -0.6186845 -0.7435117 0.2544982
2016 9 0.02695114 -0.5755856 -0.5486345 0.2584648
2016 10 0.5607538 -0.2995102 0.2612436 0.2538704
2016 11 0.2896746 -0.09622492 0.1934497 0.2579171
2016 12 -0.2848234 0.1423685 -0.1424549 0.2482644
2017 1 -0.9381676 0.3128336 -0.625334 0.2391417
2017 2 -2.175867 0.4029137 -1.772954 0.2572571
2017 3 -2.501865 0.3642123 -2.137653 0.2413977
2017 4 -1.587302 0.1485787 -1.438723 0.2448072
2017 5 -1.016476 -0.1239205 -1.140396 0.2470953
2017 6 -0.2968311 -0.3806069 -0.677438 0.257838
2017 7 -0.2775789 -0.564498 -0.842077 0.2535984
2017 8 0.4445426 -0.7025034 -0.2579608 0.2564041
2017 9 0.2960241 -0.5839297 -0.2879056 0.2598481
2017 10 1.007774 -0.3798984 0.627876 0.2562612
2017 11 0.01023337 -0.1269572 -0.1167238 0.2598325
2017 12 -0.3976595 0.07406192 -0.3235976 0.249429
2018 1 -0.9392136 0.3349618 -0.6042517 0.2391786
2018 2 -1.132901 0.3337035 -0.7991971 0.2567087
2018 3 -1.771457 0.3381873 -1.433269 0.2401233
2018 4 -1.628809 0.1017927 -1.527017 0.2445719
2018 5 -0.6227261 -0.1176936 -0.7404197 0.246428
2018 6 -0.1498796 -0.3540616 -0.5039413 0.2566811
2018 7 0.0008886615 -0.5542311 -0.5533424 0.2534002
2018 8 0.1478448 -0.6048401 -0.4569952 0.2556063
2018 9 0.5410609 -0.5649995 -0.0239386 0.2584218
2018 10 0.9852563 -0.3326589 0.6525974 0.2562492
2018 11 0.3152605 -0.1062887 0.2089718 0.2591067
2018 12 -0.4358675 0.1856915 -0.250176 0.248659
2019 1 -1.162663 0.3450722 -0.8175903 0.2414124
2019 2 -1.278347 0.3410444 -0.9373031 0.2591337
2019 3 -1.326772 0.34849 -0.9782823 0.2416137
2019 4 -0.6178997 0.1061925 -0.5117072 0.2475228
2019 5 -0.2231177 -0.1120837 -0.3352014 0.2486591
2019 6 0.02313478 -0.3486953 -0.3255605 0.2583765
2019 7 0.1610559 -0.5604942 -0.3994383 0.256448
2019 8 0.07877356 -0.6431199 -0.5643463 0.2574471
2019 9 0.392856 -0.6119543 -0.2190984 0.2612756
2019 10 0.7954402 -0.3612471 0.4341931 0.2586081
2019 11 1.165234 -0.1228463 1.042388 0.2609652
2019 12 0.3616812 0.1737667 0.535448 0.2513829
2020 1 -1.351224 0.3301246 -1.021099 0.2508444
2020 2 -1.365312 0.3325157 -1.032796 0.2515879
2020 3 -1.291446 0.3362111 -0.9552346 0.2175463
2020 4 -0.755469 0.1000573 -0.6554117 0.1913057
2020 5 -0.2684673 -0.1172228 -0.3856901 0.1979125
2020 6 0.01482355 -0.3551817 -0.3403582 0.2324646
2020 7 0.1129456 -0.5678557 -0.4549101 0.2308202
2020 8 0.1467404 -0.6404873 -0.4937469 0.2278511
2020 9 0.4659087 -0.6146148 -0.1487061 0.2390561
2020 10 0.8729123 -0.3558751 0.5170372 0.2394487
2020 11 1.073752 -0.1196365 0.9541155 0.2406201
2020 12 -0.1469289 0.1655185 0.01858967 0.2393538
