lat camp flt x yday
5 21 1 -0.7888437 210
15 21 1 -0.6388612 210
25 21 1 -0.4161976 210
35 21 1 NA 210
5 22 1 -0.723908 25
15 22 1 0.07802405 25.69633
25 22 1 1.768745 25.9619
35 22 1 2.302712 25.85816
-5 23 1 NA 270
5 23 1 -1.815375 270
15 23 1 -3.392987 270
25 23 1 -3.548541 270
35 23 1 -3.537753 270.5467
5 24 1 0.9351672 113
15 24 1 1.863591 113
25 24 1 2.141903 113
35 24 1 NA 113.2032
35 21 2 NA 213
45 21 2 NA 213
65 21 2 NA 213.2224
75 21 2 -8.757245 213
35 22 2 1.300277 28
45 22 2 2.703094 28
55 22 2 3.57561 28
65 22 2 4.323575 29
75 22 2 4.297611 29
35 23 2 -4.082939 273
45 23 2 -3.905518 273
55 23 2 -4.638711 273
65 23 2 -4.549785 274
75 23 2 -4.873842 273.8494
35 24 2 3.953804 116
45 24 2 4.628779 116
55 24 2 5.676511 116
65 24 2 6.601771 117
75 24 2 6.899787 116.4878
25 21 3 -0.5047848 216
35 21 3 -1.414974 215.4057
45 21 3 -1.677032 215
55 21 3 -1.864057 215
65 21 3 -8.197992 215
15 22 3 NA 32
25 22 3 1.885774 32
35 22 3 3.272 32
45 22 3 4.039629 31
55 22 3 4.388177 31
65 22 3 3.765884 31
25 23 3 -3.55856 276.5235
35 23 3 -4.029852 276
45 23 3 -3.765176 276
55 23 3 -3.759733 276
65 23 3 NA 276
15 24 3 NA 119
25 24 3 4.295024 118.7636
35 24 3 4.955914 118
45 24 3 4.657542 118
55 24 3 3.886407 118
65 24 3 NA 118
-15 21 4 -1.061943 219
-5 21 4 -0.9362635 218.5256
5 21 4 -0.7950946 218
15 21 4 -0.8311029 218
-15 22 4 -0.8129917 34
-5 22 4 -0.649104 33.82339
5 22 4 0.0639657 33
15 22 4 0.6940009 33
-15 23 4 -2.654015 279
-5 23 4 -2.45016 279
5 23 4 -2.580622 278.4583
15 23 4 -3.290182 278
-15 24 4 -1.76444 121
-5 24 4 -0.6456153 120.7323
5 24 4 0.3010735 120
15 24 4 1.665663 120
-45 21 5 -2.358364 220.8525
-35 21 5 -2.370138 220
-25 21 5 NA 220
-15 21 5 -1.115461 220
-55 22 5 -4.232209 36
-45 22 5 -3.170851 35.98084
-35 22 5 -3.035677 35
-25 22 5 -1.740897 35
-15 22 5 -0.9877094 35
-55 23 5 -2.647684 281
-45 23 5 -2.680369 280.9263
-35 23 5 -2.668852 280
-25 23 5 -2.522778 280
-15 23 5 -2.570897 280
-45 24 5 -2.98678 123
-35 24 5 -2.995201 122.4536
-25 24 5 -2.833858 122
-15 24 5 -2.60923 122
-65 21 6 -2.80793 225
-55 21 6 -2.648682 224.8609
-45 21 6 -2.579305 224
-65 22 6 -4.42589 40.63423
-55 22 6 -4.073662 40.48457
-45 22 6 NA 40
-65 23 6 -3.153361 283.4625
-55 23 6 -3.085616 283.4305
-45 23 6 -2.739849 283
-65 24 6 -3.482318 126
-55 24 6 -3.237914 125.5208
-45 24 6 -3.490961 125
-55 21 7 -2.745529 227
-45 21 7 -2.754145 227
-35 21 7 -2.318474 227
-25 21 7 -1.571222 227
-15 21 7 -0.9698179 227
-5 21 7 NA 227
-55 22 7 -3.976006 43
-45 22 7 -3.406232 43
-35 22 7 -2.886664 43
-25 22 7 -3.680524 43
-15 22 7 -3.629864 43
-5 22 7 -0.2677496 43
