year month land ocean net foss
2015 1 1.564792 -0.07987198 1.48492 1.062129
2015 2 1.574313 -0.1654114 1.408902 1.088648
2015 3 1.382434 -0.2465718 1.135862 1.066069
2015 4 1.297137 -0.303575 0.9935617 0.9749839
2015 5 -2.524874 -0.3947212 -2.919595 0.9040669
2015 6 -13.10892 -0.35494 -13.46386 0.9303582
2015 7 -9.758534 -0.2270979 -9.985632 0.8691966
2015 8 -2.378668 -0.1429482 -2.521616 0.8904645
2015 9 -0.1324281 -0.1347715 -0.2671995 0.916969
2015 10 3.861649 -0.2018131 3.659836 0.9828725
2015 11 2.847447 -0.1852181 2.662229 1.034691
2015 12 3.450179 0.03084908 3.481028 1.086909
2016 1 1.906547 -0.01536325 1.891183 1.073897
2016 2 1.322037 -0.06133246 1.260704 1.066947
2016 3 1.316614 -0.1695638 1.14705 1.084046
2016 4 0.7007119 -0.2638146 0.4368973 0.9870936
2016 5 -2.872129 -0.3975319 -3.269661 0.9194386
2016 6 -12.02467 -0.3650061 -12.38968 0.9450597
2016 7 -10.14473 -0.2321482 -10.37688 0.8789672
2016 8 -2.122461 -0.1162948 -2.238756 0.9087468
2016 9 0.125292 -0.1083488 0.01694321 0.9306825
2016 10 3.454765 -0.1187969 3.335968 0.9954386
2016 11 3.325026 -0.1269583 3.198067 1.051872
2016 12 3.040148 -0.02205306 3.018095 1.099845
2017 1 1.937657 -0.06854307 1.869114 1.090822
2017 2 1.345205 0.01297785 1.358183 1.118032
2017 3 1.63323 -0.1836669 1.449563 1.100015
2017 4 1.377824 -0.2666498 1.111174 0.9991655
2017 5 -2.51932 -0.3740387 -2.893358 0.9354934
2017 6 -11.03146 -0.3619884 -11.39344 0.9601952
2017 7 -10.87849 -0.2273773 -11.10586 0.8926547
2017 8 -3.132508 -0.09820519 -3.230713 0.924146
2017 9 -0.02335843 -0.1246432 -0.1480016 0.9430197
2017 10 4.107073 -0.1588531 3.94822 1.012617
2017 11 2.883895 -0.1762096 2.707686 1.066346
2017 12 2.305809 -0.08860456 2.217205 1.112555
2018 1 2.759762 -0.08683447 2.672928 1.109346
2018 2 1.759409 -0.1402811 1.619128 1.133901
2018 3 1.974434 -0.1130789 1.861356 1.115205
2018 4 1.723615 -0.2303793 1.493236 1.016216
2018 5 -2.190506 -0.3613117 -2.551818 0.9500336
2018 6 -10.40485 -0.3556279 -10.76047 0.9745197
2018 7 -10.21413 -0.2886495 -10.50278 0.9082754
2018 8 -3.840429 -0.1982824 -4.038712 0.939783
2018 9 -0.5266419 -0.2247352 -0.7513771 0.9552903
2018 10 3.215207 -0.2308154 2.984392 1.031075
2018 11 3.449553 -0.2188433 3.23071 1.081318
2018 12 2.997528 -0.06237467 2.935153 1.128882
2019 1 2.392949 -0.09346296 2.299486 1.082298
2019 2 1.871908 -0.1745741 1.697334 1.106097
2019 3 2.059377 -0.1479791 1.911398 1.085859
2019 4 1.241344 -0.2561376 0.9852064 0.9943374
2019 5 -2.251956 -0.3998356 -2.651792 0.9271853
2019 6 -12.17322 -0.3658337 -12.53906 0.9496777
2019 7 -10.37893 -0.2932815 -10.67222 0.8888323
2019 8 -4.135454 -0.2036605 -4.339114 0.9164477
2019 9 -0.4895721 -0.2322334 -0.7218055 0.9340754
2019 10 3.486814 -0.2361269 3.250687 1.006548
2019 11 3.596994 -0.2227794 3.374215 1.052868
2019 12 3.521389 -0.06140816 3.459981 1.10334
2020 1 2.675246 -0.08216721 2.593079 1.025898
2020 2 2.098734 -0.1521455 1.946588 1.035281
2020 3 2.243877 -0.1351591 2.108718 1.026106
2020 4 1.414243 -0.2417888 1.172454 0.8129408
2020 5 -1.879246 -0.3871385 -2.266385 0.7712612
2020 6 -12.66709 -0.3636872 -13.03078 0.8752833
2020 7 -10.452 -0.2966088 -10.7486 0.8247841
2020 8 -3.248007 -0.2022234 -3.45023 0.8632668
2020 9 -0.4621123 -0.2277448 -0.6898571 0.9004277
2020 10 3.539671 -0.2306853 3.308986 0.9439611
2020 11 3.576372 -0.2208557 3.355517 0.9737603
2020 12 3.187371 -0.07049143 3.116879 1.109142
