lat prs annmn cos sin
1 1 -3.072446 -0.317648 -0.4233662
2 1 -2.773504 -0.3085646 -0.4493093
3 1 -2.627874 -0.2279013 -0.5042696
4 1 -2.336299 -0.8138132 -0.2899889
5 1 -2.156566 -1.048749 -0.1454435
6 1 -1.684531 -0.5664903 0.2415814
7 1 -1.454966 -0.3458666 0.799368
8 1 -1.085616 -0.4466541 1.369262
9 1 -0.8326141 -0.6620244 2.118507
10 1 -0.4803577 -0.7015926 2.510456
11 1 -0.08156575 -1.004022 2.997758
12 1 0.3531646 -0.5507225 3.527721
13 1 0.187149 0.3427222 4.066246
14 1 0.04582591 0.6594996 4.833328
15 1 -0.7302177 1.094438 4.880715
1 2 -3.312239 -0.3205686 -0.4752237
2 2 -3.06497 -0.3163289 -0.4398266
3 2 -2.734627 -0.1160848 -0.4981667
4 2 -2.411205 -0.501571 -0.3716841
5 2 -2.518769 -1.300065 -0.5725314
6 2 -2.008831 -0.9859487 -0.04855508
7 2 -1.340013 0.0595985 0.4177648
8 2 -1.080361 -0.2864848 1.544547
9 2 -0.7520108 -0.8889126 2.365997
10 2 -0.3034834 -0.946581 2.750942
11 2 0.1134717 -0.8651256 3.387695
12 2 0.5713692 -0.1364845 3.868202
13 2 0.5607231 0.4217195 4.391659
14 2 0.2239309 1.050732 5.593591
15 2 -0.2350289 1.329286 5.612116
1 3 -3.476847 -0.4386346 -0.5023801
2 3 -3.200485 -0.3077799 -0.4692026
3 3 -2.820724 -0.05156946 -0.4800178
4 3 -2.597417 -0.2273476 -0.4665003
5 3 -2.482428 -0.9405875 -0.4959094
6 3 -2.096313 -0.9489093 -0.2782895
7 3 -0.9023624 0.8392523 0.03978492
8 3 -1.000751 -0.1162065 1.781271
9 3 -0.7323684 -0.729587 2.390228
10 3 -0.1427311 -0.6516775 2.913634
11 3 0.3003364 -0.6146382 3.735327
12 3 0.7108002 0.04846478 4.219527
13 3 1.046557 0.09953892 4.374748
14 3 0.3126075 1.306958 6.139216
15 3 -0.09741863 1.349717 6.129282
1 4 -3.59977 -0.564945 -0.5024803
2 4 -3.371376 -0.4334441 -0.495049
3 4 -2.95384 -0.04352259 -0.4511634
4 4 -2.772235 0.03197654 -0.5088153
5 4 -2.291546 -0.330302 -0.4698701
6 4 -1.83259 -0.09854179 -0.4490449
7 4 -0.4599522 1.456802 -0.1198074
8 4 -0.6623638 0.1015652 1.9255
9 4 -0.7319001 -0.5256937 2.446021
10 4 0.1160648 -0.3965824 3.202669
11 4 0.341979 -0.1104335 4.30862
12 4 0.8315776 0.09462168 4.555935
13 4 1.396953 0.2151009 4.43731
14 4 0.3038719 1.634827 6.573703
15 4 -0.008795376 1.641253 6.775013
1 5 -3.735731 -0.6402754 -0.5414162
2 5 -3.539188 -0.5755279 -0.5005971
3 5 -3.119676 -0.08485844 -0.4156207
4 5 -2.953107 0.1747208 -0.3909895
5 5 -2.296213 -0.0004866072 -0.6069939
6 5 -1.794135 0.1937752 -0.4686837
7 5 -0.3391549 1.232859 -0.001192151
8 5 -0.5022688 -0.03363408 2.173353
9 5 -0.5921487 -0.5015908 2.82911
10 5 0.2533273 0.08269497 3.602214
11 5 0.5750461 -0.05022948 4.633728
12 5 1.009785 0.2190237 4.900111
13 5 1.76741 0.3706335 4.290775
14 5 0.6368845 1.700411 6.546117
15 5 0.03253313 2.125216 7.154399
1 6 -3.85121 -0.6856605 -0.5703136
2 6 -3.702489 -0.6710836 -0.4784756
3 6 -3.272858 -0.09544874 -0.3207376
4 6 -3.124101 0.2362067 -0.2664031
5 6 -2.42306 0.3791831 -0.3493055
6 6 -2.128518 0.1343926 -0.2513712
7 6 -0.7695613 0.2603455 0.4235726
8 6 -0.3750546 -0.1809257 2.274962
9 6 -0.2084395 0.01204158 3.295934
10 6 0.4328612 0.1199801 4.20281
11 6 0.6067569 0.4384149 4.778303
12 6 0.8727909 0.5679874 5.442798
13 6 2.00988 0.5582402 4.391429
14 6 0.455832 3.014661 7.156457
15 6 0.1453579 2.807675 7.427545
1 7 -3.957718 -0.7732533 -0.6199445
2 7 -3.792686 -0.6811544 -0.4199054
3 7 -3.589422 -0.4092058 -0.3811145
4 7 -3.430457 -0.005580729 -0.1447223
5 7 -2.708345 0.2706263 -0.1927634
6 7 -2.344134 -0.1698765 -0.2777171
7 7 -1.430344 -0.3120323 0.2487382
8 7 -0.2345331 -0.5445511 2.311314
9 7 0.3062199 -0.1453368 3.898969
10 7 0.7489341 0.1469714 5.070337
11 7 0.626717 0.6970208 4.774675
12 7 1.031473 0.6110231 5.278702
13 7 2.217275 1.031591 4.431234
14 7 2.413066 0.5868397 5.273942
15 7 0.3697549 3.318894 7.791698
