year month land ocean net foss
2015 1 -0.0327577 -0.3711471 -0.4039048 0.001408784
2015 2 -0.02361525 -0.38876 -0.4123752 0.001485787
2015 3 -0.003994498 -0.180618 -0.1846125 0.001433433
2015 4 0.009135299 -0.02246721 -0.01333191 0.001434862
2015 5 0.02098883 0.1838228 0.2048116 0.001414344
2015 6 0.0208133 0.2767408 0.2975541 0.001447094
2015 7 0.01790248 0.341108 0.3590105 0.001418176
2015 8 0.01319564 0.3370626 0.3502582 0.001431035
2015 9 0.004589252 0.1474174 0.1520067 0.0014536
2015 10 -0.01192772 0.0220416 0.01011388 0.001425383
2015 11 -0.02504262 -0.1275324 -0.152575 0.00144318
2015 12 -0.03386652 -0.3123473 -0.3462138 0.001435956
2016 1 -0.03837269 -0.3916566 -0.4300293 0.001422832
2016 2 -0.02223192 -0.3500664 -0.3722983 0.001465029
2016 3 -0.006436239 -0.1576982 -0.1641344 0.001452546
2016 4 0.005341391 0.02780681 0.0331482 0.001449821
2016 5 0.01377776 0.1287146 0.1424924 0.001430837
2016 6 0.02309407 0.3585504 0.3816444 0.001463568
2016 7 0.01797201 0.3569598 0.3749318 0.001429868
2016 8 0.01353955 0.2032152 0.2167548 0.001450138
2016 9 0.004655995 0.1746614 0.1793174 0.00146935
2016 10 -0.008516428 -0.1183697 -0.1268862 0.001437898
2016 11 -0.02174507 -0.2640687 -0.2858138 0.001461833
2016 12 -0.03046568 -0.3708157 -0.4012814 0.001450756
2017 1 -0.02882595 -0.4602626 -0.4890886 0.001392175
2017 2 -0.0213484 -0.4521594 -0.4735078 0.00147076
2017 3 -0.009231472 -0.2973479 -0.3065794 0.001420313
2017 4 0.008216047 -0.09077692 -0.08256087 0.001415019
2017 5 0.01736743 0.118849 0.1362164 0.001400858
2017 6 0.01623033 0.1523709 0.1686012 0.001430603
2017 7 0.01962218 0.2966843 0.3163065 0.001396708
2017 8 0.01645517 0.2587593 0.2752144 0.001417428
2017 9 0.008068064 0.1605739 0.168642 0.001434657
2017 10 -0.006927138 -0.0211865 -0.02811364 0.001406135
2017 11 -0.02309278 -0.2984882 -0.321581 0.001428562
2017 12 -0.03011724 -0.2812841 -0.3114013 0.001415861
2018 1 -0.02716945 -0.3603634 -0.3875329 0.001391822
2018 2 -0.0219108 -0.2925511 -0.3144619 0.00146823
2018 3 -0.006949885 -0.197338 -0.2042878 0.001416263
2018 4 0.01065326 -0.04325346 -0.0326002 0.001413044
2018 5 0.01781949 0.07247305 0.09029253 0.001398437
2018 6 0.01723526 0.183327 0.2005623 0.001426478
2018 7 0.0148375 0.2890784 0.3039159 0.001394864
2018 8 0.01476539 0.2830731 0.2978385 0.001414306
2018 9 0.005285712 0.2604418 0.2657275 0.001429089
2018 10 -0.01123585 0.03221854 0.02098269 0.001405427
2018 11 -0.02431727 -0.2148947 -0.239212 0.001425537
2018 12 -0.0301513 -0.3231371 -0.3532884 0.001412477
2019 1 -0.03752639 -0.4032653 -0.4407917 0.001365291
2019 2 -0.02702166 -0.3318454 -0.3588671 0.001439374
2019 3 -0.007103026 -0.2296188 -0.2367218 0.001386309
2019 4 0.01136914 -0.05982757 -0.04845842 0.00138757
2019 5 0.01758948 0.05967353 0.07726301 0.001370967
2019 6 0.01881715 0.1913599 0.210177 0.00139583
2019 7 0.01932301 0.3527638 0.3720868 0.001369451
2019 8 0.01307553 0.301389 0.3144645 0.001385001
2019 9 0.005007328 0.2071305 0.2121379 0.001401266
2019 10 -0.01094292 0.01315816 0.002215235 0.001377835
2019 11 -0.02548142 -0.2509133 -0.2763947 0.001395901
2019 12 -0.03746105 -0.3982986 -0.4357596 0.001385791
2020 1 -0.03983655 -0.4269501 -0.4667867 0.001368301
2020 2 -0.02806994 -0.3479131 -0.375983 0.00140483
2020 3 -0.007301019 -0.2372155 -0.2445165 0.001221548
2020 4 0.01085045 -0.06868384 -0.05783339 0.001054262
2020 5 0.0152702 0.02972909 0.04499929 0.001064999
2020 6 0.01370943 0.1167896 0.130499 0.00119813
2020 7 0.0176443 0.2528816 0.2705259 0.001205994
2020 8 0.01281759 0.2532885 0.2661061 0.001207493
2020 9 0.004914888 0.1698236 0.1747385 0.001261379
2020 10 -0.01063036 0.02145022 0.01081986 0.001219129
2020 11 -0.02495742 -0.2394599 -0.2644174 0.00120984
2020 12 -0.0341251 -0.3727534 -0.4068785 0.001224184
