year month land ocean net foss
2015 1 0.2763364 -0.6245315 -0.3481951 1.778712
2015 2 0.3503826 -0.6494438 -0.2990612 1.835634
2015 3 1.680476 -0.4950417 1.185435 1.805538
2015 4 0.6905566 -0.3158933 0.3746633 1.764394
2015 5 0.3627227 -0.08923509 0.2734876 1.728063
2015 6 -0.1101102 0.1404459 0.03033574 1.775361
2015 7 -1.120518 0.3509794 -0.7695385 1.76182
2015 8 -1.535413 0.4326793 -1.102734 1.755929
2015 9 -0.3680388 0.4704259 0.1023871 1.784111
2015 10 -0.7099339 0.364126 -0.3458079 1.778622
2015 11 0.3801255 0.03071912 0.4108446 1.863886
2015 12 0.2895986 -0.2960057 -0.006407085 1.937359
2016 1 0.3243213 -0.4184355 -0.09411415 1.772323
2016 2 0.3301208 -0.6010418 -0.270921 1.774439
2016 3 1.379663 -0.4537493 0.9259135 1.80575
2016 4 2.442244 -0.2933951 2.148849 1.757728
2016 5 -0.06067923 -0.106896 -0.1675752 1.731439
2016 6 -0.4212963 0.1306529 -0.2906435 1.772601
2016 7 -1.137 0.2803942 -0.8566055 1.752146
2016 8 -2.459894 0.387647 -2.072247 1.758834
2016 9 -1.313506 0.3644276 -0.9490782 1.779071
2016 10 -0.7643489 0.2284908 -0.5358581 1.774109
2016 11 -0.1076587 -0.02531943 -0.1329782 1.863953
2016 12 -0.04514711 -0.3461214 -0.3912685 1.927865
2017 1 0.2873628 -0.5564559 -0.2690931 1.803535
2017 2 0.27614 -0.6324147 -0.3562747 1.86017
2017 3 0.8798762 -0.5320207 0.3478554 1.832265
2017 4 0.6271506 -0.3479588 0.2791918 1.78432
2017 5 -0.791112 -0.1160609 -0.9071729 1.763127
2017 6 -0.3472932 0.1182441 -0.2290492 1.799578
2017 7 -0.7874808 0.3056677 -0.4818131 1.780705
2017 8 -1.342662 0.4399979 -0.9026637 1.785765
2017 9 -1.795207 0.360635 -1.434572 1.80368
2017 10 -1.072027 0.2773231 -0.7947038 1.805986
2017 11 -0.6465278 -0.08446959 -0.7309974 1.892405
2017 12 -0.1332403 -0.4109616 -0.5442018 1.953623
2018 1 0.08532832 -0.663466 -0.5781377 1.859421
2018 2 0.3809942 -0.5629388 -0.1819446 1.914536
2018 3 0.8380495 -0.4447123 0.3933371 1.882176
2018 4 0.5254772 -0.3421115 0.1833658 1.840575
2018 5 -0.2745142 -0.1491272 -0.4236414 1.815043
2018 6 -0.7429535 0.1201991 -0.6227545 1.848261
2018 7 -1.36254 0.246172 -1.116368 1.835716
2018 8 -1.972431 0.3186671 -1.653764 1.835402
2018 9 -2.007003 0.3171225 -1.68988 1.853677
2018 10 -1.276789 0.1775357 -1.099253 1.861804
2018 11 -0.2875968 -0.03592364 -0.3235204 1.946046
2018 12 0.03388536 -0.3495875 -0.3157021 2.011858
2019 1 0.1463583 -0.6573999 -0.5110416 1.888373
2019 2 0.535781 -0.5912594 -0.0554784 1.944691
2019 3 0.7538055 -0.5397681 0.2140374 1.909708
2019 4 1.124572 -0.3334475 0.7911242 1.874767
2019 5 0.1367236 -0.1284993 0.008224314 1.844092
2019 6 -0.694168 0.12592 -0.568248 1.877253
2019 7 -0.7836043 0.2466171 -0.5369872 1.869753
2019 8 -2.252433 0.3177584 -1.934674 1.862218
2019 9 -1.131153 0.3251401 -0.8060131 1.889256
2019 10 -1.287024 0.1865798 -1.100444 1.893338
2019 11 -0.5598799 -0.05233057 -0.6122105 1.975247
2019 12 -0.1221474 -0.3327961 -0.4549435 2.050225
2020 1 0.2247576 -0.5717327 -0.3469752 1.864558
2020 2 0.6216378 -0.5347137 0.08692413 1.803474
2020 3 0.9055231 -0.4647974 0.4407257 1.692159
2020 4 1.012656 -0.3283642 0.6842914 1.528224
2020 5 -0.02038461 -0.1267967 -0.1471813 1.608004
2020 6 -0.6885213 0.1310867 -0.5574346 1.753084
2020 7 -0.7033474 0.2584461 -0.4449012 1.78028
2020 8 -2.287899 0.3336155 -1.954283 1.801663
2020 9 -0.6953316 0.3372424 -0.3580891 1.873116
2020 10 -1.042653 0.1864962 -0.8561569 1.875874
2020 11 -0.5399878 -0.03725766 -0.5772455 1.933856
2020 12 -0.1658909 -0.3299715 -0.4958624 2.029179
