year month land ocean net foss
2015 1 0 -0.08959988 -0.08959988 3.27457e-05
2015 2 0 -0.09995553 -0.09995553 3.27457e-05
2015 3 0 -0.04186153 -0.04186153 3.27457e-05
2015 4 0 -0.005409591 -0.005409591 3.27457e-05
2015 5 0 -0.001936901 -0.001936901 3.27457e-05
2015 6 0 -0.001458646 -0.001458646 3.27457e-05
2015 7 0 -0.0008792041 -0.0008792041 3.27457e-05
2015 8 0 -0.0004011574 -0.0004011574 3.27457e-05
2015 9 0 0.0003534574 0.0003534574 3.27457e-05
2015 10 0 0.001640876 0.001640876 3.27457e-05
2015 11 0 0.001181534 0.001181534 3.27457e-05
2015 12 0 -0.0479568 -0.0479568 3.27457e-05
2016 1 0 -0.1011266 -0.1011266 3.30883e-05
2016 2 0 -0.09419096 -0.09419096 3.30883e-05
2016 3 0 -0.03979548 -0.03979548 3.30883e-05
2016 4 0 -0.008292914 -0.008292914 3.30883e-05
2016 5 0 -0.002990647 -0.002990647 3.30883e-05
2016 6 0 0.0003131043 0.0003131043 3.30883e-05
2016 7 0 -0.0005958479 -0.0005958479 3.30883e-05
2016 8 0 -7.519927e-05 -7.519927e-05 3.30883e-05
2016 9 0 0.000120952 0.000120952 3.30883e-05
2016 10 0 0.001316446 0.001316446 3.30883e-05
2016 11 0 -0.01390389 -0.01390389 3.30883e-05
2016 12 0 -0.07430433 -0.07430433 3.30883e-05
2017 1 0 -0.1418575 -0.1418575 3.511997e-05
2017 2 0 -0.1332509 -0.1332509 3.511997e-05
2017 3 0 -0.08556943 -0.08556943 3.511997e-05
2017 4 0 -0.02816105 -0.02816105 3.511997e-05
2017 5 0 -0.004912275 -0.004912275 3.511997e-05
2017 6 0 -0.001962679 -0.001962679 3.511997e-05
2017 7 0 -0.0002559287 -0.0002559287 3.511997e-05
2017 8 0 -0.0002500858 -0.0002500858 3.511997e-05
2017 9 0 0.0002540606 0.0002540606 3.511997e-05
2017 10 0 0.0001968087 0.0001968087 3.511997e-05
2017 11 0 -0.00437314 -0.00437314 3.511997e-05
2017 12 0 -0.0536605 -0.0536605 3.511997e-05
2018 1 0 -0.119487 -0.119487 3.530905e-05
2018 2 0 -0.113965 -0.113965 3.530905e-05
2018 3 0 -0.06132795 -0.06132795 3.530905e-05
2018 4 0 -0.009611274 -0.009611274 3.530905e-05
2018 5 0 -0.0009388874 -0.0009388874 3.530905e-05
2018 6 0 0.0002678199 0.0002678199 3.530905e-05
2018 7 0 0.0009926442 0.0009926442 3.530905e-05
2018 8 0 0.0009852268 0.0009852268 3.530905e-05
2018 9 0 0.00260533 0.00260533 3.530905e-05
2018 10 0 0.002837285 0.002837285 3.530905e-05
2018 11 0 0.0002599121 0.0002599121 3.530905e-05
2018 12 0 -0.05853026 -0.05853026 3.530905e-05
2019 1 0 -0.1034281 -0.1034281 3.526295e-05
2019 2 0 -0.1218522 -0.1218522 3.526295e-05
2019 3 0 -0.06383086 -0.06383086 3.526295e-05
2019 4 0 -0.009651548 -0.009651548 3.526295e-05
2019 5 0 -0.0009375541 -0.0009375541 3.526295e-05
2019 6 0 0.0002714797 0.0002714797 3.526295e-05
2019 7 0 0.0009962407 0.0009962407 3.526295e-05
2019 8 0 0.0009940435 0.0009940435 3.526295e-05
2019 9 0 0.002610615 0.002610615 3.526295e-05
2019 10 0 0.002846765 0.002846765 3.526295e-05
2019 11 0 0.0005599629 0.0005599629 3.526295e-05
2019 12 0 -0.04939012 -0.04939012 3.526295e-05
2020 1 0 -0.09188245 -0.09188245 3.662938e-05
2020 2 0 -0.1156279 -0.1156279 3.299737e-05
2020 3 0 -0.06373977 -0.06373977 2.158182e-05
2020 4 0 -0.009681017 -0.009681017 6.032638e-06
2020 5 0 -0.0009430924 -0.0009430924 7.637201e-06
2020 6 0 0.0002674026 0.0002674026 7.82749e-06
2020 7 0 0.0009922428 0.0009922428 1.04577e-05
2020 8 0 0.0009892671 0.0009892671 1.220145e-05
2020 9 0 0.002612674 0.002612674 1.261379e-05
2020 10 0 0.002852531 0.002852531 1.323225e-05
2020 11 0 0.0005993541 0.0005993541 1.43893e-05
2020 12 0 -0.05137345 -0.05137345 1.518737e-05
