year month land ocean net foss
2015 1 0.1267335 -0.1021498 0.02458366 0.002527812
2015 2 0.1364254 -0.1030787 0.03334668 0.002592797
2015 3 0.1543763 -0.09956332 0.05481301 0.002451362
2015 4 0.1712861 -0.09085129 0.08043485 0.002412316
2015 5 0.1722227 -0.1075051 0.06471754 0.002305375
2015 6 -0.1627059 -0.1810026 -0.3437084 0.002394835
2015 7 -0.7342855 -0.1991728 -0.9334583 0.002412006
2015 8 -0.4112892 -0.1802123 -0.5915015 0.002434844
2015 9 0.02907396 -0.2183829 -0.1893089 0.002419347
2015 10 0.1825071 -0.1978786 -0.0153715 0.002408039
2015 11 0.1851529 -0.1531444 0.0320085 0.002468519
2015 12 0.1427819 -0.1205241 0.02225775 0.002506106
2016 1 0.1554905 -0.09250776 0.06298271 0.002481011
2016 2 0.1523044 -0.1063181 0.0459863 0.002475252
2016 3 0.1415112 -0.081058 0.06045319 0.002414445
2016 4 0.1805905 -0.08527584 0.09531466 0.002372204
2016 5 0.173985 -0.1426621 0.03132288 0.002267883
2016 6 -0.2204382 -0.1821869 -0.4026251 0.002355227
2016 7 -0.8412597 -0.20263 -1.04389 0.002371239
2016 8 -0.4349701 -0.2086187 -0.6435888 0.002401776
2016 9 0.06544568 -0.2254806 -0.1600349 0.002381815
2016 10 0.2276419 -0.2144372 0.01320475 0.002366771
2016 11 0.1657878 -0.1677712 -0.001983451 0.002431603
2016 12 0.1357397 -0.1286132 0.007126518 0.002461865
2017 1 0.1460155 -0.1227316 0.02328393 0.002587076
2017 2 0.1312602 -0.10442 0.02684022 0.002656275
2017 3 0.1856448 -0.07405133 0.1115935 0.002517912
2017 4 0.1669781 -0.07994466 0.08703343 0.00247281
2017 5 0.1404846 -0.1119525 0.02853213 0.002369319
2017 6 -0.2453981 -0.1843552 -0.4297533 0.002457079
2017 7 -0.8857893 -0.1529658 -1.038755 0.002470365
2017 8 -0.3858052 -0.191966 -0.5777712 0.002503308
2017 9 0.03456504 -0.2394701 -0.2049051 0.002482519
2017 10 0.210423 -0.2182955 -0.007872527 0.002471566
2017 11 0.1908503 -0.1841099 0.006740366 0.002536945
2017 12 0.1700057 -0.113718 0.0562877 0.00256279
2018 1 0.142433 -0.08013942 0.06229361 0.002646344
2018 2 0.1411896 -0.09607974 0.04510988 0.002715191
2018 3 0.1152574 -0.08208411 0.03317331 0.002570867
2018 4 0.1694503 -0.07952281 0.08992747 0.002527554
2018 5 0.1543607 -0.1415938 0.0127669 0.002421672
2018 6 -0.2433827 -0.1999629 -0.4433457 0.002509248
2018 7 -0.7882979 -0.2092901 -0.9975879 0.00252548
2018 8 -0.4237086 -0.1453962 -0.5691048 0.002557368
2018 9 0.07044092 -0.2044862 -0.1340453 0.002533574
2018 10 0.243225 -0.2085304 0.03469464 0.002527329
2018 11 0.1723274 -0.1474513 0.02487612 0.002591562
2018 12 0.1557125 -0.1069686 0.04874382 0.002618322
2019 1 0.1283243 -0.08013942 0.04818492 0.002600819
2019 2 0.1452222 -0.09607974 0.04914244 0.002667966
2019 3 0.1682518 -0.08208411 0.08616765 0.002524303
2019 4 0.1766094 -0.07952281 0.09708657 0.002487749
2019 5 0.168657 -0.1415938 0.02706323 0.002380292
2019 6 -0.1931244 -0.1999629 -0.3930873 0.002463765
2019 7 -0.795752 -0.2092901 -1.005042 0.002485582
2019 8 -0.4224208 -0.1453962 -0.567817 0.002512515
2019 9 0.06516158 -0.2044862 -0.1393246 0.002492213
2019 10 0.2130522 -0.2085304 0.004521867 0.002485361
2019 11 0.1723143 -0.1474513 0.02486307 0.002545723
2019 12 0.1501222 -0.1069686 0.04315359 0.002574761
2020 1 0.1283243 -0.08013942 0.04818492 0.002579204
2020 2 0.1452222 -0.09607974 0.04914244 0.002567936
2020 3 0.1682518 -0.08208411 0.08616765 0.002115403
2020 4 0.1766094 -0.07952281 0.09708657 0.001641405
2020 5 0.168657 -0.1415938 0.02706323 0.001625746
2020 6 -0.1931244 -0.1999629 -0.3930873 0.001825921
2020 7 -0.795752 -0.2092901 -1.005042 0.001899097
2020 8 -0.4224208 -0.1453962 -0.567817 0.001939202
2020 9 0.06516158 -0.2044862 -0.1393246 0.001961891
2020 10 0.2130522 -0.2085304 0.004521867 0.001951571
2020 11 0.1723143 -0.1474513 0.02486307 0.001984773
2020 12 0.1501222 -0.1069686 0.04315359 0.002124117
