year month land ocean net foss
2015 1 0.5669855 0.06258774 0.6295733 0.5447165
2015 2 -0.1351192 0.3903662 0.255247 0.5670579
2015 3 0.2369108 0.456173 0.6930837 0.5561166
2015 4 0.720839 0.2838903 1.004729 0.548867
2015 5 1.044576 0.258972 1.303548 0.5436138
2015 6 0.7729736 0.1736143 0.9465879 0.5472974
2015 7 -1.320585 0.4159381 -0.904647 0.5358014
2015 8 -2.556224 0.4522092 -2.104015 0.5288515
2015 9 -1.745477 0.429823 -1.315654 0.5411927
2015 10 -0.592419 0.133102 -0.459317 0.5421806
2015 11 -0.1557752 0.0830542 -0.07272104 0.5596301
2015 12 1.50433 -0.2198875 1.284442 0.5705133
2016 1 1.441715 -0.1815097 1.260205 0.5537684
2016 2 1.844605 -0.174004 1.670601 0.5597474
2016 3 1.660501 -0.06526086 1.59524 0.5674648
2016 4 2.107195 0.1470281 2.254223 0.5579864
2016 5 2.051529 0.1779397 2.229469 0.5551306
2016 6 0.9290273 0.2778136 1.206841 0.5575963
2016 7 -1.114723 0.3486491 -0.7660737 0.5438884
2016 8 -2.67488 0.5034612 -2.171419 0.5407431
2016 9 -3.388482 0.3484991 -3.039983 0.5510838
2016 10 -2.594282 0.2085891 -2.385693 0.5516813
2016 11 -0.7945975 0.06697392 -0.7276236 0.5712679
2016 12 0.5283794 -0.03555894 0.4928205 0.5798219
2017 1 1.159965 -0.05995329 1.100011 0.5668228
2017 2 1.42048 -0.1433412 1.277139 0.5898016
2017 3 1.439659 -0.0796408 1.360019 0.5792375
2017 4 1.187589 0.1186883 1.306278 0.5689317
2017 5 1.033731 0.1917105 1.225442 0.5678913
2017 6 -0.1649881 0.2859525 0.1209645 0.5689029
2017 7 -2.029012 0.4181446 -1.610867 0.5552359
2017 8 -2.989919 0.4565906 -2.533329 0.5517167
2017 9 -2.940263 0.5267226 -2.413541 0.5614518
2017 10 -1.486203 0.3602128 -1.12599 0.5642039
2017 11 -0.6635533 0.2006027 -0.4629506 0.5832189
2017 12 1.301829 0.03997863 1.341808 0.5909854
2018 1 0.3374929 0.0875369 0.4250298 0.5934134
2018 2 0.9281928 0.06113431 0.9893272 0.6162129
2018 3 1.525486 0.07705893 1.602545 0.6043043
2018 4 1.619533 0.0879525 1.707486 0.5958601
2018 5 1.452164 0.1758922 1.628056 0.593593
2018 6 0.4339931 0.1348276 0.5688207 0.5935997
2018 7 -1.231522 0.1738619 -1.05766 0.5812926
2018 8 -1.794687 0.2125786 -1.582109 0.5762592
2018 9 -3.136773 0.3201578 -2.816615 0.5860612
2018 10 -1.905754 0.3349964 -1.570757 0.5909647
2018 11 -0.2976369 0.2124652 -0.08517173 0.6097748
2018 12 1.097429 0.2035005 1.300929 0.6187322
2019 1 0.9588133 0.1142967 1.07311 0.6022537
2019 2 1.246856 0.1617543 1.40861 0.6253212
2019 3 2.222463 0.07782337 2.300286 0.6121805
2019 4 2.448894 -0.03904097 2.409853 0.6060384
2019 5 1.846942 0.2965396 2.143481 0.6021953
2019 6 0.16725 0.1643333 0.3315833 0.6018163
2019 7 -0.8289058 0.1068677 -0.7220381 0.5913533
2019 8 -2.225402 0.4101841 -1.815218 0.5841715
2019 9 -2.946943 0.3869685 -2.559974 0.5963301
2019 10 -2.713193 0.2769349 -2.436258 0.6001357
2019 11 -0.5332188 0.1372248 -0.395994 0.6181355
2019 12 1.2918 -0.02533364 1.266466 0.6296281
2020 1 1.61165 -0.2864246 1.325226 0.6077628
2020 2 2.134106 -0.4286571 1.705449 0.620611
2020 3 2.520526 -0.3823535 2.138173 0.5338069
2020 4 2.609724 -0.1598982 2.449826 0.4308485
2020 5 2.215447 -0.1029068 2.11254 0.4685926
2020 6 0.9262588 -0.0331627 0.8930961 0.5245006
2020 7 -0.8601313 0.06016255 -0.7999688 0.5418579
2020 8 -2.245345 0.1320151 -2.11333 0.5348631
2020 9 -3.021429 0.1285868 -2.892842 0.5739472
2020 10 -2.396069 0.1119332 -2.284136 0.5786277
2020 11 -0.3642264 0.007668634 -0.3565577 0.5772216
2020 12 1.091791 -0.1031036 0.9886871 0.5873366
