year month land ocean net foss
2015 1 2.811815 -2.915461 -0.1036456 8.656976
2015 2 1.78151 -2.527728 -0.7462179 8.923629
2015 3 1.818097 -2.767559 -0.9494618 8.660329
2015 4 -0.2284162 -2.56604 -2.794456 8.390098
2015 5 -9.947513 -2.952319 -12.89983 8.111184
2015 6 -29.60497 -2.924287 -32.52925 8.395776
2015 7 -31.21722 -1.98948 -33.2067 8.317251
2015 8 -11.38961 -1.530965 -12.92058 8.33631
2015 9 6.125337 -1.589262 4.536075 8.445909
2015 10 9.239227 -2.131176 7.108051 8.477225
2015 11 8.318314 -2.039058 6.279256 8.862518
2015 12 10.68342 -2.524747 8.158676 9.254607
2016 1 6.541426 -3.193398 3.348029 8.653587
2016 2 5.168132 -3.175988 1.992144 8.654733
2016 3 1.318006 -2.7233 -1.405295 8.699523
2016 4 -1.502591 -2.566068 -4.06866 8.387591
2016 5 -7.769844 -2.522263 -10.29211 8.149834
2016 6 -27.73635 -2.436133 -30.17248 8.414581
2016 7 -31.99147 -2.490748 -34.48222 8.296068
2016 8 -16.71878 -2.714934 -19.43372 8.38592
2016 9 2.102677 -2.65062 -0.5479426 8.45692
2016 10 9.000114 -2.489365 6.510749 8.479166
2016 11 7.422145 -2.769392 4.652752 8.900313
2016 12 7.021435 -2.719104 4.302331 9.243781
2017 1 5.665779 -2.57045 3.095329 8.777089
2017 2 4.481922 -2.491305 1.990617 9.048277
2017 3 3.294805 -2.000506 1.294299 8.805184
2017 4 -0.2007314 -2.00078 -2.201511 8.48009
2017 5 -11.83281 -2.327917 -14.16073 8.273922
2017 6 -25.58751 -2.323667 -27.91118 8.518714
2017 7 -33.15968 -2.038175 -35.19785 8.402178
2017 8 -19.73797 -2.089167 -21.82714 8.491594
2017 9 3.127747 -2.339567 0.7881807 8.546336
2017 10 12.3615 -2.464497 9.896999 8.605476
2017 11 7.221711 -2.541894 4.679817 9.01125
2017 12 5.982042 -2.880283 3.101759 9.335563
2018 1 4.500478 -2.562746 1.937732 8.976016
2018 2 5.270562 -2.261113 3.009449 9.231081
2018 3 3.304896 -2.284904 1.019992 8.967436
2018 4 -0.1111389 -2.29499 -2.406129 8.670447
2018 5 -9.858503 -2.397306 -12.25581 8.44524
2018 6 -19.68313 -2.727308 -22.41044 8.67697
2018 7 -25.7588 -2.762506 -28.52131 8.591611
2018 8 -19.96471 -2.727598 -22.6923 8.663099
2018 9 -2.652225 -2.368404 -5.020629 8.704536
2018 10 5.170567 -1.811082 3.359485 8.801407
2018 11 7.711516 -2.202539 5.508977 9.18961
2018 12 4.422389 -2.263474 2.158914 9.529523
2019 1 4.20309 -2.192478 2.010612 8.98519
2019 2 1.621793 -2.288016 -0.6662227 9.240892
2019 3 4.518919 -2.142815 2.376104 8.964415
2019 4 1.808999 -2.584659 -0.7756602 8.713832
2019 5 -8.422154 -3.300042 -11.7222 8.466773
2019 6 -18.86035 -2.946882 -21.80723 8.688566
2019 7 -30.23671 -3.127712 -33.36442 8.637478
2019 8 -19.65996 -2.90576 -22.56572 8.671798
2019 9 0.3328914 -2.336637 -2.003746 8.750889
2019 10 9.260748 -2.238962 7.021786 8.828767
2019 11 9.525923 -2.209152 7.316771 9.196216
2019 12 8.530494 -2.428707 6.101787 9.57437
2020 1 5.10353 -2.943693 2.159837 8.679617
2020 2 7.729457 -2.732501 4.996956 8.457677
2020 3 4.784119 -2.623299 2.16082 8.085311
2020 4 2.099729 -2.411643 -0.311914 7.344425
2020 5 -7.919865 -2.661367 -10.58123 7.372794
2020 6 -22.46631 -2.705354 -25.17167 8.141753
2020 7 -35.9485 -2.556512 -38.50501 8.139084
2020 8 -19.3341 -2.5765 -21.9106 8.282947
2020 9 -1.187763 -2.851031 -4.038793 8.479585
2020 10 10.92492 -2.900106 8.024815 8.49696
2020 11 14.10678 -2.993167 11.11362 8.753376
2020 12 11.65987 -3.14629 8.513583 9.522416
