year month land ocean net foss
2015 1 0 0.01266526 0.01266526 3.27457e-05
2015 2 0 0.007392754 0.007392754 3.27457e-05
2015 3 0 0.006554207 0.006554207 3.27457e-05
2015 4 0 -0.009196712 -0.009196712 3.27457e-05
2015 5 0 -0.001247738 -0.001247738 3.27457e-05
2015 6 0 -0.006285847 -0.006285847 3.27457e-05
2015 7 0 -0.01152691 -0.01152691 3.27457e-05
2015 8 0 -0.007055136 -0.007055136 3.27457e-05
2015 9 0 -0.006082898 -0.006082898 3.27457e-05
2015 10 0 -0.009675619 -0.009675619 3.27457e-05
2015 11 0 -0.005087325 -0.005087325 3.27457e-05
2015 12 0 -0.008867043 -0.008867043 3.27457e-05
2016 1 0 -0.01577814 -0.01577814 3.30883e-05
2016 2 0 -0.02628052 -0.02628052 3.30883e-05
2016 3 0 -0.04616238 -0.04616238 3.30883e-05
2016 4 0 -0.04079374 -0.04079374 3.30883e-05
2016 5 0 -0.01922188 -0.01922188 3.30883e-05
2016 6 0 -0.01201614 -0.01201614 3.30883e-05
2016 7 0 -0.01059914 -0.01059914 3.30883e-05
2016 8 0 -0.006378739 -0.006378739 3.30883e-05
2016 9 0 -0.003732466 -0.003732466 3.30883e-05
2016 10 0 -0.005154937 -0.005154937 3.30883e-05
2016 11 0 -0.006292695 -0.006292695 3.30883e-05
2016 12 0 -0.005727778 -0.005727778 3.30883e-05
2017 1 0 -0.01356049 -0.01356049 3.511997e-05
2017 2 0 -0.05999053 -0.05999053 3.511997e-05
2017 3 0 -0.1120741 -0.1120741 3.511997e-05
2017 4 0 -0.06758561 -0.06758561 3.511997e-05
2017 5 0 -0.04197146 -0.04197146 3.511997e-05
2017 6 0 -0.02759984 -0.02759984 3.511997e-05
2017 7 0 -0.0324559 -0.0324559 3.511997e-05
2017 8 0 -0.04096357 -0.04096357 3.511997e-05
2017 9 0 -0.0272258 -0.0272258 3.511997e-05
2017 10 0 -0.02261972 -0.02261972 3.511997e-05
2017 11 0 -0.006951662 -0.006951662 3.511997e-05
2017 12 0 -0.0007598998 -0.0007598998 3.511997e-05
2018 1 0 -0.0101555 -0.0101555 3.530905e-05
2018 2 0 -0.04739653 -0.04739653 3.530905e-05
2018 3 0 -0.07515758 -0.07515758 3.530905e-05
2018 4 0 -0.05675976 -0.05675976 3.530905e-05
2018 5 0 -0.03476547 -0.03476547 3.530905e-05
2018 6 0 -0.02672728 -0.02672728 3.530905e-05
2018 7 0 -0.02813354 -0.02813354 3.530905e-05
2018 8 0 -0.02089117 -0.02089117 3.530905e-05
2018 9 0 -0.01119968 -0.01119968 3.530905e-05
2018 10 0 -0.01158322 -0.01158322 3.530905e-05
2018 11 0 -0.002587854 -0.002587854 3.530905e-05
2018 12 0 0.001071176 0.001071176 3.530905e-05
2019 1 0 -0.0007455247 -0.0007455247 3.526295e-05
2019 2 0 -0.01641452 -0.01641452 3.526295e-05
2019 3 0 -0.04111538 -0.04111538 3.526295e-05
2019 4 0 -0.03145451 -0.03145451 3.526295e-05
2019 5 0 -0.01121472 -0.01121472 3.526295e-05
2019 6 0 -0.01631982 -0.01631982 3.526295e-05
2019 7 0 -0.01295992 -0.01295992 3.526295e-05
2019 8 0 -0.008677018 -0.008677018 3.526295e-05
2019 9 0 -0.006802578 -0.006802578 3.526295e-05
2019 10 0 0.0126133 0.0126133 3.526295e-05
2019 11 0 0.005498707 0.005498707 3.526295e-05
2019 12 0 -0.003896793 -0.003896793 3.526295e-05
2020 1 0 -0.02049832 -0.02049832 3.662938e-05
2020 2 0 -0.04082533 -0.04082533 3.299737e-05
2020 3 0 -0.03897064 -0.03897064 2.158182e-05
2020 4 0 -0.02016063 -0.02016063 6.032638e-06
2020 5 0 -0.01111697 -0.01111697 7.637201e-06
2020 6 0 -0.01081364 -0.01081364 7.82749e-06
2020 7 0 -0.01016213 -0.01016213 1.04577e-05
2020 8 0 -0.005165599 -0.005165599 1.220145e-05
2020 9 0 0.0005933307 0.0005933307 1.261379e-05
2020 10 0 0.004135343 0.004135343 1.323225e-05
2020 11 0 0.0061669 0.0061669 1.43893e-05
2020 12 0 0.005332764 0.005332764 1.518737e-05
