year month land ocean net foss
2015 1 1.384995 -0.5726464 0.8123486 3.39712
2015 2 1.914935 -0.5826732 1.332261 3.489327
2015 3 -0.6605377 -0.6261304 -1.286668 3.398262
2015 4 -0.803548 -0.6233991 -1.426947 3.315981
2015 5 -2.270789 -0.529271 -2.80006 3.217433
2015 6 -3.204557 -0.3700532 -3.57461 3.344524
2015 7 -2.908972 -0.2279458 -3.136918 3.362088
2015 8 -1.662332 -0.1641698 -1.826502 3.369116
2015 9 0.399845 -0.1053811 0.294464 3.387261
2015 10 2.389883 -0.07312213 2.316761 3.364208
2015 11 3.079146 -0.1844835 2.894662 3.517844
2015 12 1.984305 -0.325518 1.658787 3.703015
2016 1 1.050929 -0.4214532 0.6294761 3.387115
2016 2 0.7555621 -0.5560903 0.1994718 3.375527
2016 3 0.4059731 -0.6042809 -0.1983078 3.404634
2016 4 0.3776373 -0.5635576 -0.1859203 3.304963
2016 5 -1.392666 -0.3920395 -1.784706 3.224466
2016 6 -2.508321 -0.2306714 -2.738993 3.342486
2016 7 -2.023629 -0.06391461 -2.087544 3.34385
2016 8 -0.9868295 0.07184551 -0.914984 3.380035
2016 9 0.6130213 0.1204157 0.7334369 3.38245
2016 10 2.017472 0.05898197 2.076454 3.355735
2016 11 2.359002 -0.120144 2.238858 3.523689
2016 12 2.492583 -0.2340182 2.258564 3.687857
2017 1 1.604254 -0.398148 1.206106 3.439937
2017 2 1.054146 -0.5732795 0.480867 3.532962
2017 3 0.8319988 -0.6509762 0.1810227 3.44938
2017 4 -0.3874486 -0.5837612 -0.9712099 3.345186
2017 5 -2.744226 -0.4007056 -3.144931 3.276765
2017 6 -3.740719 -0.3103252 -4.051044 3.386381
2017 7 -2.160832 -0.07794034 -2.238772 3.389789
2017 8 -1.304988 0.06866371 -1.236324 3.424879
2017 9 -0.2930382 0.09584112 -0.197197 3.420941
2017 10 2.542706 0.03816021 2.580866 3.409596
2017 11 3.283172 -0.01181572 3.271356 3.572088
2017 12 1.393612 -0.1253824 1.26823 3.72823
2018 1 1.343559 -0.2942071 1.049352 3.522418
2018 2 0.9409207 -0.4609956 0.4799251 3.608833
2018 3 1.813876 -0.5114048 1.302471 3.515723
2018 4 -0.0909394 -0.4874294 -0.5783688 3.423907
2018 5 -1.74477 -0.4552888 -2.200059 3.347555
2018 6 -3.165585 -0.260379 -3.425964 3.451071
2018 7 -2.071121 -0.1039968 -2.175117 3.469673
2018 8 -1.038091 0.02520704 -1.012884 3.496009
2018 9 1.427192 -0.01726159 1.409931 3.487858
2018 10 2.155357 -0.004771738 2.150585 3.490681
2018 11 2.943278 -0.1252152 2.818062 3.646859
2018 12 2.412468 -0.4323086 1.980159 3.810077
2019 1 2.11546 -0.5789328 1.536527 3.542733
2019 2 0.3357224 -0.7262802 -0.3905578 3.629746
2019 3 -0.1238469 -0.7767199 -0.9005668 3.531808
2019 4 -0.2316631 -0.7403755 -0.9720386 3.457578
2019 5 -3.749385 -0.5860833 -4.335469 3.371282
2019 6 -3.451252 -0.4247053 -3.875958 3.47169
2019 7 -1.980801 -0.1532663 -2.134067 3.50269
2019 8 -0.6272099 0.008653686 -0.6185562 3.513361
2019 9 -0.1394298 0.01776291 -0.1216669 3.522846
2019 10 1.807224 -0.08872528 1.718498 3.518831
2019 11 2.701747 -0.1094636 2.592283 3.666763
2019 12 2.124279 -0.3342261 1.790053 3.847196
2020 1 1.376824 -0.5126394 0.8641845 3.403685
2020 2 0.8159924 -0.6125074 0.203485 3.262423
2020 3 -0.1574895 -0.6739891 -0.8314787 3.179952
2020 4 -0.2219944 -0.6029747 -0.8249691 3.041445
2020 5 -1.989262 -0.5105704 -2.499833 3.031067
2020 6 -2.313512 -0.2851609 -2.598673 3.308978
2020 7 -1.450902 -0.08551771 -1.53642 3.332798
2020 8 -1.395481 -0.07883427 -1.474315 3.398438
2020 9 -0.04705557 -0.06938454 -0.1164401 3.427024
2020 10 1.263316 -0.0872241 1.176091 3.409447
2020 11 2.387956 -0.1107048 2.277251 3.528157
2020 12 2.534846 -0.2230243 2.311822 3.85521
