year month land ocean net foss
2015 1 -2.251903 -1.484642 -3.736545 0.4050868
2015 2 -2.418611 -1.398098 -3.816709 0.4349327
2015 3 -0.699619 -1.232868 -1.932487 0.4118997
2015 4 -0.6552088 -1.074278 -1.729487 0.4192075
2015 5 -0.3711401 -1.114692 -1.485832 0.4188355
2015 6 -0.3150928 -1.160052 -1.475145 0.4370689
2015 7 -0.4199523 -1.18847 -1.608422 0.4333201
2015 8 -0.7063739 -1.293188 -1.999562 0.434548
2015 9 -1.302056 -1.42846 -2.730516 0.4415596
2015 10 -0.1955125 -1.648031 -1.843544 0.4317523
2015 11 1.243225 -1.652802 -0.4095772 0.437018
2015 12 -0.4512941 -1.723772 -2.175066 0.4251154
2016 1 -0.6023031 -1.712877 -2.31518 0.4088218
2016 2 -2.428193 -1.650865 -4.079058 0.426026
2016 3 -1.535645 -1.627056 -3.162701 0.4175513
2016 4 -1.131579 -1.407944 -2.539523 0.4231308
2016 5 -0.2637933 -1.263646 -1.527439 0.424404
2016 6 -0.3682018 -1.436714 -1.804916 0.442209
2016 7 -0.9330482 -1.552225 -2.485273 0.4364504
2016 8 -2.521027 -1.557138 -4.078166 0.441344
2016 9 -1.270602 -1.565459 -2.836061 0.4465129
2016 10 -1.44768 -1.586003 -3.033683 0.4356341
2016 11 -1.669911 -1.450949 -3.12086 0.443244
2016 12 -1.465361 -1.561588 -3.026949 0.4290521
2017 1 -2.330385 -1.420583 -3.750968 0.4070212
2017 2 -3.085169 -1.238454 -4.323623 0.4375357
2017 3 -2.072155 -0.9630044 -3.035159 0.414831
2017 4 -1.709985 -1.047219 -2.757204 0.4195288
2017 5 -1.338058 -1.032989 -2.371048 0.4228248
2017 6 -0.8297656 -1.176303 -2.006069 0.4395159
2017 7 -0.9358323 -1.294281 -2.230113 0.4338532
2017 8 -0.9534564 -1.548935 -2.502391 0.4387785
2017 9 -0.8568537 -1.647321 -2.504174 0.4430689
2017 10 1.076768 -1.957996 -0.8812287 0.4338806
2017 11 1.537654 -1.99071 -0.4530558 0.4406829
2017 12 0.06351062 -1.835736 -1.772226 0.4254159
2018 1 -1.406878 -1.776957 -3.183835 0.4071042
2018 2 -1.904329 -1.784367 -3.688696 0.4366939
2018 3 -2.007897 -1.762619 -3.770516 0.4129455
2018 4 -0.4837597 -1.64958 -2.133339 0.4192435
2018 5 -0.6101663 -1.559166 -2.169332 0.4218763
2018 6 -0.3643734 -1.554009 -1.918382 0.4377358
2018 7 -0.3868776 -1.614277 -2.001155 0.4336252
2018 8 -0.2188995 -1.630879 -1.849778 0.4376012
2018 9 -0.01359748 -1.729185 -1.742782 0.4409851
2018 10 0.2356708 -1.79689 -1.561219 0.4339263
2018 11 -0.3963489 -1.710237 -2.106586 0.4395866
2018 12 0.2588 -1.603334 -1.344533 0.4243418
2019 1 -0.8915042 -1.557979 -2.449483 0.4111278
2019 2 -1.70205 -1.481742 -3.183793 0.4411165
2019 3 -1.495388 -1.225033 -2.720421 0.4158163
2019 4 -0.3841764 -1.248891 -1.633067 0.4244524
2019 5 0.0353363 -1.330288 -1.294951 0.4259425
2019 6 -1.022192 -1.38695 -2.409142 0.4410715
2019 7 -0.5139806 -1.640902 -2.154882 0.4390548
2019 8 -1.169984 -1.847915 -3.017899 0.4410729
2019 9 -0.3517953 -1.853406 -2.205201 0.446054
2019 10 1.556199 -2.078371 -0.5221719 0.4381183
2019 11 1.368681 -2.183994 -0.8153131 0.4430235
2019 12 -0.9763978 -2.161562 -3.13796 0.4291485
2020 1 -2.802819 -2.0481 -4.850919 0.4209501
2020 2 -1.879185 -1.894525 -3.77371 0.429498
2020 3 -1.992079 -1.774504 -3.766583 0.3744703
2020 4 -1.211825 -1.728091 -2.939916 0.3320835
2020 5 -0.9822024 -1.693442 -2.675645 0.3415795
2020 6 0.4639292 -1.89397 -1.43004 0.3965583
2020 7 -0.008406113 -1.946631 -1.955037 0.3973548
2020 8 -0.09057835 -2.034026 -2.124605 0.3931621
2020 9 0.3585891 -2.07098 -1.712391 0.4105958
2020 10 0.9886079 -2.07252 -1.083912 0.4031978
2020 11 0.9714936 -1.971359 -0.9998659 0.4034886
2020 12 -1.212878 -1.669958 -2.882836 0.4020655
