year month land ocean net foss
2015 1 -1.385696 -0.3112293 -1.696925 0.2356733
2015 2 -1.88789 -0.3611472 -2.249037 0.2532219
2015 3 -0.7303292 -0.228461 -0.9587903 0.2372777
2015 4 -0.2856408 -0.1988756 -0.4845163 0.2423079
2015 5 -0.5391991 -0.3148158 -0.8540149 0.2422721
2015 6 -0.7104499 -0.2782566 -0.9887065 0.2538848
2015 7 -1.023411 -0.4250633 -1.448474 0.2509241
2015 8 -1.009151 -0.3960215 -1.405172 0.2513851
2015 9 -0.9744843 -0.4474922 -1.421976 0.2564852
2015 10 0.01935464 -0.3490742 -0.3297196 0.2525893
2015 11 0.9493274 -0.3734364 0.5758911 0.2551085
2015 12 0.1454146 -0.1070692 0.03834533 0.2469179
2016 1 -0.8226 -0.06560125 -0.8882012 0.2369094
2016 2 -1.6961 0.004778324 -1.691322 0.2471038
2016 3 -1.203476 -0.01542427 -1.2189 0.2396524
2016 4 -1.287643 -0.08955719 -1.3772 0.2436659
2016 5 -0.618586 0.0001031356 -0.6184829 0.2446153
2016 6 -0.8922921 -0.2150273 -1.107319 0.2559884
2016 7 -1.667511 -0.2891208 -1.956632 0.2517485
2016 8 -2.251416 -0.4183353 -2.669751 0.2544982
2016 9 -0.4991888 -0.5417547 -1.040944 0.2584648
2016 10 -0.0177017 -0.4392908 -0.4569925 0.2538704
2016 11 0.3353592 -0.3059064 0.02945278 0.2579171
2016 12 -0.4044706 -0.08034949 -0.4848201 0.2482644
2017 1 -1.47706 -0.07702465 -1.554084 0.2391417
2017 2 -2.553608 -0.04923193 -2.602839 0.2572571
2017 3 -1.666215 -0.009961228 -1.676176 0.2413977
2017 4 -1.88528 -0.1777401 -2.06302 0.2448072
2017 5 -1.703665 -0.1379576 -1.841623 0.2470953
2017 6 -1.255882 -0.0776488 -1.33353 0.257838
2017 7 -1.22673 -0.3190423 -1.545772 0.2535984
2017 8 -0.5574593 -0.3226956 -0.880155 0.2564041
2017 9 0.1869688 -0.5760863 -0.3891175 0.2598481
2017 10 1.627682 -0.5427037 1.084979 0.2562612
2017 11 1.360548 -0.4173661 0.9431816 0.2598325
2017 12 0.1822663 -0.2805388 -0.09827248 0.249429
2018 1 -0.81875 -0.2853087 -1.104059 0.2391786
2018 2 -0.920962 -0.1597282 -1.08069 0.2567087
2018 3 -1.57668 -0.161119 -1.737799 0.2401233
2018 4 -1.180167 -0.2433127 -1.423479 0.2445719
2018 5 -1.334671 -0.3856389 -1.72031 0.246428
2018 6 -1.0871 -0.3094331 -1.396533 0.2566811
2018 7 -1.108653 -0.3810254 -1.489679 0.2534002
2018 8 -0.7962284 -0.5236261 -1.319854 0.2556063
2018 9 -0.1500047 -0.7144491 -0.8644538 0.2584218
2018 10 0.5007532 -0.5879255 -0.08717234 0.2562492
2018 11 0.256592 -0.2632411 -0.006649117 0.2591067
2018 12 0.1673616 -0.1094032 0.05795841 0.248659
2019 1 -0.5988788 -0.009882069 -0.6087609 0.2414124
2019 2 -1.305947 -0.1885214 -1.494468 0.2591337
2019 3 -1.039867 -0.3555951 -1.395462 0.2416137
2019 4 -0.4304796 -0.3607288 -0.7912084 0.2475228
2019 5 -0.518121 -0.3608864 -0.8790074 0.2486591
2019 6 -0.7559018 -0.2015542 -0.957456 0.2583765
2019 7 -0.252063 -0.1075521 -0.3596151 0.256448
2019 8 -0.9171354 -0.2849947 -1.20213 0.2574471
2019 9 -0.009590448 -0.3605063 -0.3700968 0.2612756
2019 10 1.3297 -0.4043877 0.9253124 0.2586081
2019 11 1.361191 -0.3795052 0.9816856 0.2609652
2019 12 -0.2648 -0.09747948 -0.3622794 0.2513829
2020 1 -1.756226 0.1404277 -1.615798 0.2508444
2020 2 -0.9657932 0.1663016 -0.7994916 0.2515879
2020 3 -1.644034 0.2172758 -1.426758 0.2175463
2020 4 -1.285627 -0.1485704 -1.434197 0.1913057
2020 5 -1.236156 -0.1588647 -1.395021 0.1979125
2020 6 0.06195906 -0.392056 -0.330097 0.2324646
2020 7 -0.513256 -0.383999 -0.897255 0.2308202
2020 8 -0.4219652 -0.4812905 -0.9032557 0.2278511
2020 9 0.6034216 -0.5925397 0.01088188 0.2390561
2020 10 1.497817 -0.6845677 0.8132492 0.2394487
2020 11 1.876097 -0.5078796 1.368218 0.2406201
2020 12 0.06874754 -0.2255482 -0.1568007 0.2393538
